[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fedilab-_3.28.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
2c7371fd2a41cf55    2 of   6   okhttp3/internal/platform/android/AndroidSocketAdapter$Companion$factory$1
02754ce560470e48   11 of  13   androidx/lifecycle/Lifecycle$State
f01e4619527eccdd    2 of   9   androidx/work/impl/constraints/controllers/BatteryChargingController
edb396d318563b92   11 of  23   app/fedilab/android/databinding/FragmentLoginMainBinding
77b7afc4db197bcc    1 of   3   androidx/appcompat/app/AppCompatActivity$1
9ed1f6c68a8f7a31    1 of   2   com/google/gson/ToNumberPolicy$2
a08109837fe30e4a    1 of   2   androidx/work/impl/model/WorkProgressDao_Impl$2
20e1c76dc8a4e786  111 of 311   androidx/constraintlayout/core/ArrayRow
1e785dd160461b5b    1 of   7   okhttp3/Dns$Companion$DnsSystem
11a59483da093795    1 of   2   androidx/appcompat/app/AppLocalesMetadataHolderService$Api24Impl
80ec2eff61be2f10    2 of   2   kotlin/collections/builders/SetBuilder$Companion
00ef17488da05ac7   13 of  36   androidx/appcompat/widget/ViewUtils
e0e62aafe795fd18    1 of   1   androidx/fragment/app/Fragment$AnimationInfo
d0d9dba030c3d37c    2 of   2   androidx/work/impl/constraints/controllers/NetworkMeteredController$Companion
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
ba5e9b72d184d06e    6 of  37   com/google/android/material/internal/CheckableImageButton
ca568d4e76dfe90e   30 of  49   androidx/work/Configuration
e5d0fdfa9b1cfbff    1 of  69   com/google/android/material/textfield/TextInputLayout$AccessibilityDelegate
13379fe9c9a8bdba    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
cca6591a7aa10fd3    1 of   2   com/google/gson/FieldNamingPolicy$2
5da857605d2a5f2d    6 of   9   androidx/collection/IndexBasedArrayIterator
8d5dc320e19aaf37    5 of   5   androidx/work/impl/WorkManagerImplExtKt$WorkManagerImpl$1
85ef3fff6448d68a    1 of   3   com/google/gson/internal/sql/SqlTypesSupport$1
825099ed914daa24    1 of   1   androidx/room/migration/Migration
0cde503780c74cf9   10 of 117   androidx/core/graphics/drawable/DrawableCompat
264310a16709b932   14 of 773   androidx/transition/Transition
d6c54273311e9574   33 of 140   androidx/appcompat/widget/AppCompatButton
78745d4a07673284    1 of  14   com/google/gson/ToNumberPolicy$3
2eba57ebe8961926    1 of  14   retrofit2/BuiltInConverters
e6540e2db05098cd    5 of  41   androidx/work/Logger$LogcatLogger
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
7a2031bbf062bb13    9 of  95   androidx/lifecycle/Lifecycling
0cde8cd1d618c6fc    5 of  65   androidx/core/view/AccessibilityDelegateCompat
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
438db1077a542032    1 of  30   androidx/transition/Fade
057c530c78f3d66d    2 of   9   androidx/work/impl/constraints/controllers/StorageNotLowController
39ae291d86cf7692    3 of   3   androidx/lifecycle/AndroidViewModel
d79412a54d7878bb    1 of   9   com/google/gson/internal/bind/TypeAdapters$23
