[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Jellyfin-Android-_v2.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
994c795a464343e3    5 of  22   com/google/android/datatransport/runtime/AutoValue_TransportContext
57c6d4e055ea7cca    2 of   7   shark/AndroidReferenceMatchers$JOB_SERVICE$add$1
37fc6bc2175fbdba    4 of  17   androidx/compose/foundation/shape/DpCornerSize
ea70706bf146d740    4 of   6   com/google/android/gms/internal/common/zzi
94f34967e4c80fd8    4 of   4   io/ktor/client/HttpClientConfig$special$$inlined$shared$2
5984251bfa52c5e4   10 of  79   androidx/compose/ui/platform/actionmodecallback/TextActionModeCallback
8ef6b913fcebfe53    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalDensity$1
6d94a9eab11e0d7f   10 of  21   kotlinx/coroutines/internal/AtomicOp
6e723d18f7057e04   19 of  32   org/jellyfin/sdk/discovery/LocalServerDiscovery$discover$1
ecc022fefcadeb37  100 of 227   androidx/compose/ui/focus/FocusInvalidationManager$invalidateNodes$1
ff6becc348e27b27    2 of   2   com/google/android/gms/internal/cast/zzkx
68ce9a588860b95f    4 of   6   androidx/compose/foundation/gestures/ContentInViewNode$WhenMappings
2fa550cdece880dc   18 of  58   androidx/compose/runtime/saveable/SaveableStateRegistryImpl
12a3ea3e70ff1d2f    3 of   6   androidx/compose/foundation/shape/CornerSizeKt
a138c78e316e8eb3    2 of   2   shark/ReferencePattern$Companion
c4bef49405ceedbd    8 of  20   androidx/compose/ui/platform/WeakCache
202871306c6c2a12   16 of  20   androidx/compose/ui/platform/CalculateMatrixToWindowApi21
75a478325a96c440    1 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
0d3a8113ababf3e2   45 of 138   androidx/compose/foundation/gestures/TapGestureDetectorKt
a872171f17994e27    4 of  36   com/google/android/gms/internal/cast/zzvg
8b4e3be4c7fd6836    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
ee6de72cdecbdcec    1 of   1   kotlinx/coroutines/internal/AtomicKt
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
8e15ab076d4ccea3   91 of 178   androidx/compose/runtime/changelist/ComposerChangeListWriter
09738159d9f3279b    4 of   5   androidx/compose/ui/text/style/TextMotion$Linearity$Companion
e70ab43d18df42cf    4 of   4   leakcanary/internal/activity/screen/LeaksScreen$createView$$inlined$apply$lambda$1$1
b7b3842c1a9386f7    1 of   1   androidx/compose/ui/text/android/style/LineHeightStyleSpanKt
317aa1204340ee28    2 of   2   androidx/compose/ui/graphics/Outline
210c387a2b6524ad    1 of   2   androidx/compose/ui/node/NodeChainKt$SentinelHead$1
53bbccf3d3d76e24    2 of  16   androidx/compose/ui/unit/fontscaling/FontScaleConverterTable$Companion
593abb2a7f1a215b    3 of   3   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$DBRefHolder
28ecc5a7533e6f14    2 of   4   leakcanary/AndroidDebugHeapDumper
2d0629bd9a58aca0    6 of  13   kotlin/UnsafeLazyImpl
8992ebdcfbb085ef    1 of  12   org/jellyfin/mobile/ui/screens/connect/ServerSelectionKt$ServerSelection$2$2
0f77dddbe7df5ede    8 of  13   androidx/fragment/app/DefaultSpecialEffectsController$SpecialEffectsInfo
