[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
3707ffcd01c3affc   14 of  25   androidx/savedstate/SavedStateRegistryController
a355168e63581b16  260 of 645   androidx/constraintlayout/core/widgets/analyzer/Direct
425dc13d626bc965    1 of   1   kotlinx/coroutines/EventLoopImplBase$DelayedTaskQueue
21bc1a388e18e212    4 of   6   androidx/core/view/WindowCompat$Api16Impl
7168af9a1108dbd4    1 of   2   openfoodfacts/github/scrachx/openfood/features/product/view/ingredients_analysis/IngredientsAnalysisViewModel_HiltModules$KeyModule
d87241825ac901cf    3 of   5   com/google/android/gms/internal/mlkit_common/zzao
c971ebe594285ca7   10 of  24   io/sentry/clientreport/AtomicClientReportStorage
e5991b33225b0108    1 of   1   kotlinx/coroutines/CancelHandlerBase
73e85755a8694898   11 of  28   androidx/viewpager/widget/PagerAdapter
efcb294394af3ef5    3 of  13   androidx/core/view/WindowCompat
3a5a01100f79ff5c    3 of   4   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
da75c134b6930d9e    7 of   9   androidx/work/impl/WorkerWrapper$Builder
151634939b439fb9    2 of  36   kotlinx/coroutines/AbstractTimeSourceKt
a9b7e052b4a3e1cc    1 of   1   kotlinx/coroutines/CompletionHandlerBase
e57b423cf1fe362e   20 of 237   com/fasterxml/jackson/databind/DeserializationConfig
320a51f4b07c2684   33 of  87   okhttp3/Address
75a478325a96c440    2 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
1a003612fb709981   13 of  13   openfoodfacts/github/scrachx/openfood/features/welcome/WelcomePageAdapter
cb2c3c1b7d36733f   10 of  58   openfoodfacts/github/scrachx/openfood/features/shared/BaseActivity
d91b4a27d34789e8    3 of   3   androidx/activity/ComponentActivity$5
05902c2e147b5916    2 of   4   androidx/core/content/ContextCompat$Api19Impl
d7b8f487cc181eb6    4 of  23   com/squareup/picasso/Dispatcher$DispatcherHandler
9538578c7b30173d    2 of   6   androidx/lifecycle/ViewTreeLifecycleOwner
6c74cefd35d3d1a7    9 of  18   androidx/constraintlayout/core/Pools$SimplePool
fb4662f910d345ad    1 of  46   io/sentry/Breadcrumb$Deserializer
bf87c78f804b33b0   33 of  91   kotlinx/coroutines/DispatchedTask
f2dda1272712d318   64 of 168   okhttp3/internal/http2/Http2Stream
04e8bac565ec5a0c    2 of   3   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration
5151cb6031053f7c    1 of  22   io/sentry/protocol/MeasurementValue$Deserializer
ccba409676604077    8 of   8   com/fasterxml/jackson/core/sym/CharsToNameCanonicalizer$Bucket
ed3f2d55e6793d51    5 of   7   kotlin/coroutines/AbstractCoroutineContextElement
e3f90950414c1032   90 of 156   androidx/room/InvalidationTracker
f964e6f2c1d4019d    3 of   3   kotlin/random/FallbackThreadLocalRandom
5963d32ff5bfa924    1 of   3   com/google/android/gms/tasks/zzt
12689870b86f3e18   52 of 144   okhttp3/internal/http2/Http2Reader
2aa85296586bd861    3 of   3   openfoodfacts/github/scrachx/openfood/utils/SearchSuggestionProvider
473811538d2ca14f    8 of  10   kotlinx/coroutines/ThreadLocalEventLoop
b7f033dfd190ec52   20 of 1056   com/fasterxml/jackson/databind/deser/BasicDeserializerFactory
9cb78df289a19e31   22 of  39   okhttp3/internal/http2/Settings
be2a550d4c8f9c5f   10 of  41   com/fasterxml/jackson/databind/ObjectWriter$GeneratorSettings
189bc5b28664fc23   80 of 281   okhttp3/HttpUrl
a52be95a29532379    5 of  62   openfoodfacts/github/scrachx/openfood/models/entities/states/StatesDao
7d7ade916a2b2730    4 of   4   okhttp3/internal/http2/Huffman$Node
895ecfe56502f946    1 of   4   kotlin/collections/IntIterator
ae268dc3c73b0d4f   53 of  98   androidx/lifecycle/LiveData
0ad1fb81efbdcad3    4 of  19   kotlinx/coroutines/internal/MainDispatchersKt
2a5b790142732290    4 of  15   com/fasterxml/jackson/core/util/Separators
0e7f73b64266c245    2 of   4   com/google/android/gms/internal/mlkit_vision_common/zzm
40672c4bcb1239ac    1 of  21   io/sentry/protocol/ViewHierarchy$Deserializer
e8b97526f1ebcc0f    9 of  89   com/google/android/gms/internal/mlkit_vision_barcode/zzcc
39807e4e2b3c86b5   12 of  69   com/fasterxml/jackson/module/kotlin/ExtensionsKt
725ae87a847aa365    9 of  70   com/fasterxml/jackson/databind/introspect/AnnotatedClass
f7a23e271b922f44    2 of   4   com/fasterxml/jackson/core/JsonParser$NumberType
207c78ad4ac722cb    1 of   5   okhttp3/internal/http2/PushObserver$1
b9fca26f39d21418    8 of  47   com/fasterxml/jackson/databind/cfg/ConfigOverrides
61421aa3bb275fc8    1 of   5   openfoodfacts/github/scrachx/openfood/features/product/view/contributors/ContributorsViewModel_HiltModules_KeyModule_ProvideFactory
fcb8a0ab46c15899   10 of  11   openfoodfacts/github/scrachx/openfood/models/HistoryProductDao$Properties
f49a5002c4488abb    3 of   3   com/google/firebase/components/ComponentDiscovery$$Lambda$1
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
4dc204773e401118    4 of   5   openfoodfacts/github/scrachx/openfood/models/entities/country/CountryDao$Properties
44edb1ea435214f4    2 of   4   com/google/android/gms/internal/mlkit_vision_barcode/zzca
39bae131ea415de2   79 of 134   com/fasterxml/jackson/core/sym/CharsToNameCanonicalizer
9a23b0894d8c8e7d    6 of   7   kotlin/LazyThreadSafetyMode
860d1968a08f6b4f    2 of  44   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
08d2b7d54324015a    2 of   2   openfoodfacts/github/scrachx/openfood/utils/SearchSuggestionProvider$Companion
2c56f76fa43c6006   11 of  32   okhttp3/internal/connection/ConnectionSpecSelector
39bf8f4bab6f8c91    1 of   3   io/sentry/protocol/Device$DeviceOrientation$Deserializer
76b9def9d00a3b7f    1 of  29   io/sentry/UserFeedback$Deserializer
0503a4653d01e3f6    5 of 176   openfoodfacts/github/scrachx/openfood/models/entities/additive/AdditiveNameDao
2cac496896762179    1 of   2   androidx/work/impl/model/WorkProgressDao_Impl$2
e6d1861a5adf7872    1 of   5   openfoodfacts/github/scrachx/openfood/features/product/view/photos/ProductPhotosViewModel_HiltModules_KeyModule_ProvideFactory
961cf5da5085b1a6    4 of  19   dagger/hilt/EntryPoints
d0cf11d2eac9faae    7 of   7   kotlinx/coroutines/internal/SystemPropsKt
92ef343076d4f282    1 of   5   openfoodfacts/github/scrachx/openfood/features/simplescan/SimpleScanViewModel_HiltModules_KeyModule_ProvideFactory
9b3879ec430db7a5    4 of   6   org/greenrobot/greendao/AbstractDaoMaster
8b0d9a1c96e8c855   22 of  35   androidx/room/InvalidationTracker$ObservedTableTracker
263c837cc1905992    1 of  10   com/fasterxml/jackson/databind/BeanDescription
4209b00e82e5a5e6    4 of  20   kotlin/time/DurationUnitKt__DurationUnitJvmKt
a953f98093046880    1 of   3   org/greenrobot/eventbus/EventBus$1
32ca22431f673b59    4 of   5   androidx/work/impl/utils/futures/SettableFuture
611142c55a2705b6    1 of   2   openfoodfacts/github/scrachx/openfood/features/product/view/ingredients/ProductIngredientsViewModel_HiltModules$KeyModule
b967cb32ff6d3809    3 of   3   openfoodfacts/github/scrachx/openfood/features/welcome/WelcomeScreen$Companion
4f9ddd5d09560137    7 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
c71722354ebf6264   11 of  19   retrofit2/Platform$Android
a04ea94e45be602b    2 of   3   kotlin/reflect/jvm/internal/KDeclarationContainerImpl$Companion
fdef7c77f9b6db85    9 of 145   kotlinx/coroutines/intrinsics/UndispatchedKt
51545085c183a60f   52 of  65   okhttp3/internal/http2/Http2Codec
d1ead569c03604f9    3 of   4   io/sentry/internal/modules/NoOpModulesLoader
13670c9ed5178b4a   18 of  38   androidx/work/impl/model/WorkTagDao_Impl
fc4eec4f6159852a    3 of   3   openfoodfacts/github/scrachx/openfood/features/splash/SplashActivity$controller$2
1525dcb710e83fda   13 of  66   com/fasterxml/jackson/core/json/JsonWriteContext
3a269337e93d47ea    6 of  33   kotlin/ranges/IntProgression
241055e2afe76695    8 of  38   kotlin/coroutines/intrinsics/IntrinsicsKt__IntrinsicsJvmKt
0478a8fc32b28d57   14 of  15   androidx/work/impl/constraints/trackers/Trackers
a2e03abb1778a88b    3 of  20   kotlin/random/Random$Default
c94cf546a83aef8c    7 of  13   retrofit2/RequestFactory
6f0ee8873b175176   17 of  45   kotlin/coroutines/CombinedContext
a94eb161ad8d6eb1    1 of   6   kotlin/jvm/internal/FunctionReferenceImpl
1caaa5259bba025e   25 of  57   androidx/room/RoomSQLiteQuery
ef5f10d44609b0fd    5 of  91   openfoodfacts/github/scrachx/openfood/models/entities/ingredient/IngredientNameDao
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
e9ab4ec2375be82a    8 of  26   kotlinx/coroutines/JobCancellationException
