[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AmazeFileManager-3.4.2-_1837-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
24c88f33e2a38ef9    1 of   2   com/amaze/filemanager/ui/views/Indicator$1
628849f4a3da0404    7 of  75   com/amaze/filemanager/utils/Utils
cc93aa3a55da94d0  146 of 683   com/amaze/filemanager/fragments/MainFragment
9dcbcff1df9fa001    9 of  19   com/amaze/filemanager/fragments/MainFragment$1
9efee8aeabce3e38   12 of  13   com/amaze/filemanager/ui/views/drawer/ActionViewStateManager
69a159a0c0306599    9 of  14   com/amaze/filemanager/ui/views/CircleGradientDrawable
fd5957c0e0b34280   12 of  53   com/amaze/filemanager/JacocoInstrument/JacocoInstrumentation
c32dd7477442db84    1 of  13   com/amaze/filemanager/GlideApp
5352440a579ea66b   11 of  38   com/amaze/filemanager/utils/files/FileListSorter
6faeda5b3f51f40b    4 of   6   com/amaze/filemanager/utils/BookSorter
8a3b428d39d11bd6    5 of   7   com/amaze/filemanager/ui/views/FastScroller$ScrollListener
02adb2926b108399    1 of   3   com/amaze/filemanager/utils/glide/CloudIconModelFactory
6824050a9c67bdf1    4 of 187   com/amaze/filemanager/utils/MainActivityHelper
ba1436cfa984d7e6   84 of  91   com/amaze/filemanager/ui/icons/MimeTypes
7ca5ab68f42f9b59    8 of 144   com/amaze/filemanager/GlideOptions
63cc43e6bfb3de58    1 of  14   com/amaze/filemanager/fragments/MainFragment$4
915c78c2b2a4cff9    6 of   6   com/amaze/filemanager/utils/application/AppConfig$1
1b39c8675d88a413    1 of  13   com/amaze/filemanager/activities/MainActivity$2
e25173c748311562    1 of   2   com/google/android/material/R$styleable
eb77c0f560ac38e9   89 of 207   com/amaze/filemanager/ui/views/Indicator
67088613fd944848    1 of   9   com/amaze/filemanager/activities/MainActivity$FabActionListener
dbdbea45f4f7eeae    2 of   3   com/amaze/filemanager/ui/views/FastScroller$1
a93ecbee30e04ffa    8 of  12   com/amaze/filemanager/adapters/glide/RecyclerPreloadModelProvider
d284ac083c41a700    1 of   2   com/leinardi/android/speeddial/R$styleable
ab1f3ba14b330140   56 of  86   com/amaze/filemanager/ui/views/FastScroller
5dcae23337dd81eb    1 of   7   com/amaze/filemanager/fragments/MainFragment$5
3230620a077f3495    2 of   2   com/amaze/filemanager/utils/application/LeakCanaryApplication
fb0939949a2f7662   17 of  48   com/amaze/filemanager/activities/MainActivity$1
ebefe5240644145b    2 of   8   com/amaze/filemanager/utils/TinyDB
1bf8bc9041064fb8   25 of 368   com/amaze/filemanager/filesystem/FileUtil
ad163a7983f4fa4c   11 of  53   com/amaze/filemanager/filesystem/HybridFileParcelable
d83841055182e063    7 of  10   com/amaze/filemanager/filesystem/ssh/CustomSshJConfig
3eb2eba15b25a4e8    2 of   3   com/amaze/filemanager/utils/application/AppConfig$CustomAsyncCallbacks
2256d43bfe4603f4    5 of   8   com/amaze/filemanager/adapters/holders/SpecialViewHolder
092f6caaa92ce076    2 of   3   com/amaze/filemanager/adapters/glide/RecyclerPreloadSizeProvider$SizeViewTarget
0f54e0e080786b2d   56 of 191   com/amaze/filemanager/utils/DataUtils
33eda0698f360d53    2 of   5   com/amaze/filemanager/database/models/Tab
00caf2fedc7f21aa   32 of 169   com/amaze/filemanager/filesystem/RootHelper
0ef4e1721aa00ec2  139 of 547   com/amaze/filemanager/adapters/RecyclerAdapter
bbe3e207129eb89d    1 of   5   com/amaze/filemanager/adapters/data/IconDataParcelable$1
2f871b227bcd7980    1 of   3   com/amaze/filemanager/adapters/glide/apkimage/ApkImageModelLoaderFactory
7ebb40dd20d1315d    1 of   3   com/amaze/filemanager/ui/views/appbar/BottomBar$1
fb3d58e0220eff23   19 of 503   com/amaze/filemanager/utils/files/FileUtils
26e2fe008b1bf303    4 of   6   com/amaze/filemanager/utils/theme/AppThemeManager
7b8bc9146cb4fcd1    2 of   3   com/amaze/filemanager/utils/DataUtils$DataUtilsHolder
ce8daa6f0d6aeb72    1 of   2   com/amaze/filemanager/R$styleable
e195739d7bdba02f    3 of   7   com/amaze/filemanager/utils/LruBitmapCache
6d36c24aa92c2dac   28 of 247   com/amaze/filemanager/asynchronous/asynctasks/LoadFilesListTask
dc69616de229b6d2    8 of  45   com/amaze/filemanager/ui/views/appbar/SearchView

