[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Aegis-_v3.4.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
74f0c89b7522a1e1   27 of  51   androidx/appcompat/view/ContextThemeWrapper
b34fbbc82b9edbb2   12 of  15   com/bumptech/glide/manager/LifecycleRequestManagerRetriever
ac7f02f4e3c41de3    4 of   7   com/beemdevelopment/aegis/JacocoInstrument/SMSInstrumentedReceiver
07eff10b78321e62    9 of  16   com/beemdevelopment/aegis/SortCategory$1
d5f2c85934776967    2 of   5   androidx/core/view/GravityCompat
fe4a4bd0ac96a1b2    3 of  15   kotlin/collections/EmptyIterator
16e42f4474c91dd7    1 of  18   androidx/recyclerview/widget/ItemTouchHelper$ItemTouchHelperGestureListener
52bdda850f948713    6 of  21   androidx/activity/ComponentActivity$onBackPressedDispatcher$2
ef9c550d3e4a1464    4 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
e0e62aafe795fd18    1 of   1   androidx/fragment/app/Fragment$AnimationInfo
474895bf1f344d06    9 of  59   androidx/core/app/ComponentActivity
464c447cbbe4811e    3 of 101   androidx/core/view/NestedScrollingChildHelper
8cf462ebc7e8513d    1 of 122   androidx/core/app/ActivityCompat
27b4ab5d171df338   48 of 264   androidx/collection/SimpleArrayMap
8e3378015dee130e    2 of  11   androidx/lifecycle/ViewTreeLifecycleOwner
8ef4c5f824be9764    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
96683fdc1a5ffb36    5 of  31   kotlin/collections/EmptyMap
e32d196195363f98    2 of  39   androidx/core/view/DifferentialMotionFlingController
fc1ff57cf77dfefd    1 of   5   com/bumptech/glide/load/engine/DiskCacheStrategy$2
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
9c97428c5b67bd90    1 of  30   com/google/common/collect/ImmutableCollection
e39b580c78086372    2 of   2   com/beemdevelopment/aegis/ui/Hilt_AegisActivity$1
189d1e841728c1de   33 of 318   androidx/appcompat/widget/ActionMenuView
d273a17e6dff1e06    7 of  19   com/bumptech/glide/manager/TargetTracker
0a2abf471ff85a62    5 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
cb813a4647236e1e    6 of  10   androidx/fragment/app/FragmentStateManager$2
1eb5e31e6d413811    1 of   2   androidx/appcompat/widget/SearchView$1
7f3ffd75162e0499    5 of  11   com/google/android/material/animation/AnimationUtils
a2237d5d5a136c6d    3 of   9   com/google/android/material/floatingactionbutton/FloatingActionButton$Behavior
eb18410014d467ce    6 of   6   com/bumptech/glide/load/engine/DiskCacheStrategy
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
baafa6131c45d1ff   18 of  47   androidx/lifecycle/SavedStateHandleSupport
9a299f2999d9f5d1   76 of 793   androidx/core/view/ViewCompat
0bf97f86f2f63784    1 of  16   com/google/common/collect/CollectPreconditions
4da7341b5711ffa0    5 of  80   androidx/savedstate/SavedStateWriter
85ca33fd03037424   33 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
c203a140892b4b7e    1 of   6   com/beemdevelopment/aegis/ui/intro/IntroBaseActivity$SlideSkipBlocker
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
da9c297a5681dc7a  225 of 610   androidx/constraintlayout/widget/ConstraintLayout
1f2b041ed6cf1cd9    2 of   6   kotlinx/coroutines/CoroutineDispatcher$Key$1
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
d2a16d39f0862e3a    1 of   5   com/beemdevelopment/aegis/AegisModule_ProvidePreferencesFactory
b67cb2e2cbbaa600   10 of  13   androidx/lifecycle/viewmodel/MutableCreationExtras
efcc740e76ae9c49    1 of  10   androidx/fragment/app/FragmentManager$9
420cc8df56645d91    4 of  61   androidx/lifecycle/viewmodel/internal/ViewModelImpl
595a534fad2ca61e   29 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
e1c808a79abc82fa    2 of  10   kotlin/random/AbstractPlatformRandom
05298fab7bcfd866    2 of  21   kotlinx/coroutines/Job$DefaultImpls
b389eab307bd77a9   75 of 111   androidx/appcompat/view/SupportMenuInflater$MenuState
e1be7d7e0470719f   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
35dcfda546ca7783    3 of   3   com/bumptech/glide/load/engine/cache/MemorySizeCalculator$DisplayMetricsScreenDimensions
eafc53de883d082e   11 of  48   com/bumptech/glide/load/engine/ActiveResources
0e516aeb9f066a84    8 of  10   androidx/lifecycle/LifecycleRegistry$Companion
47c2c612a23eb2d7   19 of 123   com/bumptech/glide/load/engine/bitmap_recycle/LruBitmapPool
9f64350e7daab6fa    9 of 112   com/bumptech/glide/load/engine/bitmap_recycle/LruArrayPool
b340133ccd4df40d    1 of   1   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$1
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
247bdab0d3da842e    3 of  30   androidx/appcompat/view/menu/SubMenuBuilder
dece79f46109ff72   94 of 140   androidx/lifecycle/LifecycleRegistry
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
589688b10b479a22    7 of  93   androidx/recyclerview/widget/PagerSnapHelper
d53cba1273d3a5b9   43 of 252   com/beemdevelopment/aegis/Preferences
d57ca78933f86043   12 of  24   androidx/fragment/app/FragmentManagerState
7dda123f43f16544    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
692af2c2998b8332    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
23f27b3585b13c25    1 of  11   androidx/lifecycle/ViewModelProvider$NewInstanceFactory
ee219854969c31bf    2 of   3   androidx/lifecycle/viewmodel/CreationExtras$Empty
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
4f0a00cf229e1403    2 of   3   dagger/hilt/android/internal/modules/ApplicationContextModule
0c797d7f7f1eaf40    2 of   3   com/bumptech/glide/load/engine/cache/InternalCacheDiskCacheFactory
f4e61682959ac6a7    5 of   8   androidx/lifecycle/ViewModelProvider$Factory
f183994421041098    1 of   5   dagger/hilt/android/internal/modules/ApplicationContextModule_ProvideContextFactory
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
e33cf84b79ca53e2    7 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
3c1cc1563a520e47    5 of  94   androidx/recyclerview/widget/OpReorderer
63c679cbd12d7a42    4 of  13   kotlinx/coroutines/CoroutineDispatcher
57692d29680f132d   39 of 238   androidx/collection/LongSparseArray
e42e3a886d01bac5    3 of 158   androidx/recyclerview/widget/ItemTouchHelper$Callback
bb31c4d620e39e6c    2 of  23   com/google/android/material/chip/ChipGroup$PassThroughHierarchyChangeListener
203aeebbd7c2582a    1 of   1   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$3
9c8089427f1773bc   30 of 102   androidx/emoji2/text/SpannableBuilder
224d020298aec18f   51 of 239   androidx/collection/ArraySet
5c53bbd695ea1301    2 of  44   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
ff2f3bad19123ce1    3 of   3   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1
b4acf6e1f5d626ee   12 of  41   androidx/fragment/app/SpecialEffectsController$Operation$State
ec8e421416a1b94d    3 of  54   com/beemdevelopment/aegis/ui/glide/GlideRequests
0f61a6335fcfd7e7    4 of  22   androidx/room/TransactionExecutor
f29ae346c83a409b    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
864b2e698729ce8b    1 of   5   androidx/appcompat/widget/SearchView$2
80ac4d00a3d52ff9   10 of  28   androidx/viewpager2/adapter/FragmentStateAdapter$FragmentEventDispatcher
76de7532fd56f73a   11 of  20   androidx/constraintlayout/core/widgets/ConstraintWidget$1
5893e13abb864bae    3 of  24   androidx/core/os/BundleCompat
3fbbe6868f0e77b2    7 of  11   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
91e24d2cec592915    1 of   6   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton$1
e22a5bd2fe47b63d   26 of  45   com/beemdevelopment/aegis/ui/intro/SlideIndicator
76c0b7845fe05f27    1 of  14   kotlin/collections/ArraysKt__ArraysJVMKt
8db12c2cb5c065d8  325 of 1652   androidx/constraintlayout/core/widgets/ConstraintWidget
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
0c3706b71ac229cb   33 of 140   androidx/appcompat/widget/AppCompatButton
482b054e11f4fd1b   10 of 127   kotlin/jvm/internal/Intrinsics
df60e8640de6bb70   47 of  69   com/google/android/material/appbar/HeaderScrollingViewBehavior
d072ceee70948f9b    1 of  64   androidx/recyclerview/widget/ItemTouchHelper$2
f293ea743c71ed02    2 of   3   com/beemdevelopment/aegis/ui/intro/IntroBaseActivity$BackPressHandler
83f8f600ef115373   14 of  52   androidx/fragment/app/FragmentController
85a970fff32a6fe6    1 of   8   com/bumptech/glide/load/engine/cache/DiskLruCacheFactory
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
22a2bac38a86237c    4 of  40   androidx/collection/ArrayMap$MapIterator
5f10f9cc10ddaf9d    2 of 120   com/google/android/material/drawable/DrawableUtils
b568540ac91f31e3    2 of   2   kotlin/coroutines/ContinuationInterceptor$Key
9bce19d8783ea3b6    6 of  21   kotlinx/coroutines/JobImpl
e1f6e446da979687  106 of 311   androidx/constraintlayout/core/ArrayRow
0fc3cfa736406f85   13 of  21   androidx/activity/OnBackPressedCallback
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
dba822c3cbd78b1e    6 of  12   com/bumptech/glide/manager/DefaultConnectivityMonitorFactory
5abac3435530256a    1 of   1   androidx/lifecycle/ViewModelProvider$special$$inlined$Key$1
75792eeb30e612d2    3 of  53   androidx/core/os/BundleKt
54653fa5bb7cf917    9 of  39   androidx/activity/ComponentActivity$activityResultRegistry$1
b99821f4ccce850d    1 of   2   com/bumptech/glide/load/engine/ActiveResources$2
7bb440a7e6276484    1 of   5   com/beemdevelopment/aegis/AegisModule_ProvideAppDatabaseFactory
1cdf2bda0aa17c15   15 of  68   com/google/android/material/resources/MaterialResources
27b37ff40ee31f16    2 of   3   androidx/appcompat/content/res/AppCompatResources
82ea915f0e38343e    1 of  13   com/bumptech/glide/manager/LifecycleRequestManagerRetriever$SupportRequestManagerTreeNode
c19bc23b82daa8ce   10 of  60   androidx/core/os/LocaleListCompat
e951fb74db6f20fd    1 of   4   androidx/appcompat/widget/SearchView$10
efc55341a6a0bb9d    3 of  14   com/bumptech/glide/load/engine/Jobs
e1f2a0dcbb88531c    3 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
35036491e229c200    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
ef2156c553666b3c    6 of  36   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper
dd907259b0c3feb5    9 of  10   com/beemdevelopment/aegis/CopyBehavior
f96207ce68681f02    1 of   1   androidx/customview/view/AbsSavedState$1
57c0811c25423a57    3 of   9   androidx/viewpager2/widget/ViewPager2$2
e971e8e4ed2f9d71    1 of   2   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider$3
fa6b954937772999    2 of  15   androidx/appcompat/view/menu/ActionMenuItemView$ActionMenuItemForwardingListener
ddd8208912006683   13 of 137   androidx/core/view/WindowInsetsCompat$Impl20
092cd20fac31b6c7   74 of 208   androidx/fragment/app/SpecialEffectsController
99e728fd317ec1b2    9 of  16   androidx/cardview/widget/CardView$1
c81b1fe81e16383c    1 of   1   com/beemdevelopment/aegis/AegisApplication_HiltComponents$ActivityC
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
25430b3e414ec6ee    2 of 258   com/google/common/base/Preconditions
407e4064bc4dd588    3 of  35   com/bumptech/glide/load/engine/bitmap_recycle/GroupedLinkedMap
3e45f1faec20aa7e    1 of  25   com/beemdevelopment/aegis/ui/views/TotpProgressBar
1fbfe26e7d204910    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
e5430ddbcac82bb1    5 of 147   com/beemdevelopment/aegis/vault/VaultRepository
2c67b393dedfe8c9    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
f723ca7021068db7   23 of 109   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider
106383017e106494    6 of  74   androidx/core/view/ViewConfigurationCompat
67ddce80a107e1b3    1 of   1   com/beemdevelopment/aegis/AegisApplication
58fab761cabb2cc9    4 of   5   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
4bbb39a90f40a4b9   18 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
890d82b2bf304d62    1 of   5   androidx/fragment/app/FragmentState$1
