[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/AmazeFileManager-3.4.2-_1837_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
acc10f0f92d19a04    8 of  30   com/amaze/filemanager/ui/views/drawer/CustomNavigationView
5db93000d451e27b    2 of  28   com/amaze/filemanager/asynchronous/handlers/FileHandler
b8ec43b0b7eff1f6    2 of  13   com/amaze/filemanager/ui/colors/UserColorPreferences
ef8a094eea4fdf14    1 of   9   com/amaze/filemanager/activities/MainActivity$FabActionListener
1b5d5b1f48653d29    8 of  18   com/amaze/filemanager/filesystem/usb/SingletonUsbOtg
0f54e0e080786b2d   56 of 191   com/amaze/filemanager/utils/DataUtils
a5bd17258085b0f0    3 of   3   com/amaze/filemanager/ui/views/Indicator$PendingRevealAnimator$1
d4cb89a747357954   17 of 533   com/amaze/filemanager/filesystem/HybridFile
0318480af414500d   11 of  20   com/amaze/filemanager/fragments/MainFragment$8
8c84753e25fb2fbd    7 of  75   com/amaze/filemanager/utils/Utils
7e7ea96ae3bde504   28 of  44   com/amaze/filemanager/ui/views/Indicator$PendingRetreatAnimator
08ceb8d25015ee66   19 of 503   com/amaze/filemanager/utils/files/FileUtils
4dfc9920ce682c99    4 of   8   com/amaze/filemanager/ui/views/ThemedTextView
1aa5ae5a8bc656f6    7 of  14   com/amaze/filemanager/ui/views/appbar/BottomBar$6
24fa0e9543817603    1 of   2   androidx/recyclerview/R$styleable
86c792416b2d6ed9  158 of 683   com/amaze/filemanager/fragments/MainFragment
9b2cb1a23edf5f12   11 of  11   com/amaze/filemanager/ui/views/Indicator$PendingRevealAnimator
33eda0698f360d53    2 of   5   com/amaze/filemanager/database/models/Tab
8912d819eae46d67    9 of  17   com/amaze/filemanager/adapters/RecyclerAdapter$ListItem
c351e29599d2fd06   56 of  86   com/amaze/filemanager/ui/views/FastScroller
2f871b227bcd7980    1 of   3   com/amaze/filemanager/adapters/glide/apkimage/ApkImageModelLoaderFactory
646100241419c209    4 of  76   com/amaze/filemanager/ui/views/RoundedImageView
02adb2926b108399    1 of   3   com/amaze/filemanager/utils/glide/CloudIconModelFactory
67e881ad85014521    1 of   2   com/google/android/material/R$styleable
17a3bb9adbb6e6d7   15 of 147   com/amaze/filemanager/activities/superclasses/ThemedActivity
bbe3e207129eb89d    1 of   5   com/amaze/filemanager/adapters/data/IconDataParcelable$1
9dcbcff1df9fa001    9 of  19   com/amaze/filemanager/fragments/MainFragment$1
