[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Clock-_1.6.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
7086f7ea35639271    3 of   5   com/google/gson/internal/bind/TypeAdapters$29
9c67dfd42c7c7fb0    7 of  22   kotlin/internal/ProgressionUtilKt
1b0f4ce0dd4eb220    1 of   3   org/fossify/commons/helpers/BaseConfig$showCheckmarksOnSwitchesFlow$1
cf1d27d7b4ff7cb4    2 of  26   com/google/android/material/appbar/AppBarLayout$BaseBehavior$SavedState
4086d8c8ca51c29e    1 of   5   androidx/profileinstaller/ProfileVerifier$CompilationStatus
3899c3311e9a25b1    6 of  50   androidx/core/view/WindowInsetsCompat$Impl
11547f9a2b14455c    1 of   5   kotlin/TuplesKt
bef6c048a9df67e9    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
c4aa43f20da03a72    9 of 1802   kotlin/collections/CollectionsKt___CollectionsKt
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
7945bf38b8b19641    1 of  12   com/google/gson/internal/bind/TypeAdapters$21
d48599621075951d   95 of 282   androidx/appcompat/widget/ActionMenuPresenter
a8fb22d2f3b3e915    6 of  15   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement$ensureCursor$1
dcdfb7476bff90e8   10 of  14   androidx/core/view/WindowInsetsCompat$TypeImpl30
3a71f3599d5acce3    2 of   3   androidx/lifecycle/SavedStateHandlesVM
db78fb04b64886a5    3 of   7   androidx/core/view/GestureDetectorCompat
b5aec3b6c79d1116    3 of 342   org/fossify/clock/activities/IntentHandlerActivity
48a5d8ebf4fd9427    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
f5d7a570c7699f59    1 of   2   com/google/gson/FieldNamingPolicy$4
4e0de26bd373cf82    1 of  15   com/google/gson/internal/bind/TypeAdapters$22
62a1ade9dfe8c038    1 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
8451f6a3c16dfb04    1 of   2   kotlinx/coroutines/StandaloneCoroutine
f3e6ffd53c13e8bb    2 of  10   com/google/gson/Gson$FutureTypeAdapter
450fcbdfb8d24e9d    1 of  10   kotlin/jvm/internal/MutablePropertyReference0
28e2e60e98dd7692  222 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
3ca40a9b385996c5    1 of   1   kotlinx/coroutines/Job
892e61a172c92ae0    1 of   1   kotlinx/coroutines/internal/ThreadLocalKt
74f0c89b7522a1e1   29 of  51   androidx/appcompat/view/ContextThemeWrapper
8724e8df7f2fe87c    4 of   4   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration$Companion
2fbae065d6c191b4    1 of   2   androidx/room/coroutines/PassthroughConnection$transaction$1
acfc6b4bbaaad5b2    2 of   8   org/greenrobot/eventbus/AsyncPoster
1f218dfaf3f62182   10 of  12   org/fossify/commons/helpers/AppLockManager$Companion
9194713efa0fda0a    5 of  10   com/google/gson/TypeAdapter$NullSafeTypeAdapter
3697ac007206c024    1 of  80   androidx/savedstate/SavedStateWriter
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
b6c23595800653e8    9 of  16   androidx/lifecycle/Lifecycle$Event$WhenMappings
d5f2c85934776967    2 of   5   androidx/core/view/GravityCompat
f37e6a8b8a873bc9    2 of  12   com/google/gson/internal/LinkedTreeMap$EntrySet
1b7a88c1af456c42    4 of  11   androidx/core/view/PointerIconCompat
fcffa2fa2152dfea    2 of  30   kotlinx/coroutines/JobKt
030ffd29b99e8f07    8 of  22   com/google/gson/TypeAdapter
f307b250dd5084c5   16 of  29   androidx/core/view/WindowCompat
e0e62aafe795fd18    1 of   1   androidx/fragment/app/Fragment$AnimationInfo
beb940e8ba9d0404    3 of   5   com/google/gson/internal/sql/SqlDateTypeAdapter$1
464c447cbbe4811e    3 of 101   androidx/core/view/NestedScrollingChildHelper
69572dd5c24fa600   41 of 107   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
91278e68fc2393a2   82 of 265   androidx/room/TriggerBasedInvalidationTracker
90003fb490223759    6 of  11   kotlin/LazyKt__LazyJVMKt
a7b8bd0bbac850aa    4 of  15   org/fossify/commons/databinding/BottomTablayoutItemBinding
9fd3ec392b5d0061   25 of  87   androidx/navigationevent/NavigationEventHandler
8ef4c5f824be9764    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
3f39e153585abee7    2 of  11   androidx/savedstate/ViewTreeSavedStateRegistryOwner
d8a938adb86b98b8    3 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
