[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Markor-_v2.16.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
9b0b3fb5e0b1846a   20 of  85   androidx/appcompat/widget/AppCompatBackgroundHelper
39188882d94b48bf    7 of  36   androidx/appcompat/widget/RtlSpacingHelper
9d8530dee7247e0f    7 of  11   androidx/core/app/CoreComponentFactory
6a8321ec1cadcfb2    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
09010609143bf341   11 of  22   com/google/android/material/stateful/ExtendableSavedState
f0e5068bddbd63a6    1 of  88   androidx/core/graphics/TypefaceCompatApi29Impl
cca066dd09642b6f    4 of  37   androidx/appcompat/widget/ThemeUtils
b81042fa480d8a9f    1 of  10   androidx/fragment/app/FragmentManager$10
2719d2d6056bb4dc    1 of  59   androidx/recyclerview/widget/SimpleItemAnimator
4d9ea98ba2f8ea94   28 of 100   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider
a3d0757233bfad64  158 of 354   com/google/android/material/navigation/NavigationBarItemView
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
314f65e670bc0891    2 of  46   kotlin/collections/MapsKt__MapsJVMKt
6231d92037e51c71    1 of  10   androidx/lifecycle/ViewTreeViewModelStoreOwner
bef6c048a9df67e9    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
a473bc27a6af1272    1 of  13   androidx/core/view/ViewCompat$Api21Impl$1
0ca63118dc252510    2 of   4   com/google/android/material/floatingactionbutton/BorderDrawable$BorderState
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
3e643bdfb0d4ade0   10 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
a044e62c40f39214   15 of  38   com/github/appintro/internal/LogHelper
4128b8589ce72906    3 of 126   kotlin/collections/CollectionsKt__CollectionsKt
e2ea0428be97d0c2   34 of  51   androidx/lifecycle/ReportFragment
e97c8b7cac7e8ae6    1 of   3   androidx/core/content/res/ResourcesCompat$Api23Impl
62a1ade9dfe8c038    1 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
bc8a21ad43210aa6   22 of  55   com/google/android/material/internal/ThemeEnforcement
6f516ef6be7e937b    1 of   2   androidx/appcompat/app/AppLocalesStorageHelper$ThreadPerTaskExecutor
2a9670b32a4030c6    2 of  21   androidx/viewpager2/widget/ViewPager2$AccessibilityProvider
77b7afc4db197bcc    3 of   3   androidx/appcompat/app/AppCompatActivity$1
b5959da49986a51e    2 of  86   androidx/collection/LruCache
92b5a3df18833940   16 of  96   androidx/fragment/app/FragmentTransaction
f7d97112bb410926    6 of   8   androidx/fragment/app/FragmentActivity$1
20e1c76dc8a4e786  124 of 311   androidx/constraintlayout/core/ArrayRow
d43e41a4678f2eba    1 of   6   androidx/viewpager2/widget/ViewPager2$3
a2901c56b7aaf9d9    2 of   3   androidx/arch/core/internal/SafeIterableMap$DescendingIterator
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
2f6bdece12becfa2    1 of   7   com/google/android/material/navigation/NavigationBarMenuView$1
11a59483da093795    1 of   2   androidx/appcompat/app/AppLocalesMetadataHolderService$Api24Impl
f622755583ae0062    4 of  20   androidx/core/view/ViewCompat$Api16Impl
741bc8b0c8da48ca   50 of  94   com/google/android/material/floatingactionbutton/FloatingActionButtonImplLollipop
2d8ec170a7aee3ec   19 of  69   com/github/appintro/AppIntroFragment$Companion
4926f82b11a7f414    4 of   9   com/google/android/material/navigation/NavigationBarView$SavedState
aa122665a1f7fd3f   58 of 214   androidx/activity/ComponentActivity
7dfe621e42030123    3 of  53   androidx/core/view/MenuHostHelper
00ef17488da05ac7   13 of  36   androidx/appcompat/widget/ViewUtils
df2ed2d021173028    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
d3f35a0b8431550d    1 of   4   com/google/android/material/shape/RoundedCornerTreatment
2a3c9547ec391386   11 of  44   com/google/android/material/elevation/ElevationOverlayProvider
b543a8c6e18530c6    1 of   1   com/google/android/material/internal/StateListAnimator$Tuple
25dadc5426a6e3ef  104 of 379   androidx/appcompat/widget/AppCompatTextHelper
18bfcce155c2c154   30 of  73   androidx/arch/core/internal/SafeIterableMap
b2d020a589ad0713  139 of 2094   androidx/recyclerview/widget/RecyclerView
19c71321b83eae16    4 of   9   androidx/recyclerview/widget/RecyclerView$SavedState
05902c2e147b5916    1 of   4   androidx/core/content/ContextCompat$Api19Impl
22ba47b2fe324fef    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
f85aa29c7be505f5    4 of   7   androidx/lifecycle/ViewModelProviderGetKt
53d602a872cf9366   35 of 167   com/github/appintro/model/SliderPage
264310a16709b932   14 of 773   androidx/transition/Transition
dae72e343e866e89    2 of  46   androidx/viewpager2/widget/FakeDrag
d6c54273311e9574   30 of 140   androidx/appcompat/widget/AppCompatButton
de1f2d558f912006    3 of   8   androidx/activity/ComponentActivity$4
f6f85f485c81b9ef    1 of  42   com/google/android/material/color/MaterialColors
f35cabe69e425a26    2 of  19   androidx/viewpager2/widget/ViewPager2$RecyclerViewImpl
620ec3a2352d685e    1 of   3   com/google/android/material/internal/ViewUtils$RelativePadding
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
64639ea8f5cef3e5   24 of  50   com/google/android/material/bottomnavigation/BottomNavigationView
7410ec982bebf382    6 of   8   androidx/lifecycle/ProcessLifecycleOwner$3
c0f47f8e8adbf946    9 of  29   com/google/android/material/appbar/AppBarLayout$LayoutParams
2cdfeaa36ca43630    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
438db1077a542032    2 of  30   androidx/transition/Fade
2432f344711be281    3 of  34   com/google/android/material/motion/MotionUtils
7a167f30db779ebd    6 of  10   androidx/fragment/app/DefaultSpecialEffectsController$10
8e032358e7bb5210    7 of  19   androidx/recyclerview/widget/LinearLayoutManager$SavedState
0304387ae9a23a2e    1 of   4   androidx/core/content/ContextCompat$Api23Impl
6a5df192f8801fbc    1 of   4   androidx/lifecycle/ProcessLifecycleOwner$2
b2ee227991381157    3 of   3   androidx/lifecycle/ProcessLifecycleOwner$3$1
8598e39f7ed76c2b    7 of  13   androidx/recyclerview/widget/OrientationHelper
e480c38f770f7cfc   67 of 333   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl
cb81c30b2710eb67   24 of  93   androidx/appcompat/widget/ContentFrameLayout
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
75415101eb9206d2    4 of   4   androidx/constraintlayout/core/Cache
2a19cf378c5a6475   15 of  27   androidx/lifecycle/Lifecycle$1
151aec64b6bd82c7    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$DisabledElevationAnimation
747317b788d9da19    1 of   7   androidx/fragment/app/Fragment$4
e9893f48f53faef9    2 of   4   androidx/lifecycle/MutableLiveData
04ec8e05d9b82e5c    8 of  10   net/gsantner/markor/ApplicationObject
94103f1a03f4bdf1  334 of 1554   androidx/constraintlayout/core/widgets/ConstraintWidget
f48900b9d2030321    1 of   3   kotlin/jvm/internal/Lambda
56a0f12449ff7b6d   18 of  25   androidx/savedstate/SavedStateRegistryController
7141818a39211cfc    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
5b2becd0bde91705    5 of  45   kotlin/jvm/internal/ClassReference$Companion
dda643c5857b2a00    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
deba29aae29c6495    2 of   6   androidx/savedstate/ViewTreeSavedStateRegistryOwner
65c1ab1a95bdee7f    3 of  25   androidx/emoji2/viewsintegration/EmojiInputFilter$InitCallbackImpl
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
8b2c147b09154759    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
7f3c4943d110c273   36 of 120   androidx/appcompat/app/AppCompatDelegate
4dabd8d9ebe2cb8d   42 of 125   androidx/fragment/app/FragmentActivity
93020481f0aa0234   89 of 193   androidx/constraintlayout/widget/ConstraintLayout$Measurer
03064aedfdf12538    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
88e75b2c4ca01e49   18 of  71   com/google/android/material/animation/MotionSpec
dae5e4d9fed9e1c7   93 of 254   androidx/constraintlayout/core/widgets/Chain
6a7801312252543f    9 of  14   androidx/fragment/app/DefaultSpecialEffectsController$SpecialEffectsInfo
eeaa5bed8f9987f8    1 of   3   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider$1
68ea15486038ecb3    1 of   6   androidx/activity/ComponentActivity$1
b668aac56d5db8da    2 of   3   androidx/appcompat/content/res/AppCompatResources
e145cad7685bcee5    1 of   5   androidx/transition/ChangeBounds$3
6aea8186b552af11    5 of  12   com/google/android/material/navigation/NavigationBarMenu
89f8bccbef612b62   14 of  35   androidx/fragment/app/SpecialEffectsController$Operation$State
6e253711f8f1ecf3    2 of  38   com/github/appintro/internal/TypefaceContainer
c6026e18fdf740da    3 of  14   androidx/arch/core/internal/SafeIterableMap$Entry
759696d02f8685f9    1 of   9   androidx/viewpager2/widget/ViewPager2$SavedState$1
96a91734e9df0578    6 of  34   androidx/savedstate/Recreator
ff45fe83727cba80    1 of   4   com/google/android/material/internal/ViewUtils$4
bd23015e5434b573    4 of  41   com/github/appintro/AppIntro
d3b253b956f3dfc5    6 of  38   androidx/core/view/ViewConfigurationCompat
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
1e077a104cdaf98d    3 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
7cba19abc55d1d0c    2 of   2   androidx/constraintlayout/core/widgets/analyzer/BasicMeasure$Measure
e3aa612f440a1bce    1 of   8   androidx/recyclerview/widget/RecyclerView$AdapterDataObserver
30a8feadb958a619    4 of  42   androidx/core/content/FileProvider$SimplePathStrategy
6bf0cbca0bbeaac3    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
c598e4053f94eb41   11 of  13   androidx/emoji2/text/EmojiCompatInitializer$BackgroundDefaultLoader
b6d7e957ac0cb6c4    2 of   9   androidx/transition/ChangeBounds$1
1eae00258ea6e965    6 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
662ba200d47aa91a    1 of   1   androidx/lifecycle/SavedStateHandleSupport$DEFAULT_ARGS_KEY$1
4c8f408d9b68b625    5 of   5   androidx/lifecycle/LifecycleRegistry$ObserverWithState
3fd446a01d175933   50 of 140   androidx/core/content/res/ResourcesCompat
8628c19e823cecdf    6 of  56   com/google/android/material/animation/MotionTiming
4e1fe5af5a0f34e9    3 of   3   androidx/multidex/MultiDexApplication
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
87a23847c834fe8f    6 of  14   androidx/activity/OnBackPressedCallback
345ce771ed749f06    2 of  42   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
7def1dc6de654b2c    1 of   2   androidx/arch/core/executor/ArchTaskExecutor$2
f80c4c45d30f8227    1 of   1   androidx/viewpager/widget/ViewPager$ItemInfo
5d4d96390fc7fdd0    4 of   4   androidx/lifecycle/LifecycleDispatcher$DispatcherActivityCallback
f09b90a64ad7938e    4 of   7   net/gsantner/markor/JacocoInstrument/SMSInstrumentedReceiver
a0b661f8d8085c23    1 of  13   androidx/lifecycle/ViewModelProvider$NewInstanceFactory
e9fa5f0871caf65d    3 of  49   androidx/lifecycle/ViewModel
2bbfee2f15a61d5a    1 of   9   androidx/viewpager2/widget/ViewPager2$2
86cab66f20dddd15    4 of  25   com/github/appintro/AppIntroFragment
5fa71a272956fdb8    1 of   2   androidx/appcompat/widget/Toolbar$2
e3fe279534ae2daa   73 of 259   net/gsantner/markor/activity/MainActivity
d72e3fa29d3248cc    5 of  60   androidx/appcompat/widget/DrawableUtils
869cb48fd40e5b6e    1 of   4   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl23
cbe3b24e29efd134    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
b6d16a4ed22337cb    7 of   8   androidx/lifecycle/EmptyActivityLifecycleCallbacks
0eb5b472470d88bd    2 of   2   kotlin/UNINITIALIZED_VALUE
23e14be7eae27393    1 of   5   androidx/recyclerview/widget/LinearLayoutManager$SavedState$1
5ddc9cc8438f3fe1    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl29
e714645491accf96    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
56e5d0a01c62f75a    1 of  25   androidx/recyclerview/widget/OrientationHelper$2
5417c6d41a298994    7 of  93   androidx/recyclerview/widget/PagerSnapHelper
05996188a8041d93    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
ee7d145ddb77e0df    1 of   2   androidx/fragment/app/FragmentManager$3
0868addc41cc9df1    5 of  61   androidx/core/app/NavUtils
07145f2ab5a01c17    9 of 172   androidx/viewpager2/widget/ScrollEventAdapter
5b4f95023bc13c05    5 of  22   kotlin/Pair
dbc7962cb6036e64   17 of  31   androidx/lifecycle/Lifecycle$Event
932b9eeabdf385be    7 of  10   androidx/emoji2/text/ConcurrencyHelpers
2003ce3cbada4d68    1 of   1   androidx/lifecycle/SavedStateHandleSupport$SAVED_STATE_REGISTRY_OWNER_KEY$1
a1e7eb53b4757b51    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
e5e8d05c24113431   65 of 209   androidx/fragment/app/FragmentStore
0a3b83793bb4db62    6 of  13   androidx/appcompat/widget/Toolbar$SavedState
1ef15113fe38ac43    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
00c5c8a7a2259fdc    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
f3971fd52e701bad    1 of   3   androidx/viewpager2/adapter/FragmentStateAdapter$FragmentMaxLifecycleEnforcer$1
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
8db84235c321ed0e   39 of 126   androidx/core/content/FileProvider
7c52580e35f5440c    1 of   2   androidx/emoji2/text/ConcurrencyHelpers$Handler28Impl
d86ada52df5298c3   52 of 111   androidx/appcompat/view/SupportMenuInflater$MenuState
514eade519c228c3    1 of  21   com/google/android/material/internal/TextScale
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
7ed36378d13fc13a    3 of  40   androidx/recyclerview/widget/GapWorker$LayoutPrefetchRegistryImpl
481f8f304f6175ff    7 of  50   androidx/core/app/ComponentActivity
8be72fe98a5163ed    3 of  85   androidx/recyclerview/widget/ViewInfoStore
e5679b9ed2ec91a7   59 of  96   androidx/core/content/res/ColorStateListInflaterCompat
6b154c1fcc9cf225    1 of   7   com/google/android/material/stateful/ExtendableSavedState$1
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
0fa17cca37fdd52c    6 of   8   com/github/appintro/internal/LayoutUtil
f23562798771c282    2 of   2   androidx/lifecycle/Lifecycle
15fc7dbb61588ca0   34 of 142   androidx/appcompat/app/AppCompatActivity
3eb5c52e48c2fee6    1 of   1   androidx/activity/result/ActivityResultRegistry$CallbackAndContract
1e953303aa0fce26    1 of   9   androidx/transition/ChangeBounds$5
0b11eb4c7a6113fc    1 of  34   androidx/viewpager/widget/ViewPager$MyAccessibilityDelegate
f2a21d4d79ae9780    2 of  11   androidx/viewpager2/widget/ViewPager2$LinearLayoutManagerImpl
8a715f0de863bcdc    1 of  31   androidx/recyclerview/widget/RecyclerView$State
0fed1c15c623101f    2 of   9   com/google/android/material/internal/VisibilityAwareImageButton
f96207ce68681f02    1 of   1   androidx/customview/view/AbsSavedState$1
8154ae12f5bf2331    1 of  15   androidx/viewpager2/widget/PageTransformerAdapter
efa6e0a82561efa3    6 of   6   androidx/appcompat/app/AppCompatActivity$2
bd2b30ece21bf211    2 of  23   androidx/core/os/LocaleListCompat$Api21Impl
88b2734cbb8735b4    1 of  10   com/google/android/material/shape/AbsoluteCornerSize
e3b64bb328c0b50b    1 of   8   androidx/recyclerview/widget/RecyclerView$1
77de6e9874d3085a    1 of   2   androidx/fragment/app/Fragment$1
3c5335e3900d846c   19 of 151   androidx/fragment/app/FragmentManagerViewModel
cc696d2db22c66b9    1 of   3   androidx/viewpager2/widget/ViewPager2$1
35b72af10f99750e    1 of   7   androidx/recyclerview/widget/RecyclerView$SavedState$1
941472003bfa643f  258 of 650   androidx/constraintlayout/core/widgets/analyzer/Direct
8ddd1e28223e641e   13 of  58   androidx/activity/OnBackPressedDispatcher
9f7c50df2c6e5611   49 of 333   androidx/fragment/app/DefaultSpecialEffectsController
d3c31dfb16937175    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
cf468517b8ba0734   27 of  37   androidx/lifecycle/ProcessLifecycleOwner
b32a0b9cbcbb31d2   28 of  72   androidx/constraintlayout/core/SolverVariable
81e44f855b8bd808    2 of  67   kotlin/jvm/JvmClassMappingKt
61fd240e53c3a3d6    5 of   6   androidx/fragment/app/DefaultSpecialEffectsController$1
f256ae16290e50a9   15 of 153   androidx/appcompat/app/ToolbarActionBar
f22569dd8219bc09    1 of   2   com/google/android/material/appbar/AppBarLayout$1
6e6383d4bf7b1b22   30 of 349   androidx/recyclerview/widget/DefaultItemAnimator
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
abff7b8ab43979bc    4 of  48   androidx/core/content/res/GrowingArrayUtils
bdfdf5189b0c721b    1 of   7   com/google/android/material/navigation/NavigationBarView$SavedState$1
610115570643abe0   36 of 355   androidx/fragment/app/BackStackRecord
e8d63a9bc37ef8c9    1 of  42   androidx/recyclerview/widget/RecyclerView$RecyclerViewDataObserver
f7f31efff72ab3dd    3 of   4   androidx/viewpager2/widget/ViewPager2$PagerSnapHelperImpl
8caaecb6c5ebc00c   69 of 122   androidx/core/view/accessibility/AccessibilityNodeInfoCompat$AccessibilityActionCompat
b1b7bb2fdb4d182b   25 of  55   androidx/appcompat/view/ContextThemeWrapper
7b0966c6b05fa46e    2 of  16   androidx/core/view/ViewCompat$Api26Impl
05966d17d06cdaeb   10 of  19   androidx/arch/core/executor/ArchTaskExecutor
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
5dd9e0bdb2f6e598    7 of  18   androidx/emoji2/viewsintegration/EmojiTextViewHelper$SkippingHelper19
89b917f53796c3d0    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
244f8932b2399948    9 of  14   androidx/activity/contextaware/ContextAwareHelper
7e263b7b6cb6a7e4    2 of   2   com/github/appintro/AppIntroBase$Companion
f6668c6be9ab71be    1 of   2   androidx/activity/result/contract/ActivityResultContract
1e7d54e1ebe45f60   80 of 527   androidx/appcompat/view/menu/MenuBuilder
1cf6ed7b8fa08434    6 of  14   androidx/emoji2/viewsintegration/EmojiTextViewHelper
0b7531a5da895243   30 of  80   androidx/savedstate/SavedStateRegistry
4636e53b1840b953    1 of   2   androidx/appcompat/app/ToolbarActionBar$1
4cae1aa95765cf7c    3 of  26   kotlin/collections/CollectionsKt__IterablesKt
ea967c2e61e11d79    5 of   7   net/gsantner/opoc/util/GsContextUtils$ResType
e7b43612b93d6abb    1 of   2   androidx/recyclerview/widget/RecyclerView$3
9a28ef2afe510172    2 of   2   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion$ViewModelKeyImpl
0aee74cb10358036    8 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
449b4addf8be94df    3 of   3   com/google/android/material/bottomnavigation/BottomNavigationItemView
2436556bead5f1a3    8 of 146   androidx/collection/LongSparseArray
be0c94533cc5c0b7    1 of   5   kotlin/TuplesKt
aeb7ddc489b298ee    3 of   5   androidx/appcompat/widget/TooltipCompat
cf483a0fe5048673    2 of   2   androidx/viewpager2/widget/ScrollEventAdapter$ScrollEventValues
8040d9c3f35c64ee    2 of  57   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate$ItemDelegate
abb26818aada7f42   11 of  27   androidx/collection/ContainerHelpers
4dc5f18fff47c93f    9 of 146   androidx/transition/ChangeBounds
75ad94f961d21ab5   30 of 260   androidx/appcompat/widget/ToolbarWidgetWrapper
ca089b36a3361c3d    1 of   7   androidx/appcompat/app/AppCompatDelegateImpl$Api17Impl
d5de19f2977ac56e    2 of 170   androidx/core/graphics/ColorUtils
ade5f8ecd98522b4    1 of   5   androidx/appcompat/widget/Toolbar$1
587df1eca14172ed    2 of   3   androidx/lifecycle/viewmodel/CreationExtras$Empty
6ddbaf6c5185e10f    5 of   8   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
43aac459bf69aea5   15 of  23   net/gsantner/markor/activity/MarkorBaseActivity
907c0a43489640e9    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
2c50c871bc69660b    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ResetElevationAnimation
f48328bbf75c0520    4 of   6   androidx/recyclerview/widget/RecyclerView$Adapter$StateRestorationPolicy
