[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Lexica-_v3.13.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
3b8facd599da06de    1 of   2   androidx/core/view/ViewCompat$Api29Impl
bd8d252f7390c153   26 of  36   com/serwylo/lexica/lang/PortugueseBRNoDiacritics
c4eb8f1d5b3af6ae    8 of  36   com/google/android/material/elevation/ElevationOverlayProvider
10e6a26d175dd3b2  115 of 201   androidx/constraintlayout/solver/ArrayLinkedVariables
eaa53d7affd6066c   58 of  60   com/serwylo/lexica/view/LexicaLogo
996a43c5b9eb8b2e    4 of   4   androidx/constraintlayout/solver/Cache
1caaa5259bba025e   25 of  57   androidx/room/RoomSQLiteQuery
75e534d15e799526    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
4e2acb62577da859    4 of   8   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration$Builder
07b4f888fb9d3acd   29 of  44   com/serwylo/lexica/lang/Language
0eabed42d6c1b545    5 of   5   com/google/android/material/shape/MaterialShapeDrawable$1
cc77bcb914e3fc5d    3 of   3   androidx/activity/ComponentActivity$5
ba3794afb7e76b0d   29 of 138   androidx/appcompat/app/AppCompatActivity
b556edcae4e31e0c    4 of   8   androidx/sqlite/db/framework/FrameworkSQLiteProgram
16e5394233bf4e6b    1 of   2   androidx/appcompat/widget/TintInfo
d85863e7c23de1f7    1 of   5   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
a28327b43ab19bf3    2 of  19   androidx/core/util/ObjectsCompat
11d8072056c54844   28 of 125   androidx/fragment/app/FragmentActivity
c6d79ffc1b68f638    3 of   4   io/github/tonnyl/whatsnew/util/PresentationOption
53ccfd24f2e0ca76   29 of  39   com/serwylo/lexica/lang/SpanishSoloEnne
2cd3f1153f38b27d   11 of  11   io/github/tonnyl/whatsnew/WhatsNew$Companion
42827144f340e803    3 of  53   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
757592274249bf9d   88 of  96   com/serwylo/lexica/lang/Japanese
eab1c2f1a0dd7e15    1 of  10   androidx/fragment/app/FragmentManager$10
99ac8e84bf4ec8ef    1 of   6   androidx/activity/ComponentActivity$1
a3941598808ac40c    5 of  29   androidx/appcompat/view/WindowCallbackWrapper
f4d6a3341928bc45    1 of   4   androidx/lifecycle/MutableLiveData
f8661452d3dea77b   64 of 154   com/serwylo/lexica/db/GameModeDao_Impl
43266a8e651e4627   11 of  11   com/serwylo/lexica/view/ThemeProperties$TileProperties
e63a38642ed67e1a    1 of  13   androidx/core/view/ViewCompat$Api21Impl$1
aa1ad36559e53209    2 of   4   com/serwylo/lexica/view/LexicaLogo$BoxColor
264ad19cd2a665e5   21 of  46   androidx/appcompat/view/ContextThemeWrapper
7a0e2bd7c7d79a98    1 of   2   com/serwylo/lexica/db/ResultDao_Impl$3
6680e65463d2f191    8 of   8   com/serwylo/lexica/view/ThemeProperties
7eb3aed3c96c4995    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl29
47569fd31285809e  103 of 1384   androidx/fragment/app/FragmentManager
4e6e86ccffe4b5d8    1 of   2   com/serwylo/lexica/db/SelectedWordDao_Impl$2
62a940208a065c11    5 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
b5959da49986a51e   19 of  86   androidx/collection/LruCache
f7d97112bb410926    1 of   8   androidx/fragment/app/FragmentActivity$1
06aa8e8166d21c54    6 of  39   androidx/savedstate/SavedStateRegistry
39da8865478d7a9f    4 of  42   kotlin/collections/CollectionsKt__CollectionsJVMKt
70f066c4ffd8f743    1 of   2   androidx/fragment/app/FragmentContainer
f38c696b5e7bc42e    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
da39e175e2f15709   27 of 101   com/serwylo/lexica/db/migration/MigrateHighScoresFromPreferences
