[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5690c880a2207cab    3 of  30   org/libtorrent4j/swig/peer_error_alert
28e2e60e98dd7692  222 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
f59b268f2183023d    3 of   4   androidx/fragment/app/FragmentStateManager$1
60fe0e119c501214    3 of   6   io/reactivex/internal/operators/flowable/FlowableFlatMapSingle$FlatMapSingleSubscriber$InnerObserver
6e120c71e42a56fb    1 of   1   io/reactivex/internal/schedulers/ComputationScheduler$PoolWorker
cf04e0494ec14139   16 of  28   org/proninyaroslav/libretorrent/core/model/session/TorrentSessionImpl$2
ed0229a020ea94f0    3 of  30   org/libtorrent4j/swig/torrent_conflict_alert
d2af810318f4fbe1    8 of  14   androidx/drawerlayout/widget/DrawerLayout$SavedState
256990b606a253c1    4 of   5   androidx/fragment/app/Fragment$7
80ec2eff61be2f10    2 of   2   kotlin/collections/builders/SetBuilder$Companion
2f2db5dd10dcea93   20 of  39   io/reactivex/internal/schedulers/SchedulerPoolFactory
62813be233c56a19    4 of   4   io/reactivex/internal/operators/flowable/FlowableConcatArray
bbc65e86b52f90d0    2 of   2   io/reactivex/internal/operators/observable/ObservableMap
d046b4889014f41d    3 of   4   org/proninyaroslav/libretorrent/ui/BaseAlertDialog$SharedViewModel
8d5dc320e19aaf37    5 of   5   androidx/work/impl/WorkManagerImplExtKt$WorkManagerImpl$1
13d9caf113cb9a33   14 of  23   androidx/lifecycle/ReportFragment$Companion
83695bf9d7f28fb7   12 of  28   org/libtorrent4j/swig/alert_category_t
84df4d3c07113e28    5 of  61   androidx/core/view/AccessibilityDelegateCompat
2f052cf70c1eff0f    4 of   6   androidx/sqlite/db/SupportSQLiteCompat$Api19Impl
e6540e2db05098cd    5 of  41   androidx/work/Logger$LogcatLogger
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
808b4a569c7bb641    8 of  59   androidx/core/app/ComponentActivity
c607e4aae2cd3088    3 of  31   org/libtorrent4j/swig/dht_direct_response_alert
ac87114f005e9d7c    1 of   2   org/libtorrent4j/alerts/Alerts$2
53e69d54bb07c55e    1 of   5   org/proninyaroslav/libretorrent/core/sorting/TorrentSorting$SortingColumns$2
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
189d1e841728c1de   45 of 318   androidx/appcompat/widget/ActionMenuView
6d1702925fffc08c    1 of   2   org/nanohttpd/NanoHTTPD$DefaultTempFileManagerFactory
0a2abf471ff85a62    5 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
3ddcc35f8c0ae271    3 of  29   org/libtorrent4j/swig/piece_availability_alert
81ff11955f967f06    1 of   4   com/google/android/material/internal/NavigationMenu
7f3ffd75162e0499    5 of  11   com/google/android/material/animation/AnimationUtils
19e4a844ee48ff15    1 of   8   com/leinardi/android/speeddial/FabWithLabelView$1
84fdaccc180d80c2    3 of  29   org/libtorrent4j/swig/tracker_list_alert
24883a6e7ce9b30c    1 of   3   androidx/databinding/ViewDataBinding$1
0b5608634a4a487a    1 of   5   kotlinx/coroutines/internal/Symbol
11255467138067c7    6 of   9   org/acra/prefs/SharedPreferencesFactory
c151fda734cd593c    4 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$28
e89c908566caffdb    1 of   2   org/libtorrent4j/alerts/Alerts$33
bdf5b20d153acbca    1 of   4   androidx/recyclerview/selection/DummyOnItemTouchListener
0472df6921fd6bec    2 of  22   org/libtorrent4j/AlertMulticaster
bfdbcc92b4dca69a    3 of  29   org/libtorrent4j/swig/lsd_error_alert
2b10ef6e53f0a69d    8 of   8   io/reactivex/internal/schedulers/SchedulerPoolFactory$ScheduledTask
7544dc0fb68d8ed5    1 of   7   com/leinardi/android/speeddial/SpeedDialView$1
d96fcce5063bc2a4    1 of   3   androidx/core/app/NotificationCompatBuilder$Api31Impl
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
2a760f3d3c0f5859    1 of   2   org/libtorrent4j/alerts/Alerts$37
385cf1006141893d   19 of  85   androidx/recyclerview/widget/ViewInfoStore
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
2085861cfad03d6c    1 of   7   com/google/android/material/navigation/NavigationView$2
595a534fad2ca61e    4 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
e3a689ee3426ef45   70 of 123   androidx/appcompat/graphics/drawable/DrawerArrowDrawable
663486362ce86dc5    1 of   2   org/libtorrent4j/alerts/Alerts$85
41e8dd8b874dba1e    1 of   2   org/libtorrent4j/alerts/Alerts$95
f3c364d76b790d5d   10 of  24   androidx/room/RxRoom
d848a2ad692df2f8    1 of   7   org/proninyaroslav/libretorrent/databinding/DrawerNoTagsListItemBinding
ef47674e24519d6b   11 of  30   androidx/work/impl/model/PreferenceDao_Impl
b784441a257ac7d0    3 of  40   org/acra/collections/WeakStack
0df2932566a95947    3 of  24   org/libtorrent4j/swig/peer_unsnubbed_alert
fdf3c87781387585    1 of   2   androidx/fragment/app/FragmentManager$7
6e7f308a3023dfef   18 of  96   androidx/appcompat/app/ActionBarDrawerToggle
08d879daec923caa    1 of   2   androidx/lifecycle/ViewModelProvider$OnRequeryFactory
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
56d17d1d06360cbe   30 of 1177   io/reactivex/Observable
8fc35169a2060de8   85 of 349   androidx/recyclerview/widget/DefaultItemAnimator
