[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ownCloud-_v4.4.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
bb6fd6a616b22be6    1 of   2   com/google/android/material/appbar/AppBarLayout$1
2b585833ef222ce9    5 of  36   org/koin/core/logger/Logger
62c8b5834e70e99f   17 of  73   com/owncloud/android/db/PreferenceManager
dc9c4ce49f6bafb6   67 of  81   com/owncloud/android/dependecyinjection/CommonModuleKt$commonModule$1
52812fa7ade1806f    1 of   2   androidx/appcompat/R$styleable
01e9402e111b2071  109 of 726   com/owncloud/android/presentation/authentication/LoginActivity
ea3a2724117ceccc    3 of   4   kotlinx/coroutines/scheduling/UnlimitedIoScheduler
cda6986be29117ec    1 of   2   com/owncloud/android/data/files/db/FileDao_Impl$7
ed7685bcf835604c    1 of  63   com/owncloud/android/data/spaces/db/SpacesDao_Impl$4
833c5b29d39e6b38  151 of 553   com/google/android/material/internal/CollapsingTextHelper
a2901c56b7aaf9d9    2 of   3   androidx/arch/core/internal/SafeIterableMap$DescendingIterator
5befc2b68cc38523    2 of  23   kotlin/enums/EnumEntriesList
d2af810318f4fbe1    8 of  14   androidx/drawerlayout/widget/DrawerLayout$SavedState
80ec2eff61be2f10    2 of   2   kotlin/collections/builders/SetBuilder$Companion
0ca6b502f3deaac5    2 of   8   com/owncloud/android/dependecyinjection/ViewModelModuleKt$viewModelModule$1$31
116ed0f15da1fcff    1 of   8   com/owncloud/android/data/migrations/Migration_29Kt$MIGRATION_28_29$1
fce4a663859fcfdc   41 of 110   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
ba5e9b72d184d06e   18 of  37   com/google/android/material/internal/CheckableImageButton
6877b1ae5105b81b    2 of   3   kotlinx/coroutines/internal/ContextScope
18bfcce155c2c154   30 of  73   androidx/arch/core/internal/SafeIterableMap
e055d1d3f64c3705    2 of  16   com/owncloud/android/domain/appregistry/usecases/CreateFileWithAppProviderUseCase
37a64b4f0f77834e    2 of  12   com/owncloud/android/domain/availableoffline/usecases/SetFilesAsAvailableOfflineUseCase
b08b0ae0cb310188    1 of   4   com/owncloud/android/ui/activity/FileDisplayActivity$startListeningToOperations$7
825099ed914daa24    1 of   1   androidx/room/migration/Migration
718e2d7a27eadbc8    2 of   7   kotlinx/coroutines/internal/ThreadContextKt$findOne$1
0cde503780c74cf9    7 of 117   androidx/core/graphics/drawable/DrawableCompat
b7a260aad37564a5    2 of  28   com/owncloud/android/usecases/accounts/RemoveAccountUseCase
7410ec982bebf382    6 of   8   androidx/lifecycle/ProcessLifecycleOwner$3
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
e1cb3b9195689fdd    1 of   5   com/owncloud/android/dependecyinjection/ViewModelModuleKt$viewModelModule$1$invoke$$inlined$viewModelOf$default$17
95dfa2d1b73040d1    4 of   4   com/owncloud/android/presentation/authentication/LoginActivity$special$$inlined$inject$default$1
2ca9a45e34f88cff    5 of   5   com/owncloud/android/dependecyinjection/RemoteDataSourceModuleKt$remoteDataSourceModule$1$invoke$$inlined$singleOf$default$7
d316477f3d67e9fc    3 of   4   androidx/core/view/ViewCompat$Api20Impl
effc93f28c6dd094   44 of 118   androidx/room/RoomDatabase$Builder
b2ee227991381157    3 of   3   androidx/lifecycle/ProcessLifecycleOwner$3$1
e1d3f01f219ed0aa    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
600a758574f33185    3 of  13   androidx/work/WorkManager
77224c0336826d5a    1 of   2   androidx/recyclerview/widget/RecyclerView$3
81ff11955f967f06    1 of   4   com/google/android/material/internal/NavigationMenu
7f3ffd75162e0499    8 of  11   com/google/android/material/animation/AnimationUtils
ab9f4c56adfecb34   16 of  18   androidx/work/Logger
