[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
414fe26f9e12dd63    3 of   3   shark/AndroidReferenceMatchers$SEM_EMERGENCY_MANAGER__MCONTEXT
bc85674cac608fff    3 of   3   shark/AndroidReferenceMatchers$AW_RESOURCE__SRESOURCES
884fa7a4f731e08d    3 of   3   shark/AndroidReferenceMatchers$BIOMETRIC_PROMPT
b0b6fa9c3685b4f8    2 of   4   shark/AndroidObjectInspectors$WINDOW
299cd3f179fb43cc    2 of  73   androidx/core/util/Preconditions
ec8c856336997f2d    7 of  44   kotlin/KotlinVersion
fbffcde756aae8e9    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$1
aae123a64512ec0b    2 of   4   com/google/android/gms/cloudmessaging/zzaa
5a74ac5a47615111    2 of 177   kotlinx/coroutines/EventLoopImplBase
b8022f9762634d94    5 of   5   com/google/mlkit/nl/languageid/bundled/internal/ThickLanguageIdRegistrar
5056b0f9738fbb42    3 of   3   shark/AndroidReferenceMatchers$VIEWLOCATIONHOLDER_ROOT
36d0ba37054079c0    3 of   3   shark/AndroidReferenceMatchers$EVENT_RECEIVER__MMESSAGE_QUEUE
f075b490eb0b2f89    2 of  74   kotlinx/serialization/modules/SerialModuleImpl
b9e688a1ebeb6ac6    4 of   8   retrofit2/ServiceMethod
e9833e152056b7ad   14 of 243   io/reactivex/rxjava3/plugins/RxJavaPlugins
5012d811da345a5a    3 of   4   androidx/room/RoomDatabase$Callback
f78bc1707c4ccada    3 of   3   io/reactivex/rxjava3/internal/schedulers/SchedulerPoolFactory$SystemPropertyAccessor
4c7b854bfe78af26    2 of   4   shark/AndroidObjectInspectors$ANDROIDX_FRAGMENT
eddf2fd63f594d3f    2 of  17   kotlin/internal/PlatformImplementations
0e3cdd60d42f9703    2 of   9   shark/AndroidReferenceMatchers$USER_MANAGER__SINSTANCE$add$1
ad82a7aa2c02be59    3 of   3   shark/AndroidReferenceMatchers$BACKDROP_FRAME_RENDERER__MDECORVIEW
1fef45833b118909    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$7
bae8a35cdddddc1f    2 of   5   androidx/work/impl/Migration_12_13
d6625c0087e66df2    2 of  58   androidx/core/util/SparseArrayKt
bf8ea36b7e5e32cc    1 of   2   androidx/work/WorkerFactory$1
316052440613654f    2 of  36   kotlinx/coroutines/AbstractTimeSourceKt
af98d2332565f0b7    1 of  14   org/wikipedia/dataclient/okhttp/CommonHeaderRequestInterceptor
