[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/OpenSudoku-_4.10.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5682fe21b7397fe6   11 of  71   kotlinx/coroutines/CoroutineContextKt
de277749b669237a   14 of  44   androidx/fragment/app/FragmentActivity$HostCallbacks
543b66f64adb8c68    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
764bb42d0382b19b    3 of  15   com/google/android/material/shape/RelativeCornerSize
5800c6bf0fe515db    1 of   5   androidx/tracing/TraceApi29Impl
4086d8c8ca51c29e    1 of   5   androidx/profileinstaller/ProfileVerifier$CompilationStatus
04dfa454ae20f22f    1 of   1   androidx/lifecycle/SavedStateHandleSupport$SAVED_STATE_REGISTRY_OWNER_KEY$1
74b0e7b78c446fc6    2 of  13   kotlin/internal/PlatformImplementationsKt
84d1af27b5a5ead6    6 of  13   org/moire/opensudoku/gui/DbKeeperViewModel
0bfdcfb5097ec9b3    5 of   7   kotlin/coroutines/AbstractCoroutineContextElement
bcf0558705ac445c   11 of 145   kotlinx/coroutines/internal/DispatchedContinuationKt
a9b7e052b4a3e1cc    1 of   1   kotlinx/coroutines/CompletionHandlerBase
613c0667b8f8332f    2 of   2   androidx/appcompat/app/ToolbarActionBar$1
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
353bc5c9c3f2c78d  120 of 751   androidx/fragment/app/Fragment
71880b7a6d6b4717    1 of   1   kotlin/coroutines/ContinuationInterceptor
d98d18dbefd87e00    6 of   7   kotlinx/coroutines/internal/FastServiceLoaderKt
d48599621075951d   58 of 282   androidx/appcompat/widget/ActionMenuPresenter
b04a2e69aa17d4a4    1 of   3   androidx/collection/ArraySet$ElementIterator
c525ca93b02afb0e   81 of 530   androidx/appcompat/view/menu/MenuBuilder
0604891e8520caae    7 of  26   androidx/lifecycle/Lifecycle$Event$Companion
48a5d8ebf4fd9427    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
d80ea139acfb7159   15 of 112   androidx/fragment/app/FragmentTransaction
62a1ade9dfe8c038    1 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
02754ce560470e48   11 of  13   androidx/lifecycle/Lifecycle$State
8a77ea3da5af9d47    3 of  30   kotlin/collections/AbstractList
28e2e60e98dd7692  245 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
8e307f243f7efacf    3 of  21   androidx/arch/core/internal/SafeIterableMap$ListIterator
860d1968a08f6b4f    2 of  44   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
f41c8eb7373ac136    1 of   2   androidx/activity/result/contract/ActivityResultContract
96c107acebc2e608   36 of 950   androidx/core/widget/NestedScrollView
74f0c89b7522a1e1   27 of  51   androidx/appcompat/view/ContextThemeWrapper
ea3a2724117ceccc    3 of   4   kotlinx/coroutines/scheduling/UnlimitedIoScheduler
9a608531f90cf6ee    8 of 315   kotlin/jvm/internal/ClassReference$Companion
4e8edba539bf6022   16 of 186   kotlinx/coroutines/internal/DispatchedContinuation
80fd80e00637c292    4 of  37   com/google/android/material/ripple/RippleUtils
220ad4412dc09731   15 of  32   androidx/activity/EdgeToEdge
d5f2c85934776967    1 of   5   androidx/core/view/GravityCompat
df06244bd140d2b1    1 of   2   androidx/fragment/app/FragmentManager$7
1bdc093a944a1a10    1 of   2   androidx/emoji2/text/ConcurrencyHelpers$Handler28Impl
f47373adc19052f0   37 of 260   androidx/appcompat/widget/ToolbarWidgetWrapper
474895bf1f344d06    5 of  59   androidx/core/app/ComponentActivity
286fa0873be127cc  110 of 326   androidx/appcompat/app/AlertController
33d1f8b63e0721a5   17 of  50   kotlinx/coroutines/android/HandlerContext
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
6877b1ae5105b81b    2 of   3   kotlinx/coroutines/internal/ContextScope
8a5658c377a899f5   21 of  81   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
a035dc4dcb500be1    1 of  16   androidx/fragment/app/FragmentManager$10
5bada11fadb3abcb    6 of  11   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion
464c447cbbe4811e    8 of 101   androidx/core/view/NestedScrollingChildHelper
27b4ab5d171df338   13 of 264   androidx/collection/SimpleArrayMap
13379fe9c9a8bdba    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
af62e6978e35d30f    4 of   6   androidx/concurrent/futures/AbstractResolvableFuture$SafeAtomicHelper
7569a1701246e28f    2 of   2   kotlin/UNINITIALIZED_VALUE
83f56282c26743c5    1 of   3   kotlin/jvm/internal/Lambda
463e1f2829370cf4   17 of 156   androidx/fragment/app/FragmentManagerViewModel
640a76f008160e3a    4 of  29   androidx/emoji2/text/EmojiCompat$Config
718e2d7a27eadbc8    2 of   7   kotlinx/coroutines/internal/ThreadContextKt$findOne$1
572f7ca900f1dfa0   27 of 117   androidx/activity/result/ActivityResultRegistry
60f1c2dba94fabb2    7 of  32   androidx/appcompat/app/AlertDialog
48ed169533b57916    8 of  21   androidx/activity/result/ActivityResultRegistry$1
65d696fd8d3e42c9    2 of   7   androidx/appcompat/widget/ToolbarWidgetWrapper$1
796a5aa0b1035e17    4 of  12   kotlin/coroutines/AbstractCoroutineContextKey
2d1303814fd9edab    1 of   2   androidx/fragment/app/FragmentManager$3
e32d196195363f98    2 of  39   androidx/core/view/DifferentialMotionFlingController
473c9b65a28bf637    2 of 140   kotlinx/coroutines/internal/LockFreeLinkedListNode
dad7e2735651fa1c    2 of   6   androidx/savedstate/ViewTreeSavedStateRegistryOwner
7a2031bbf062bb13    9 of  95   androidx/lifecycle/Lifecycling
23088aba2061b138    7 of 126   kotlinx/coroutines/DefaultExecutor
39ae291d86cf7692    3 of   3   androidx/lifecycle/AndroidViewModel
6a1e12fb1cba48b0    2 of  23   androidx/core/os/LocaleListCompat$Api21Impl
173f54d0f9b16eb1    5 of   8   org/moire/opensudoku/gui/DbKeeperViewModel$initDb$1$1$1
189d1e841728c1de   40 of 318   androidx/appcompat/widget/ActionMenuView
497ca26a9b6d5c88    1 of   2   kotlin/collections/ArraysUtilJVM
6b9793856f14e3f0    2 of   3   androidx/lifecycle/SavedStateHandlesVM
0347239d1189e1a4    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
63ced82711dde2c3   12 of  24   kotlinx/coroutines/internal/SystemPropsKt__SystemProps_commonKt
eab3dbddec5019c7    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
b2ca202e6a3f8dd8   14 of  73   androidx/core/view/WindowInsetsControllerCompat$Impl30
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
ac6549ad3e3b46f4   15 of  69   androidx/lifecycle/SavedStateViewModelFactory
467b84e6f69e3504    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
9a299f2999d9f5d1   31 of 793   androidx/core/view/ViewCompat
2ffa095abf2ccc84    4 of  29   kotlinx/coroutines/JobKt
c0b7e15ac7a5a741   69 of 204   com/google/android/material/button/MaterialButtonHelper
40f24f48aa59e8f7    3 of   9   kotlin/coroutines/EmptyCoroutineContext
435ac659746adc7d    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig
b680acae011b0e20    3 of   3   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key
a2ee86bda6c33f86    3 of   6   kotlinx/coroutines/scheduling/DefaultScheduler
8c0bffc62ceaaa3e    2 of   2   androidx/savedstate/SavedStateRegistry$Companion
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
c51e56903c984a0c    2 of   4   kotlinx/coroutines/scheduling/Task
dd1bbb1cf7c260df    1 of  19   androidx/appcompat/app/AlertController$1
815a288b555ab991    1 of   8   androidx/appcompat/app/ToolbarActionBar$MenuBuilderCallback
e42cde82ec4457f1    7 of  17   androidx/activity/SystemBarStyle
0acf519d5a1fd856   15 of  57   com/google/android/material/shadow/ShadowRenderer
3c9fbc3b385561ea   10 of  55   com/google/android/material/motion/MotionUtils
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
e595c82068ae3839    2 of  32   androidx/core/view/LayoutInflaterCompat
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
b6245a467c17c551    1 of   5   com/google/android/material/button/MaterialButton$1
063a83007c152c0b    3 of   8   kotlinx/coroutines/BuildersKt
d41c8fc787ebd118    1 of   5   androidx/appcompat/widget/Toolbar$1
96265feec49adc7b   23 of  26   org/moire/opensudoku/utils/Themes
858ec93e177f9ee5    2 of   3   androidx/emoji2/text/EmojiCompat$CompatInternal19$1
d928380ddfadbfb9    2 of   2   org/moire/opensudoku/gui/fragments/DialogParams$Companion
ce50ff07d4588c3d    3 of  22   kotlin/Pair
2d5c2b0547536439    3 of   3   androidx/emoji2/text/EmojiCompatInitializer$1
87848fe01c97d9c0    5 of  32   androidx/appcompat/widget/DrawableUtils
b45f88a8d729baed    6 of  12   androidx/fragment/app/FragmentManager$6
b1b396991a09b010    3 of   3   kotlinx/coroutines/CoroutineDispatcher$Key
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
21205162d9a430d3    5 of   6   kotlinx/coroutines/internal/SystemPropsKt__SystemPropsKt
bf353abe0894cc29   26 of  57   kotlinx/coroutines/internal/LimitedDispatcher
dbb2a4aa26f2bcd2    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
fd41b89e986af08c    1 of   2   androidx/activity/result/ActivityResultLauncher
30610fc15dce6354    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
75bc88e71e5a2a3b    2 of   8   kotlin/coroutines/jvm/internal/SuspendLambda
6874e685be83554e    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
fc6c9c81c7df5e0d    3 of   3   org/moire/opensudoku/gui/screen/title/TitleScreenActivity$special$$inlined$viewModels$default$1
4f41773cbe3a0378    1 of   2   androidx/dynamicanimation/animation/FloatPropertyCompat
bf35012809bfe2e1   16 of  19   androidx/profileinstaller/ProfileInstallerInitializer
1228a9a8b477c6b3    6 of  10   androidx/fragment/app/FragmentStateManager$2
bea1df537a3c7e8b   92 of 122   androidx/appcompat/widget/AlertDialogLayout
f7b375bc175cd415    3 of   9   androidx/activity/ComponentActivity$3
ccae27c3c206542c    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
d93030d59c84d428   10 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
49c5684db9584999    2 of   2   kotlinx/coroutines/ExecutorCoroutineDispatcher
a1b1e9b4f895a9dc    6 of  92   kotlinx/coroutines/JobKt__JobKt
61b06f5a191782b3    2 of   6   androidx/lifecycle/ViewTreeViewModelStoreOwner
7df8cdca383acd46    8 of  37   androidx/appcompat/widget/ThemeUtils
b839c1c93bf58755    4 of  30   androidx/core/view/WindowInsetsCompat$Builder
cbdb69dd699862cf   22 of  57   com/google/android/material/internal/ThemeEnforcement
692af2c2998b8332    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
f0ea22f5b3a7c4ea    3 of   3   androidx/activity/OnBackPressedDispatcher$addCancellableCallback$1
166868c6073dc8c6    3 of   5   androidx/fragment/app/FragmentManager$2
1413675317641d71    1 of   1   kotlinx/coroutines/Job
362cb7cec000d0b4    2 of 119   com/google/android/material/drawable/DrawableUtils
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
d4abfc114c3389d1    4 of  46   kotlin/jvm/internal/Reflection
8ba4b7cee2806bb7    6 of  12   androidx/activity/SystemBarStyle$Companion
e18d22e32c1ed22f   18 of 136   org/moire/opensudoku/utils/ThemeUtils
bc3fdbbbf01462f0    5 of   8   androidx/appcompat/app/AppCompatDelegateImpl$2
669b3457c2eea543    7 of  12   androidx/core/view/WindowInsetsCompat$Impl30
74ed75159e5f22c2    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
8139cffee5ff1a5d   29 of 139   com/google/android/material/appbar/MaterialToolbar
5bd543cf141cfd63    1 of   4   androidx/fragment/app/FragmentManager$LifecycleAwareResultListener
aff95483ddfbcbe7    1 of  31   androidx/activity/ComponentActivity$1
f292c4461ce52b59   68 of 750   kotlinx/coroutines/JobSupport
a6e7d0e8a533be56    6 of  34   androidx/savedstate/Recreator
dffc577a25fb0017    6 of  16   org/moire/opensudoku/utils/AndroidUtils
96d3064f00942164    1 of   4   com/google/android/material/shape/MaterialShapeDrawable$1
224d020298aec18f   49 of 239   androidx/collection/ArraySet
dd5219cc2b9e226f   10 of  22   kotlinx/coroutines/internal/LockFreeTaskQueue
ce1ce650a1792045    4 of  33   org/moire/opensudoku/game/GameSettings$CustomColorsPreferences
c5c42cfa9c611c2e    1 of   9   androidx/activity/result/ActivityResultRegistry$2
dda0ec2cbee3c21b    4 of   6   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
76bc56e24fc59aec   13 of  14   androidx/emoji2/text/EmojiCompatInitializer
d0cf11d2eac9faae    7 of   7   kotlinx/coroutines/internal/SystemPropsKt
