[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6ff0b56ecc7b7653    1 of   2   com/orgzly/android/db/dao/NoteDao_Impl$18
bf713859545493c6    5 of   5   com/orgzly/android/di/module/DataModule_ProvidesLogsRepository$app_fdroidDebugFactory
2114feccf3531c31    1 of   9   com/orgzly/android/db/dao/NoteAncestorDao_Impl$4
f622755583ae0062    9 of  20   androidx/core/view/ViewCompat$Api16Impl
0a8b5fcefb213eda    1 of   7   com/orgzly/android/db/PreRoomMigration$MIGRATION_135_136$1
f5206d701784ef15    9 of  32   org/joda/time/field/RemainderDateTimeField
8273f80186bd8c0c    1 of 1040   com/orgzly/android/db/dao/NoteViewDao_Impl
c47e1723158ae613    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ElevateToHoveredFocusedTranslationZAnimation
a204fcaf16b3a8de    9 of  11   com/orgzly/org/utils/ArrayListSpaceSeparated
c28da511a84ebf14    1 of   5   com/orgzly/android/ui/books/BooksAdapter$onBindViewHolder$1$3
18bfcce155c2c154   31 of  73   androidx/arch/core/internal/SafeIterableMap
c0a0fb95d7f4dc0e    1 of   3   com/google/android/material/progressindicator/BaseProgressIndicator$3
90805eecc0a0ae1f    1 of   2   com/orgzly/android/db/dao/NoteDao_Impl$24
825099ed914daa24    1 of   1   androidx/room/migration/Migration
1efd54842154ebf9    4 of  33   androidx/core/view/MarginLayoutParamsCompat
a9b2f06ae40dad00    1 of  15   androidx/preference/PreferenceScreen
718e2d7a27eadbc8    2 of   7   kotlinx/coroutines/internal/ThreadContextKt$findOne$1
2413c0536cad6834    3 of  19   com/orgzly/android/prefs/TimePreference
263d1b1eb93874c1   31 of 138   com/google/android/material/appbar/MaterialToolbar
3d24bd48eded7d5b    4 of   6   androidx/work/InputMerger
d46667dc4f285c4c    3 of 195   org/joda/time/format/DateTimeFormatter
85db79c58c0a60cb    6 of  14   com/orgzly/android/ui/util/SystemServices
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
7410ec982bebf382    4 of   8   androidx/lifecycle/ProcessLifecycleOwner$3
fc5c207dbde9312c    5 of  13   androidx/work/ContentUriTriggers
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
0d3887e39c030637    2 of   2   org/mozilla/universalchardet/prober/distributionanalysis/JISDistributionAnalysis
15398e8591ea8aa2    6 of  49   com/orgzly/android/ui/main/OrgProtocol
8d4b1fb378704a7f    3 of  53   androidx/core/view/MenuHostHelper
b2ee227991381157    3 of   3   androidx/lifecycle/ProcessLifecycleOwner$3$1
e1d3f01f219ed0aa    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
e5ce704ac6c6b3b8    1 of   2   com/orgzly/android/db/PreRoomMigration$MIGRATION_147_148$1
a8e3137607712c1e    1 of 152   com/orgzly/android/db/dao/NotePropertyDao_Impl
81ff11955f967f06    1 of   4   com/google/android/material/internal/NavigationMenu
4924b8274e80cf7e    2 of   2   androidx/work/InputMergerFactory$1
7b6d3a1f136792e8   11 of  76   com/orgzly/android/reminders/RemindersScheduler
747317b788d9da19    1 of   7   androidx/fragment/app/Fragment$4
08fa9f911c404a2f    1 of  19   androidx/appcompat/app/AlertController$1
24afccd899fc308d    6 of  10   androidx/work/impl/model/WorkNameDao_Impl$1
467b84e6f69e3504    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
dcea2f4ce5261788   16 of  39   org/joda/time/chrono/ISOChronology
67fa13a9396a6c30    9 of  22   androidx/lifecycle/RepeatOnLifecycleKt$repeatOnLifecycle$3$1$1$1$1
74459c7771d208ec    6 of   7   androidx/work/impl/WorkDatabase$2
00eb210e815bf1ae    4 of   4   com/orgzly/android/ui/main/MainActivityViewModelFactory$Companion
