[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
3a815a5e825652fe    2 of   2   openfoodfacts/github/scrachx/openfood/repositories/TaxonomiesRepository$downloadTags$1
69bb0e8ab7df5094    1 of   2   androidx/arch/core/executor/DefaultTaskExecutor$Api28Impl
fc7967a16abe011c   23 of  26   androidx/work/impl/WorkDatabase
e8b97526f1ebcc0f    9 of  89   com/google/android/gms/internal/mlkit_vision_barcode/zzcc
5682fe21b7397fe6   11 of  71   kotlinx/coroutines/CoroutineContextKt
e6b70ad79a9b1687    6 of  19   com/fasterxml/jackson/core/io/SegmentedStringWriter
60520a121c9656ab    6 of  29   kotlin/reflect/jvm/internal/impl/descriptors/runtime/structure/ReflectJavaTypeParameter
c7f8d8dadbcb8497    4 of 108   com/fasterxml/jackson/databind/util/BeanUtil
8eea7eae1f326ff6    2 of   6   androidx/work/ListenableWorker$Result
264eac1e9910a3c0    3 of   4   kotlin/reflect/jvm/internal/impl/descriptors/Modality
dd1b77c3a87ba220    1 of   4   com/fasterxml/jackson/databind/jsontype/PolymorphicTypeValidator$Base
e70626342deabc5b    8 of  26   com/fasterxml/jackson/databind/deser/std/JdkDeserializers
2a6b05f4e76bc877    4 of   4   kotlin/reflect/jvm/internal/impl/resolve/scopes/MemberScope$Companion$ALL_NAME_FILTER$1
67e51854739bccae    3 of   4   com/fasterxml/jackson/module/kotlin/KotlinModule$setupModule$1
28639acf1c4a9e60    4 of   5   com/fasterxml/jackson/databind/deser/impl/JDKValueInstantiators$ArrayListInstantiator
4a646d8a8be55c83    2 of   4   com/google/android/gms/internal/mlkit_common/zzal
e9341ed41072a71a    7 of  10   com/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl
8361ffaea30cff48   16 of  19   com/fasterxml/jackson/core/JsonFactory$Feature
b49ec5d310d0a116    9 of  16   kotlin/reflect/jvm/internal/impl/serialization/deserialization/builtins/BuiltInsPackageFragmentImpl$Companion
d008bc0d6a20e6a9   11 of  19   openfoodfacts/github/scrachx/openfood/repositories/TaxonomiesManager$download$2
d98d18dbefd87e00    6 of   7   kotlinx/coroutines/internal/FastServiceLoaderKt
46d6a68c6fae3f7a   27 of 141   com/fasterxml/jackson/databind/deser/std/CollectionDeserializer
ad8ad9525b719f39    1 of   5   com/google/android/gms/internal/mlkit_vision_barcode/zzct
5d77565ca0485bf2    5 of   8   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
0604891e8520caae   12 of  26   androidx/lifecycle/Lifecycle$Event$Companion
35f42adabf4420fe    3 of   7   kotlin/reflect/jvm/internal/impl/protobuf/GeneratedMessageLite$Builder
e57b423cf1fe362e   22 of 237   com/fasterxml/jackson/databind/DeserializationConfig
03b99f01203a8c15    1 of   5   com/fasterxml/jackson/databind/deser/ValueInstantiator$Base
62a1ade9dfe8c038    4 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
5cdddb23039804ff   17 of 111   androidx/work/impl/model/WorkSpec
eb6646076466899b   22 of 236   com/squareup/picasso/Dispatcher
f1a2248dfa97df26    1 of   5   openfoodfacts/github/scrachx/openfood/hilt/AppModule_ProvideDaoSessionFactory
02754ce560470e48   12 of  13   androidx/lifecycle/Lifecycle$State
58d4cd131bce9ea9    2 of   4   com/google/mlkit/vision/barcode/internal/zzc
33ca88b160c70b19    1 of   8   kotlin/jvm/internal/PropertyReference1
f851a113918cb866    1 of  11   kotlin/reflect/jvm/internal/impl/types/DelegatingSimpleType
906c0664eac9dc6a    6 of   9   kotlin/reflect/jvm/internal/impl/serialization/deserialization/DeserializedPackageFragment
ea3a2724117ceccc    3 of   4   kotlinx/coroutines/scheduling/UnlimitedIoScheduler
d1026acfb3c1b8bc    1 of   2   openfoodfacts/github/scrachx/openfood/features/home/HomeViewModel_HiltModules$KeyModule
4ec2ff91b67e879c    4 of   8   kotlin/reflect/jvm/internal/impl/serialization/deserialization/builtins/BuiltInsResourceLoader
aee9e33bcc0d716c    2 of   2   okhttp3/logging/HttpLoggingInterceptor$Logger$1
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
8b394d90e3770566    5 of 124   openfoodfacts/github/scrachx/openfood/models/entities/ListedProductDao
886aadc07934cc24    1 of   9   kotlin/reflect/jvm/internal/impl/descriptors/DescriptorVisibilities$7
f622755583ae0062    3 of  20   androidx/core/view/ViewCompat$Api16Impl
00ef17488da05ac7   13 of  36   androidx/appcompat/widget/ViewUtils
8c586ffc2a8dc9ed    3 of   3   kotlin/reflect/jvm/internal/KPropertyImpl$Getter$caller$2
26fc70dd31af174b    6 of  18   kotlin/reflect/jvm/internal/impl/descriptors/runtime/components/ReflectKotlinClass
c6d21244e8290c79   43 of 127   okhttp3/internal/http2/Http2Writer
2f146922b1fe070f    2 of   5   com/google/mlkit/vision/common/internal/zzf
6877b1ae5105b81b    2 of   3   kotlinx/coroutines/internal/ContextScope
84e7a0995b0f4fb8    6 of   7   com/fasterxml/jackson/databind/ext/Java7Support
abc12a0437bfb6b1    2 of 183   com/fasterxml/jackson/module/kotlin/KotlinValueInstantiator
bf584942d12287ea    2 of   8   kotlin/reflect/jvm/internal/calls/CallerImpl$Method$Instance
825099ed914daa24    1 of   1   androidx/room/migration/Migration
94dfa7189f3f5c2d    2 of  16   com/google/android/gms/internal/mlkit_vision_barcode/zzas
2551b6fdc995faec   15 of  25   okhttp3/internal/platform/Android10Platform
718e2d7a27eadbc8    2 of   7   kotlinx/coroutines/internal/ThreadContextKt$findOne$1
ac3dbd4f24e6b542    4 of   7   kotlin/reflect/jvm/internal/impl/serialization/deserialization/descriptors/DeserializedClassDescriptor$memberScopeHolder$1
0882706287337f04    2 of   3   openfoodfacts/github/scrachx/openfood/app/DaggerOFFApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider
414b145c0853bd93    1 of   3   kotlin/reflect/jvm/internal/impl/metadata/ProtoBuf$QualifiedNameTable$QualifiedName$Kind$1
e56bcd385626eead   11 of  19   com/fasterxml/jackson/annotation/JsonAutoDetect$Visibility
3d24bd48eded7d5b    4 of   6   androidx/work/InputMerger
c04fe632e07366d4    3 of  53   com/fasterxml/jackson/databind/ser/std/UUIDSerializer
d5bcf89cf2742f8f   43 of  55   kotlin/reflect/jvm/internal/impl/metadata/deserialization/Flags
89bdc9c24eae8e0a    1 of  13   com/google/android/material/snackbar/BaseTransientBottomBar$2
d6c54273311e9574   29 of 140   androidx/appcompat/widget/AppCompatButton
dec224c87f7575a2    6 of  12   androidx/lifecycle/Transformations$switchMap$1
207c78ad4ac722cb    1 of   5   okhttp3/internal/http2/PushObserver$1
56c9d1ea531964da    1 of   5   openfoodfacts/github/scrachx/openfood/features/product/view/environment/EnvironmentProductViewModel_HiltModules_KeyModule_ProvideFactory
07c8f86ee3202c64    3 of  13   com/google/firebase/components/Preconditions
fc5c207dbde9312c    5 of  13   androidx/work/ContentUriTriggers
5095df1df2d8adb7   13 of  39   org/greenrobot/greendao/internal/LongHashMap
5c1e5c63ec1d6c89   67 of 117   kotlin/reflect/jvm/internal/impl/resolve/scopes/DescriptorKindFilter
7a2031bbf062bb13    6 of  95   androidx/lifecycle/Lifecycling
a6301c023fba1563   30 of  54   com/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig
f96dc95cfda57d7f    5 of 215   com/fasterxml/jackson/databind/node/ArrayNode
8a2413e279f380de   11 of  66   kotlin/reflect/jvm/internal/impl/descriptors/impl/AbstractTypeParameterDescriptor
62e9b4edc60920e1    1 of  64   kotlin/reflect/jvm/internal/impl/types/ErrorUtils$1
e93e17b4ff0e2169    1 of  13   kotlin/reflect/jvm/internal/impl/load/java/lazy/descriptors/LazyJavaPackageFragment$partToFacade$2
8e5c64627fc07511    6 of  12   kotlin/reflect/jvm/internal/ReflectProperties
9b5dfd708e89f854    2 of   4   com/google/mlkit/common/internal/zzg
d61b3710285989a2    2 of   4   kotlin/reflect/jvm/internal/impl/serialization/deserialization/FlexibleTypeDeserializer$ThrowException
ff479f3ef5a3952b    2 of  10   retrofit2/Invocation
f19110d3ff96de26    3 of  86   timber/log/Timber$1
58f6ddb1d42a619f    1 of  25   io/sentry/profilemeasurements/ProfileMeasurement$Deserializer
ea05cc810b402d33    1 of   5   org/greenrobot/eventbus/meta/SimpleSubscriberInfo
0347239d1189e1a4    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
e2ba9cda64f2aa6a    5 of  16   dagger/hilt/android/internal/lifecycle/RetainedLifecycleImpl
92a5770fa9ae6cfc    1 of   3   kotlin/reflect/jvm/internal/impl/metadata/ProtoBuf$Contract$1
e81e743ddebb6264    6 of  21   kotlin/reflect/jvm/internal/impl/load/java/lazy/descriptors/LazyJavaTypeParameterDescriptor
4924b8274e80cf7e    2 of   2   androidx/work/InputMergerFactory$1
9c4d227f0aba9475    9 of  19   kotlin/reflect/jvm/internal/impl/load/java/lazy/LazyJavaPackageFragmentProvider
456e254d3fbe1f63    5 of  92   openfoodfacts/github/scrachx/openfood/models/entities/store/StoreDao
ee4a7e327ec22e45    3 of  22   openfoodfacts/github/scrachx/openfood/features/welcome/WelcomeActivity$viewPagerPageChangeListener$1
6dc52a3d48680e90   33 of  93   kotlin/reflect/jvm/internal/impl/metadata/ProtoBuf$TypeTable
467b84e6f69e3504    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
2a259f72bc24d874    2 of   2   openfoodfacts/github/scrachx/openfood/models/entities/allergen/AllergensWrapper
28726e8193cc7435    3 of   5   kotlin/reflect/jvm/internal/impl/descriptors/Modality$Companion
39bf8f4bab6f8c91    1 of   3   io/sentry/protocol/Device$DeviceOrientation$Deserializer
69c8d20a9bb2017b   74 of 1782   kotlin/collections/CollectionsKt___CollectionsKt
74459c7771d208ec    6 of   7   androidx/work/impl/WorkDatabase$2
4b4fbd72b092c7a3    2 of  30   org/matomo/sdk/dispatcher/PacketFactory
3cc3c769dfa1e505    2 of   2   com/fasterxml/jackson/databind/cfg/ContextAttributes
133c4eeef53299f5   17 of  25   kotlin/reflect/jvm/internal/impl/load/java/lazy/descriptors/LazyJavaPackageFragment
747c2bf02b8a251f   14 of  22   kotlin/reflect/jvm/internal/impl/protobuf/GeneratedMessageLite$ExtendableMessage
2ece0ae8dcece9d3    3 of  22   kotlin/reflect/jvm/internal/impl/resolve/jvm/JavaDescriptorResolver
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
4324629aa619b6bd    4 of  21   com/fasterxml/jackson/databind/deser/std/StdKeyDeserializers
2539e7e8e16272a9   18 of  83   retrofit2/OkHttpCall
e4215375bc0c9a44   13 of  72   okhttp3/CertificatePinner
55c23fc6b0e3bbf9    3 of   3   kotlin/reflect/jvm/internal/impl/resolve/scopes/MemberScope$Companion
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
d0cd941fabe68e16    1 of   4   kotlin/reflect/jvm/internal/impl/builtins/jvm/JvmBuiltInsSettings$getFunctions$2
03064aedfdf12538    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
dae5e4d9fed9e1c7   59 of 254   androidx/constraintlayout/core/widgets/Chain
102d91f0ca486ab1    1 of  46   kotlin/reflect/jvm/internal/impl/descriptors/DescriptorVisibilities$3
caff9d3b8f0e49ef   27 of  71   androidx/room/RoomOpenHelper
7b156825b75bd54d    8 of  10   kotlin/reflect/jvm/internal/impl/protobuf/GeneratedMessageLite$ExtensionDescriptor
15b0442c0b402bf3    5 of   8   dagger/internal/MapBuilder
c8b04f29e15017e6    3 of   3   kotlin/sequences/SequencesKt__SequencesKt$generateSequence$1
458992b2d8bbceb0    2 of   3   openfoodfacts/github/scrachx/openfood/utils/ResultKt
1ae1009174306f74    1 of   3   kotlin/reflect/jvm/internal/KClassImpl$Data$inheritedStaticMembers$2
eeb403e3105a4c39    1 of  13   com/fasterxml/jackson/core/TokenStreamFactory
bf353abe0894cc29   26 of  57   kotlinx/coroutines/internal/LimitedDispatcher
32090ede71115cfd   53 of 190   kotlin/reflect/jvm/internal/impl/serialization/deserialization/TypeDeserializer
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
b40ff0a2443ec1d3    5 of  84   openfoodfacts/github/scrachx/openfood/models/entities/country/CountryDao
d7fec496b6c4a4ee    1 of   1   kotlin/reflect/jvm/internal/impl/descriptors/annotations/Annotations
30a8feadb958a619    4 of  42   androidx/core/content/FileProvider$SimplePathStrategy
d93030d59c84d428   10 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
49c5684db9584999    2 of   2   kotlinx/coroutines/ExecutorCoroutineDispatcher
c51f3a511c1f2218    1 of   8   kotlin/reflect/jvm/internal/impl/serialization/deserialization/TypeDeserializer$typeConstructor$1
a8ec410a2cf4d459    2 of  28   androidx/work/impl/constraints/trackers/BatteryNotLowTracker
b5c829e8eef46398   11 of  17   androidx/lifecycle/BlockRunner$cancel$1
585b32dfee44158e    2 of   9   androidx/activity/result/ActivityResultRegistry$3
e19d04c00ab3febf    9 of  17   androidx/room/RoomDatabase$JournalMode
768d7dc9035a394c    1 of   3   kotlin/reflect/jvm/internal/impl/builtins/PrimitiveType$arrayTypeFqName$2
697c4af96630e4e7   18 of  39   retrofit2/HttpServiceMethod
19ea441140784cd7   40 of 116   kotlin/reflect/jvm/internal/impl/storage/LockBasedStorageManager
58b29ef88c993b87    2 of   9   kotlin/Result$Failure
e4ba61c26c5d2871    1 of  15   kotlinx/coroutines/DebugStringsKt
166868c6073dc8c6    1 of   5   androidx/fragment/app/FragmentManager$2
a20eb97fa6e11cc6    1 of   5   kotlin/reflect/jvm/internal/impl/storage/LockBasedStorageManager$ExceptionHandlingStrategy$1
b30aad9b792656e1    1 of   6   kotlin/reflect/jvm/internal/impl/builtins/jvm/JvmBuiltInsSettings$cloneableType$2
3db77bf82313e404    3 of   3   kotlin/reflect/jvm/internal/impl/descriptors/impl/AbstractClassDescriptor$1
2e231df961d9f363   66 of 107   com/fasterxml/jackson/databind/introspect/BasicClassIntrospector
b5edfd78c51b4cee   15 of  16   kotlin/reflect/jvm/internal/impl/descriptors/runtime/components/ReflectJavaClassFinder
aba692a9bb60630e    1 of   6   com/squareup/picasso/FileRequestHandler
c793d88de469aa14    1 of   8   com/fasterxml/jackson/databind/ser/Serializers$Base
12e64c3cb62cc992    9 of  34   com/fasterxml/jackson/databind/introspect/BeanPropertyDefinition
60a3432e7dbb8f53   11 of  60   okhttp3/internal/http2/Http2Stream$FramingSink
0ede60e92909f658   12 of  13   com/fasterxml/jackson/databind/cfg/CoercionInputShape
f292c4461ce52b59  244 of 750   kotlinx/coroutines/JobSupport
c434c38fc214b4c7    1 of   6   kotlin/reflect/jvm/internal/impl/descriptors/SourceElement$1
a731c54dda368923    2 of   2   com/squareup/picasso/Utils$1
fd62d5d9cee5972b    1 of  10   androidx/fragment/app/FragmentManager$9
6c5a586a4a837fc6    4 of  11   com/fasterxml/jackson/databind/ser/std/SerializableSerializer
