[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/StreetComplete-_v53.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
c1e0e2684cbfff5a    4 of  50   de/westnordost/streetcomplete/osm/MaxspeedKt
c242ba0e78455866    4 of   4   de/westnordost/streetcomplete/screens/main/map/MainMapFragment$special$$inlined$inject$default$4
28fd0ec93e86c8c2    2 of   6   de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1$6
43bc082f64025fe4   12 of  14   de/westnordost/streetcomplete/data/urlconfig/UrlConfigModuleKt$urlConfigModule$1
6a34e6a2155999b7   18 of  18   de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1$9
e20306c19696c22d   18 of  70   de/westnordost/streetcomplete/data/Database$DefaultImpls
715a0ad412fb5909   11 of  11   de/westnordost/streetcomplete/quests/oneway_suspects/data/TrafficFlowSegmentsModuleKt$trafficFlowSegmentsModule$1
ef9e75f19ac9c025    5 of   5   de/westnordost/streetcomplete/ApplicationModuleKt$appModule$1$4
ce4a427048eccc52    6 of   6   de/westnordost/streetcomplete/data/download/DownloadModuleKt$downloadModule$1$6
3071da372cac766f    4 of  19   de/westnordost/streetcomplete/data/osm/edits/move/MoveNodeAction$$serializer
87ec384351eb0ec2    2 of   4   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievements$7
0613982880a5f619   12 of  14   de/westnordost/streetcomplete/overlays/OverlaysModuleKt$overlaysModule$1
e8e517936fae0850   11 of  69   de/westnordost/streetcomplete/screens/main/map/tangram/MarkerManager
b3a25706cf217b0c    2 of   6   de/westnordost/streetcomplete/data/messages/MessagesSource$2
45a05fb235f9c766   20 of  24   de/westnordost/streetcomplete/data/edithistory/EditHistoryModuleKt$editHistoryModule$1
c7f85d0df8bf82c7    9 of   9   de/westnordost/streetcomplete/data/osm/edits/ElementEditsModuleKt$elementEditsModule$1$8
654a2b61a12fc78a   11 of  11   de/westnordost/streetcomplete/data/osm/edits/ElementEditsModuleKt$elementEditsModule$1$9
7eac49f5e2f65521    2 of   2   de/westnordost/streetcomplete/screens/MainActivity$Companion
42dcb2d0fbdb4358    5 of  18   de/westnordost/streetcomplete/quests/tactile_paving/AddTactilePavingSteps
614d0573b9d10d60    3 of  15   de/westnordost/streetcomplete/quests/surface/AddCyclewayPartSurface
e636036234bee965   20 of  76   de/westnordost/streetcomplete/screens/main/controls/UploadButtonFragment
fab0544349227741    2 of   5   de/westnordost/streetcomplete/quests/bollard_type/AddBollardType$bollardNodeFilter$2
536acec453f92ec4    3 of   8   de/westnordost/streetcomplete/data/overlays/SelectedOverlayStore
71ed727fdafa41fc    3 of  15   de/westnordost/streetcomplete/quests/ferry/AddFerryAccessMotorVehicle
b35d0f1b1d6081b2    5 of   5   de/westnordost/streetcomplete/Prefs$Autosync
67fa3bdac08e640a   50 of 263   de/westnordost/streetcomplete/screens/main/map/tangram/KtMapController
38e4d7bd299cb66d    5 of   5   de/westnordost/streetcomplete/quests/oneway_suspects/data/TrafficFlowSegmentsModuleKt$trafficFlowSegmentsModule$1$1
47bd1d8b78205abf    2 of   2   de/westnordost/streetcomplete/data/maptiles/MaptilesModuleKt
f2f4f8cbe6bae42c    4 of   4   de/westnordost/streetcomplete/screens/MainActivity$special$$inlined$inject$default$13
31ccce4e17b7889f    2 of   5   de/westnordost/streetcomplete/quests/barrier_type/AddStileType$stileNodeFilter$2
90cba8648fbef7a0    4 of   4   de/westnordost/streetcomplete/screens/MainActivity$special$$inlined$inject$default$1
4c8e7448dbbe9bc9    3 of  36   de/westnordost/streetcomplete/data/osmnotes/AvatarsDownloader
09d537bc7ffb3121    6 of   6   de/westnordost/streetcomplete/data/osm/created_elements/CreatedElementsModuleKt$createdElementsModule$1$3
e391bb6d56bc2ef3    4 of  62   de/westnordost/streetcomplete/quests/incline_direction/AddBicycleIncline
6e8569b662854505   25 of  77   de/westnordost/streetcomplete/screens/main/map/components/CurrentLocationMapComponent
74656703826721b9    2 of   5   de/westnordost/streetcomplete/quests/crossing/AddCrossing$roadsFilter$2
4b532f9758fb1483    2 of   4   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievements$10
b6de23339d3dc06d    2 of   5   de/westnordost/streetcomplete/quests/tactile_paving/AddTactilePavingCrosswalk$crossingFilter$2
29ec612b91487131    4 of  23   de/westnordost/streetcomplete/quests/foot/AddProhibitedForPedestrians
4598f6a408120390   17 of  31   de/westnordost/streetcomplete/quests/surface/AddRoadSurface
89d555033f381b2a    2 of  22   de/westnordost/streetcomplete/screens/main/map/MainMapFragment$overlayListener$1
4185b03aa0fda18a    3 of  23   de/westnordost/streetcomplete/quests/hairdresser/AddHairdresserCustomers
de32cefea19d0199    2 of   2   de/westnordost/streetcomplete/screens/main/map/components/StyleableOverlayMapComponent$Companion
b7e4201da77c004e    6 of  83   de/westnordost/streetcomplete/quests/opening_hours/AddOpeningHours
e928d65b6edd0163    3 of  14   de/westnordost/streetcomplete/quests/parking_fee/AddBikeParkingFee
c1f2a1ffea52d28f    2 of  20   de/westnordost/streetcomplete/quests/opening_hours/AddOpeningHours$filter$2
cad1ed97fc5e63cb    3 of  26   de/westnordost/streetcomplete/quests/construction/MarkCompletedBuildingConstruction
0f1b302fe23b35db    8 of   8   de/westnordost/streetcomplete/data/visiblequests/QuestPresetsModuleKt$questPresetsModule$1$7
641318f3a666d253    2 of   4   de/westnordost/streetcomplete/data/user/UserModuleKt$userModule$1$1
bb9426021fb19af2    2 of  16   de/westnordost/streetcomplete/data/osmnotes/AvatarsInNotesUpdater
c6c47b4eb58e38d2    6 of   6   de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1$5
a43293670786f00b    6 of   6   de/westnordost/streetcomplete/data/visiblequests/QuestPresetsModuleKt$questPresetsModule$1$2
016e4f20f7b73122   27 of  31   de/westnordost/streetcomplete/data/osm/created_elements/CreatedElementsModuleKt$createdElementsModule$1
0d89c61fda4ac107    8 of  12   de/westnordost/streetcomplete/data/Preloader$preload$2$1
89346eef4899ff9e    6 of   6   de/westnordost/streetcomplete/data/user/UserModuleKt$userModule$1$5
b4f6097467b5c2eb    3 of  17   de/westnordost/streetcomplete/quests/bike_shop/AddBikeRepairAvailability
7e1ab5a4f530de50    3 of  18   de/westnordost/streetcomplete/quests/smoking/AddSmoking
bed0702f63423d63    4 of  20   de/westnordost/streetcomplete/data/osm/edits/split_way/SplitAtLinePosition$$serializer
d5ca0c5482291357    2 of   4   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievements$2
1391e0b8ad463e8a    2 of   3   de/westnordost/streetcomplete/data/quest/VisibleQuestsSource$teamModeQuestFilterListener$1
f18629b115de0d0f    1 of  38   de/westnordost/streetcomplete/data/osm/edits/delete/RevertDeletePoiNodeAction
84ac81dfa42f41b5    2 of   5   de/westnordost/streetcomplete/quests/building_entrance/AddEntrance$incomingWaysFilter$2
d6389b0e7cff3127    4 of  17   de/westnordost/streetcomplete/quests/tactile_paving/AddTactilePavingBusStop
1a7f68461902d3d4    3 of  16   de/westnordost/streetcomplete/quests/camping/AddCampDrinkingWater
df4b02ee21b82cec    5 of  92   de/westnordost/streetcomplete/screens/main/map/components/GeometryMarkersMapComponent
1aed5bae634912f8    3 of  16   de/westnordost/streetcomplete/quests/camera_type/AddCameraType
d783ba1351873ce4    2 of   4   de/westnordost/streetcomplete/data/upload/UploadService$Companion
ebd44f94d7371b82    2 of   5   de/westnordost/streetcomplete/quests/recycling_material/AddRecyclingContainerMaterials$filter$2
9d18ef4c463b749a    4 of  18   de/westnordost/streetcomplete/data/osm/edits/delete/DeletePoiNodeAction$$serializer
bed5286230764e37    4 of   4   de/westnordost/streetcomplete/data/user/statistics/CountryStatisticsTables
6e5cedcb879a3cfa    5 of   5   de/westnordost/streetcomplete/view/insets_animation/ImeInsetsAnimationCallbackKt$respectSystemInsets$1
