[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ca29175a83106ae2    2 of  34   leakcanary/AndroidLeakFixes$SPELL_CHECKER
a4b1d4408952fd2a    3 of   3   shark/AndroidReferenceMatchers$SEM_APP_ICON_SOLUTION
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
7c90639f29bc4622    4 of   6   leakcanary/ActivityWatcher
c9936d6356c6e2a4    2 of  38   shark/LibraryLeakReferenceMatcher
04ae3784555946e0    5 of   6   leakcanary/internal/InternalLeakCanary$isDebuggableBuild$2
a8ead833c8fe20b4    2 of  10   leakcanary/AndroidLeakFixes$CONNECTIVITY_MANAGER
d5113296fadab5c9    4 of   4   leakcanary/ServiceWatcher$install$3
0604891e8520caae    5 of  26   androidx/lifecycle/Lifecycle$Event$Companion
6e51afa350126d79    2 of   6   leakcanary/LeakCanary$Config$1
b45baa1f6e72d8ad    2 of  13   shark/AndroidReferenceMatchers$SYSTEM_SENSOR_MANAGER__MAPPCONTEXTIMPL$add$1
01e55c29194cd41b    3 of   8   leakcanary/BackgroundThreadHeapAnalyzer
ba92306d78b516d6    2 of  10   shark/AndroidReferenceMatchers$DEVICE_POLICY_MANAGER__SETTINGS_OBSERVER$add$1
9202b751a5b8f474    2 of   9   shark/AndroidReferenceMatchers$CLIPBOARD_EX_MANAGER$add$2
02754ce560470e48    8 of  13   androidx/lifecycle/Lifecycle$State
02c5e9a5542dabed    3 of  14   leakcanary/ActivityWatcher$lifecycleCallbacks$1
fe973213ef61d746    2 of  10   shark/AndroidReferenceMatchers$CLIPBOARD_UI_MANAGER__SINSTANCE$add$1
8e882700cded9cc0    2 of  10   shark/AndroidReferenceMatchers$SEM_EMERGENCY_MANAGER__MCONTEXT$add$1
500880fc6947691f    2 of   4   leakcanary/internal/ObjectsKt$NO_OP_HANDLER$1
b77c5b3cf94a91a6    3 of   4   leakcanary/internal/ApplicationsKt
d2e67b690bc3d2e0    2 of   9   shark/AndroidReferenceMatchers$VIEW_GROUP__M_CURRENT_DRAG_CHILD$add$1
53d57db8941896d8    3 of   3   shark/AndroidReferenceMatchers$SYSTEM_SENSOR_MANAGER__MAPPCONTEXTIMPL
4011ef93d452a37d    2 of  11   shark/AndroidObjectInspectors$CONTEXT_IMPL$leakingObjectFilter$1
957c2fdc0f993194    6 of  53   io/reactivex/rxjava3/internal/disposables/DisposableHelper
1be632308ff31e8b   10 of  14   shark/AndroidObjectInspectors
cadebfa884aad168    3 of   3   shark/AndroidReferenceMatchers$APP_OPS_MANAGER__CALLBACK_STUB
340a8da8993ef829    3 of   3   shark/AndroidReferenceMatchers$AUDIO_MANAGER__MCONTEXT_STATIC
9d9a0e7b5f1cd044    3 of   3   shark/AndroidReferenceMatchers$COMPANION_DEVICE_SERVICE__STUB
06c54c695bbb19ac    3 of   5   shark/AndroidObjectInspectors$SUPPORT_FRAGMENT
0e95256907e2c8dd    1 of   5   kotlin/TuplesKt
34f5cb0999f8dec1    2 of   7   shark/AndroidReferenceMatchers$CONNECTIVITY_MANAGER__SINSTANCE$add$1
cc4242efb414727c    2 of   7   shark/AndroidReferenceMatchers$ACCESSIBILITY_ITERATORS$add$1
0ded69141c40547f    2 of  56   shark/AndroidObjectInspectors$VIEW$leakingObjectFilter$1
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
c8b1f2242c8cbed3    3 of   9   io/reactivex/rxjava3/internal/operators/completable/CompletableSubscribeOn$SubscribeOnObserver
9275b0baf5404343    2 of  19   shark/AndroidObjectInspectors$EDITOR$leakingObjectFilter$1
827017fb2185d8c2   12 of  53   free/rm/skytube/JacocoInstrument/JacocoInstrumentation
6fec2f26c0d110d6    2 of   7   shark/AndroidReferenceMatchers$COMPANION_DEVICE_SERVICE__STUB$add$1
56765297b3db9bea    9 of  71   org/ocpsoft/prettytime/format/SimpleTimeFormat
cece4a0c97280b38    2 of   4   shark/AndroidObjectInspectors$TOAST
e74ef5fe6f58813b    4 of   4   shark/AndroidReferenceMatchers$SEM_CLIPBOARD_MANAGER__MCONTEXT
e05dee788fb7194b    3 of   3   shark/AndroidReferenceMatchers$SPEN_GESTURE_MANAGER
3f8842c8ec24c5ba    1 of   8   io/reactivex/rxjava3/internal/schedulers/SchedulerPoolFactory$ScheduledTask
7652fb338ea3bf20    2 of   9   shark/AndroidReferenceMatchers$SPELL_CHECKER_SESSION$add$1
87236abbbcf2598c    2 of  12   leakcanary/ServiceWatcher$install$3$2
7a2031bbf062bb13    7 of  95   androidx/lifecycle/Lifecycling
21619336a05446ee    3 of   3   shark/AndroidReferenceMatchers$VIEWLOCATIONHOLDER_ROOT
7b019e71d2df0342    2 of   4   shark/AndroidObjectInspectors$VIEW
0c7b206133be574b    7 of   7   leakcanary/ServiceWatcher$install$4
22c5c68c886508dd    2 of   9   shark/AndroidReferenceMatchers$STATIC_MTARGET_VIEW$add$1
580bf71d2478079f    3 of  13   leakcanary/AndroidLeakFixes$USER_MANAGER
581b2aa9ee07a847    3 of   8   leakcanary/internal/AndroidOFragmentDestroyWatcher
497ca26a9b6d5c88    1 of   2   kotlin/collections/ArraysUtilJVM
82bcc2e46e5eeaf2    3 of   3   shark/AndroidReferenceMatchers$AW_RESOURCE__SRESOURCES
656416ceb3f760ab    1 of 121   leakcanary/internal/activity/LeakActivity
14aadd357962cc0a    2 of   3   leakcanary/AndroidLeakFixes$TEXT_LINE_POOL
807850490dbb5170    5 of   8   kotlin/LazyKt__LazyJVMKt$WhenMappings
b1b7e2f811a47217    1 of   3   shark/AndroidObjectInspectors$MESSAGE
3d60d2d2969dd82d    3 of   3   shark/AndroidReferenceMatchers$IREQUEST_FINISH_CALLBACK
22945cc53112ce45    2 of   4   leakcanary/AndroidLeakFixes$ACCESSIBILITY_NODE_INFO
0304c14719343a7d    2 of   9   shark/AndroidReferenceMatchers$LAYOUT_TRANSITION$add$1
32d1b176e60e28a2    1 of   3   io/reactivex/rxjava3/internal/functions/Functions$OnErrorMissingConsumer
cd1afcdec339eff1    2 of   4   shark/AndroidObjectInspectors$MESSAGE_QUEUE
326fd86a1662b56a    2 of   4   shark/AndroidObjectInspectors$VIEW_ROOT_IMPL
7d64044ed53f651a    2 of   9   shark/AndroidReferenceMatchers$PLAYER_BASE$add$1
17f8af81e516347f   18 of  33   io/reactivex/rxjava3/internal/schedulers/ComputationScheduler
52d9074924e9c468    1 of  11   shark/AndroidObjectInspectors$SUPPORT_FRAGMENT$leakingObjectFilter$1
06bba01045e18e52    2 of   9   shark/AndroidReferenceMatchers$ACCESSIBILITY_NODE_INFO__MORIGINALTEXT$add$1
cd13d0a6bf6bfbc6   10 of  62   leakcanary/internal/LeakCanaryFileProvider
f57c782aefadb3db    2 of   6   leakcanary/BackgroundThreadHeapAnalyzer$heapAnalyzerThreadHandler$2
eef9199be7366d76    2 of   4   shark/AndroidObjectInspectors$EDITOR
e09c412c9cb8e42f    1 of   6   io/reactivex/rxjava3/internal/util/Pow2
0890b53e1af68670    3 of  16   io/reactivex/rxjava3/disposables/Disposable
a09b3ca0f9a044b1    1 of   2   io/reactivex/rxjava3/internal/functions/Functions$NullProvider
13a6843f4330d591   14 of  54   leakcanary/AndroidLeakFixes$Companion
3d588ab901dafb02   36 of 184   free/rm/skytube/app/SkyTubeApp
69b081ca13ff8ebc    1 of   3   shark/ObjectInspectors$Companion$createLeakingObjectFilters$2$1
d769364e626bbe77    2 of   4   shark/AndroidObjectInspectors$ACTIVITY
24933d307d3a59a5    2 of   9   shark/AndroidReferenceMatchers$HOST_ADPU_SERVICE_MSG_HANDLER$add$1
cf112f48f0f8099c    2 of   7   shark/AndroidReferenceMatchers$IREQUEST_FINISH_CALLBACK$add$1
05dddb29948dbf39    2 of  73   androidx/core/util/Preconditions
fe9726f5ce93afb2    2 of   9   shark/AndroidReferenceMatchers$AW_RESOURCE__SRESOURCES$add$1
b0c603fef33bc540    2 of   7   io/reactivex/rxjava3/internal/disposables/SequentialDisposable
ce13e2744c134d31    3 of   3   shark/AndroidReferenceMatchers$STATIC_MTARGET_VIEW
6b4907e6c920ccc9    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$1
c598e4053f94eb41    2 of  13   androidx/emoji2/text/EmojiCompatInitializer$BackgroundDefaultLoader
2aded622a6a4e711   42 of 121   leakcanary/internal/LeakCanaryFileProvider$Companion
c2ca50cd9f166058    8 of  71   io/reactivex/rxjava3/internal/schedulers/ScheduledRunnable
52ce118d03a375aa    2 of   6   kotlin/enums/EnumEntriesKt
0822bc291a6a932a    1 of   3   androidx/profileinstaller/ProfileInstallerInitializer$Choreographer16Impl
b833564a27edb0df    3 of   3   io/reactivex/rxjava3/schedulers/Schedulers$NewThreadTask
d0ca25da53ce8f92    3 of   3   shark/AndroidReferenceMatchers$SPEECH_RECOGNIZER
6a2248129c0ccb71    9 of  24   androidx/core/app/NotificationChannelCompat$Api26Impl
373ede1422a3f2c6    3 of   3   org/ocpsoft/prettytime/i18n/Resources_en
b5381bcb3d4e8eed    2 of   4   leakcanary/AppWatcher$objectWatcher$3
4e1fe5af5a0f34e9    3 of   3   androidx/multidex/MultiDexApplication
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
b8bc9bd634d80eea    2 of   7   shark/AndroidReferenceMatchers$BLOCKING_QUEUE$add$1
1c94e8dc2b502a42    3 of   3   shark/AndroidReferenceMatchers$APP_WIDGET_HOST_CALLBACKS
142085a151e4f139    2 of   7   leakcanary/WorkManagerHeapAnalyzer$workManagerSupportsExpeditedRequests$2
f961f18c572ffa9c    1 of   2   io/reactivex/rxjava3/schedulers/Schedulers$NewThreadHolder
28ecc5a7533e6f14    2 of   4   leakcanary/AndroidDebugHeapDumper
c4a6e85b8f5d96c5    3 of   3   shark/AndroidReferenceMatchers$WINDOW_ON_BACK_INVOKED_DISPATCHER__STUB
09778d1a5df3bcf9    1 of   2   io/reactivex/rxjava3/internal/functions/Functions$TruePredicate
a138c78e316e8eb3    2 of   2   shark/ReferencePattern$Companion
d0421e3a671a6c0f    2 of   7   shark/AndroidReferenceMatchers$MAGNIFIER$add$1
53ab7924ec858b64    3 of   3   shark/AndroidReferenceMatchers$ACCOUNT_MANAGER
602493bd2a31c0c7    3 of   3   shark/AndroidReferenceMatchers$PERSONA_MANAGER
92550096bd64e2d5    3 of  22   kotlin/Pair
b64f9e1aa4fe11df    1 of   3   leakcanary/internal/HeapDumpTrigger$scheduleDismissNoRetainedOnTapNotification$1
bd341a2905214348    2 of   9   shark/AndroidReferenceMatchers$USER_MANAGER__SINSTANCE$add$1
34a39f569131ffb1    3 of  26   shark/ReferencePattern$InstanceFieldPattern
837aabafa3389a94    3 of  28   leakcanary/ViewLocationHolderLeakFix
8f8c918347533c27    2 of   8   leakcanary/internal/InternalLeakCanary$formFactor$2
e0e2bf496cb9226e    2 of  14   io/reactivex/rxjava3/core/Scheduler$DisposeTask
94142196cd832d7c    2 of   7   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$6
d862b8be124e1fed    6 of  19   leakcanary/WorkManagerHeapAnalyzer$validWorkManagerInClasspath$2
684d58361c3bf9c0    3 of   3   shark/AndroidReferenceMatchers$GESTURE_BOOST_MANAGER
e20d35c13a117c5c    3 of   3   shark/AndroidReferenceMatchers$PLAYER_BASE
5ca098fd6b38f6e7    2 of   7   shark/AndroidReferenceMatchers$AUDIO_MANAGER$add$1
c50ba5eaa1247843    2 of   7   leakcanary/AppWatcher$objectWatcher$2
482b054e11f4fd1b   12 of 127   kotlin/jvm/internal/Intrinsics
2b93899bb039cbbb    2 of  11   shark/AndroidObjectInspectors$ANDROIDX_FRAGMENT$leakingObjectFilter$1
63d5c10920448716    1 of   4   io/reactivex/rxjava3/disposables/RunnableDisposable
0d6991fc82bd07bd    2 of   9   shark/AndroidReferenceMatchers$WINDOW_ON_BACK_INVOKED_DISPATCHER__STUB$add$1
ad7d88aad15dc112    3 of   3   io/reactivex/rxjava3/schedulers/Schedulers$SingleTask
84f129fe06db864f    3 of   3   shark/AndroidReferenceMatchers$SMART_COVER_MANAGER
352274148425e488    1 of   4   shark/AndroidReferenceMatchers$Companion$libraryLeak$1
a8f3dd4ff2dde2fd    5 of  14   leakcanary/internal/HandlersKt
7ebc893395640f77    2 of   7   shark/AndroidReferenceMatchers$SPAN_CONTROLLER$add$1
df7b98025414aef0    3 of   3   shark/AndroidReferenceMatchers$VIEW_CONFIGURATION__MCONTEXT
9cd8e7678c854ea5    2 of   9   shark/AndroidReferenceMatchers$SEM_PERSONA_MANAGER$add$1
16e7dc9674a83379   14 of  14   shark/AndroidReferenceMatchers$REFERENCES
d7c6d530bdd73e82    5 of  14   shark/AndroidReferenceMatchers
aa9538acc706a49c    1 of   3   shark/AndroidObjectInspectors$APPLICATION
a61e3bed1eb63ae0    8 of  11   curtains/internal/WindowManagerSpy$windowManagerClass$2
6e5e1627a3fb5625    2 of   7   shark/AndroidReferenceMatchers$TEXT_TO_SPEECH$add$2
6c094278f62dd5f6    2 of  13   shark/AndroidObjectInspectors$FRAGMENT$leakingObjectFilter$1
5f863d3906e5ddf7    3 of   4   leakcanary/ServiceWatcher$activityThreadInstance$2
49ed80cfdd8a2505    3 of   3   io/reactivex/rxjava3/schedulers/Schedulers$IOTask
bb3e5c8723ac7dba    3 of   3   shark/AndroidReferenceMatchers$USER_MANAGER__SINSTANCE
