[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Kiwix-_3.11.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d39508959e72a50d    4 of  39   kotlinx/coroutines/flow/StateFlowKt
638caf9e7d952104   10 of  70   okio/ByteString$Companion
4931cc7e0c6d99a1    2 of  18   org/kiwix/kiwixmobile/core/main/CoreReaderFragment$setUpTTS$1$2
6231d92037e51c71    1 of  10   androidx/lifecycle/ViewTreeViewModelStoreOwner
d7a62bd1d313dfec    3 of   3   shark/AndroidReferenceMatchers$MULTI_WINDOW_DECOR_SUPPORT__MWINDOW
bef6c048a9df67e9    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
655c973c9d3d7fd7    2 of   7   shark/AndroidReferenceMatchers$ASSIST_STRUCTURE$add$1
7f7dc1c1f4305a06    5 of   6   androidx/drawerlayout/widget/DrawerLayout$2
b3f888e74966d2f5    2 of   9   shark/AndroidReferenceMatchers$ACTIVITY_TRANSITION_STATE__M_EXITING_TO_VIEW$add$1
d64ff66f618cc120    2 of  64   org/kiwix/kiwixmobile/core/utils/files/FileSearch
91bb45948d1149b3   83 of 167   com/google/android/material/navigation/NavigationBarView
6bf471e8d2cb2859    2 of  27   kotlinx/coroutines/internal/Segment
eb43653422774c90    2 of  11   org/kiwix/kiwixmobile/core/dao/RecentSearchRoomDao
7c90639f29bc4622    4 of   6   leakcanary/ActivityWatcher
47ef186305323a2f   11 of  18   com/google/android/material/shape/MaterialShapeUtils
2bd0775412dc4ec9    6 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
c9936d6356c6e2a4    2 of  38   shark/LibraryLeakReferenceMatcher
04ae3784555946e0    5 of   6   leakcanary/internal/InternalLeakCanary$isDebuggableBuild$2
62a1ade9dfe8c038    3 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
f2cf3b8aa2a65b7a    3 of   3   shark/AndroidReferenceMatchers$APP_OPS_MANAGER__CALLBACK_STUB
01e55c29194cd41b    3 of   8   leakcanary/BackgroundThreadHeapAnalyzer
cb21372c64967800    2 of   5   org/kiwix/kiwixmobile/core/di/modules/ActivityModule$Companion$providesMainMenuFactory$1
3f99a58deaa0802f    2 of  15   org/kiwix/kiwixmobile/core/extensions/FragmentExtensionsKt
a19c14abd6a7430c    9 of 123   io/reactivex/processors/BehaviorProcessor
bb6fd6a616b22be6    1 of   2   com/google/android/material/appbar/AppBarLayout$1
e29c53b955018484    2 of   5   okhttp3/ResponseBody$Companion$asResponseBody$1
e7a19d1d2784ed9a    1 of   2   org/kiwix/kiwixmobile/core/main/CoreReaderFragment_ViewBinding$1
