[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/nextcloud-_4792_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
2c87d099eee51a91    3 of  30   com/owncloud/android/datastorage/providers/MountCommandStoragePointProvider
2cde83dd8b2b46e3    2 of  21   com/owncloud/android/authentication/AuthenticatorActivity$RightDrawableOnTouchListener
f9fd527ef5ee1774    1 of   5   com/owncloud/android/files/services/FileDownloader_MembersInjector
641c97082431bdcd   25 of 303   com/owncloud/android/files/services/FileUploader
ea2ffc6166d8a071    1 of   3   com/nextcloud/client/di/DaggerAppComponent$5
167d03c39dd420ab   23 of 104   com/owncloud/android/utils/FilesSyncHelper
142ce5859e780371    1 of   5   com/owncloud/android/authentication/AuthenticatorActivity$3
8ebc6f7ff75a08f4    1 of   3   com/nextcloud/client/di/DaggerAppComponent$15
c0955749c802665a    4 of  11   com/owncloud/android/files/services/FileUploader_MembersInjector
541a8e6e9cbf5392    5 of   5   com/nextcloud/client/di/AppModule_CurrentAccountProviderFactory
56466a27caf19df2    1 of   3   com/nextcloud/client/di/DaggerAppComponent$27
a96e46549408c20b    1 of   3   com/nextcloud/client/di/DaggerAppComponent$1
44d566e748882391    1 of 120   com/owncloud/android/files/services/FileUploader$UploadRequester
1b2e2440dab8f363    1 of   3   com/nextcloud/client/di/DaggerAppComponent$35
379e51855eefecdd    3 of   3   com/nextcloud/client/di/DaggerAppComponent$57
68e9e749a529efdc    1 of   3   com/nextcloud/client/di/DaggerAppComponent$31
c61d640817adcdbd    2 of  23   com/owncloud/android/datastorage/providers/VDCStoragePointProvider
696e469df84f1a14   10 of  23   com/owncloud/android/MainApp_MembersInjector
ed49ac8dec8ddefa    1 of   3   com/nextcloud/client/di/DaggerAppComponent$17
a770d70cb3622de1    1 of  16   com/owncloud/android/datastorage/providers/EnvironmentStoragePointProvider
3321cc16255f4d5c   41 of  85   com/nextcloud/client/logger/LoggerImpl
d2519200a189110e   11 of  26   com/nextcloud/client/logger/ThreadLoop
4813df77baaa191a    7 of 254   com/owncloud/android/utils/FileStorageUtils
561d1d041ca5640c    1 of   5   com/nextcloud/client/di/AppModule_UploadsStorageManagerFactory
4946b203e34cb3aa    1 of   2   androidx/appcompat/R$styleable
d1687925a0be9d8b    1 of   2   com/owncloud/android/ui/fragment/ExtendedListFragment$1
6ded08a0187bfbc3  125 of 839   com/owncloud/android/authentication/AuthenticatorActivity
b17395f9b9e8ad7b    9 of   9   com/nextcloud/client/di/DaggerAppComponent$FirstRunActivitySubcomponentImpl
41c08c407c8d589c   14 of  24   com/nextcloud/client/di/AppModule
19389060eb8046b6    1 of   5   com/nextcloud/client/network/NetworkModule_ConnectivityServiceFactory
df4e53e8cb6ecf58    2 of   7   com/owncloud/android/utils/PermissionUtil
b47686641f6a73bb   43 of  69   com/owncloud/android/datastorage/DataStorageProvider
cbd772b26abddc12    1 of   3   com/owncloud/android/features/FeatureItem$1
61f6ee58b696a5f3    3 of   3   com/nextcloud/client/di/DaggerAppComponent$39
