[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/open-event-attendee-android-0.5-_2198-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
25563286275af5b7    3 of   5   org/fossasia/openevent/general/utils/extensions/LiveDataExtensionsKt
b10dca944bbafecd    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$11
c606380e27112eec    1 of  12   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$favFabClickListener$1
c88c49fc0c0ca1b7    4 of   4   org/fossasia/openevent/general/connectivity/MutableConnectionLiveData$context$2
38c050985e708c8a   24 of  24   org/fossasia/openevent/general/di/ModulesKt$commonModule$1
ee1b59eac415a01d    1 of   2   androidx/constraintlayout/widget/R$styleable
05ec7e047ba30eac    1 of   4   org/fossasia/openevent/general/event/subtopic/EventSubTopicConverter
9e0e9935ea733d05    9 of  15   org/fossasia/openevent/general/event/EventsFragment$onCreateView$5
209c1eb22ef15b9d    1 of  10   org/fossasia/openevent/general/event/EventsFragment$onCreateView$11
e69b2c6acffe4151    4 of   5   org/fossasia/openevent/general/settings/SettingsService
cebd152b0cefdec1    4 of   7   org/fossasia/openevent/general/JacocoInstrument/SMSInstrumentedReceiver
f7fd018a6206dc0d    1 of 493   org/fossasia/openevent/general/OpenEventDatabase_Impl$1
af5706a34f3ad08b    1 of   4   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$4
00c5e83ecd4d5001    9 of   9   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$2
8d83f58ffcb99622    2 of  10   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$14
d179cc29ef191028    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$6
0d588d216dc2a741   20 of  20   org/fossasia/openevent/general/di/ModulesKt$networkModule$1
c8f8e430834670f1    2 of   2   org/fossasia/openevent/general/utils/extensions/NonNullMediatorLiveData
5e05c7aedc485554    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$20
c9f23bb68e818cd9    7 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$30
4b22f72d1007e9e5    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onCreateView$2
aff6a85194b3f4a5    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$16
d842ece0e4d66957    2 of   5   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$24
77c7c62bb2893766    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$15
2bdc9476967931dc   10 of  17   org/fossasia/openevent/general/event/paging/EventsDataSource
62d9971a16d6eba3    1 of   2   androidx/navigation/R$styleable
a268bdd16c1d58d1    1 of  20   org/fossasia/openevent/general/speakercall/SpeakersCallDao_Impl$1
2e0bb41ee9ee2d6c    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$5
