[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/MyExpenses-_r879-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
8c3bda044c999a3b    2 of   7   androidx/compose/foundation/ScrollState$_scrollIndicatorState$1
0471280b0c9ce047   10 of  15   androidx/lifecycle/LifecycleCoroutineScopeImpl
01c88515e522015d    5 of  11   androidx/compose/ui/layout/VerticalRuler
9630aa56830b5fce   25 of  39   org/totschnig/myexpenses/MyApplication$setupLogging$1
5dce43596af214c1    5 of   5   org/totschnig/myexpenses/dialog/NewDialogUtilsKt$addAllAccountTypes$lambda$1$0$$inlined$sortedBy$1
f5e1132cec992af3    8 of  64   androidx/compose/ui/unit/Density
23a4637afab01ac5   11 of 180   androidx/collection/MutableLongSet
2e6cc4ca6a8fa085    2 of  17   androidx/core/view/ViewCompat$Api26Impl
6819a3a6870d8c1f    9 of 174   androidx/compose/ui/geometry/Rect
5ea3062f3a4f0273    3 of   3   kotlinx/coroutines/scheduling/NanoTimeSource
23182d9d81f86fce    2 of  48   org/totschnig/myexpenses/provider/PlannerUtils$Companion
0c7ca7b0025d2926   15 of  43   androidx/compose/runtime/saveable/SaveableHolder
99b4fcf9b9571ca1    3 of   4   androidx/compose/runtime/StructuralEqualityPolicy
8334b075a664d598    7 of  29   androidx/compose/ui/draganddrop/AndroidDragAndDropManager
4ffe57daf47a6c9e    2 of   5   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$26
f176a2e235cce69f    1 of   3   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$1
8c4dd2807d39833c    5 of   8   androidx/compose/ui/layout/WindowInsetsRulersImpl
9f5eef6ac2691294    8 of  27   androidx/compose/ui/graphics/StrokeJoin
6c9c7705223c196f    5 of   5   org/totschnig/myexpenses/di/NetworkModule_ProvideSocketFactoryFactory
bb2940ede00bfb02    9 of  15   kotlinx/coroutines/flow/FlowKt__DistinctKt
9a0c5f36b55590a2   19 of  26   kotlin/text/LinesIterator
3ff20ccd70f4a31b    3 of   3   org/totschnig/myexpenses/activity/BaseActivity$special$$inlined$viewModels$default$7
df5ebd8e2d0b0f09    5 of  67   org/totschnig/myexpenses/provider/DbUtils
83f56282c26743c5    1 of   3   kotlin/jvm/internal/Lambda
c0c7ec4d2e024252    4 of  11   androidx/compose/ui/focus/FocusOwnerImpl$modifier$1
be5bb8494ecd4802   19 of  77   ch/qos/logback/classic/LoggerContext
dc7eab517f41c88e    4 of   5   kotlinx/coroutines/channels/ChannelResult$Companion
ace3a01e638bef96    2 of   2   androidx/compose/ui/graphics/colorspace/Oklab$Companion
53047a2513aa1a68    2 of  48   androidx/collection/IntIntMapKt
88652aa17ff61dd4    1 of   6   androidx/appcompat/widget/AppCompatSpinner$DropdownPopup$1
069d44f15b8d5906   74 of 282   androidx/appcompat/widget/ActionMenuPresenter
f18622ed8c03bf81    8 of  56   androidx/compose/foundation/layout/PaddingValuesImpl
43abaf99080cc4d0    2 of   2   androidx/fragment/app/Fragment$3
7582951611f21188    1 of   2   androidx/compose/ui/text/platform/AndroidParagraphHelper_androidKt$NoopSpan$1
4331d14d4780d50d    7 of  12   ch/qos/logback/core/pattern/parser/TokenStream$1
c9b912a7116daa87   13 of  42   org/slf4j/helpers/Reporter
158a859a72f04215    3 of  14   com/google/android/material/shape/AdjustedCornerSize
b5bd5419ff341e66    5 of  28   ch/qos/logback/core/util/CharSequenceToRegexMapper
379608803360ec81    2 of   2   okhttp3/CookieJar
f570c48e85301439    6 of   7   androidx/compose/runtime/SnapshotMutableIntStateImpl$IntStateStateRecord
81c00dfa983ad500    1 of   2   ch/qos/logback/core/pattern/util/AsIsEscapeUtil
81ed9a0dfce10601    4 of   4   androidx/compose/ui/graphics/PaintingStyle$Companion
8b8be179bd895679    3 of   3   androidx/compose/ui/platform/coreshims/AutofillIdCompat
dbf541e0ccd897c9    1 of   1   kotlin/reflect/jvm/internal/CacheByClass
0295ef5f7d54f198    2 of   4   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$broadcastReceiver$1
c0b7e15ac7a5a741   54 of 204   com/google/android/material/button/MaterialButtonHelper
a1c80a0326616ca3    7 of  10   androidx/compose/ui/input/pointer/PointerIcon$Companion
1b7e96ec2c6aa0f5    4 of  13   androidx/compose/runtime/ParcelableSnapshotMutableState
0237ac288d766267    3 of   8   ch/qos/logback/core/pattern/PatternLayoutEncoderBase
c6106a45cb5ca619    6 of  19   androidx/compose/runtime/NextFrameEndCallbackQueue
85ca33fd03037424   34 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
928a8cef98de67ac    1 of   9   org/totschnig/myexpenses/util/crashreporting/CrashHandler$Companion$NO_OP$1
5cdbc3ec87c739e7    9 of  40   org/totschnig/myexpenses/model/Money
4620a6100c5e4d77    4 of  83   androidx/work/impl/background/systemjob/SystemJobInfoConverter
068815057d910f00    2 of   2   androidx/compose/ui/draganddrop/DragAndDropNode$Companion$DragAndDropTraversableKey
e6ec47b9e39923d2   21 of 115   kotlinx/coroutines/scheduling/WorkQueue
d8bea10e61a3b933    1 of   7   androidx/compose/ui/text/AndroidTextStyle_androidKt
7793619f4ac7bdea   15 of  22   androidx/compose/ui/graphics/colorspace/Illuminant
b4b28ae2b1412e37    3 of  23   org/totschnig/myexpenses/preference/PopupMenuPreference
dde8a54a9dfbe47f   67 of 136   androidx/compose/ui/unit/ConstraintsKt
c973c4f4f20b5ea7    3 of   6   org/acra/collector/Collector$Order
382f7d705a48de21    2 of   8   com/evernote/android/state/StateSaver
30610fc15dce6354    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
0ab303bc788db0b8   11 of  12   org/totschnig/myexpenses/fragment/OnboardingDataFragment$configureView$1$1$1
589688b10b479a22    7 of  93   androidx/recyclerview/widget/PagerSnapHelper
2da61c4a8e323e97    1 of   2   androidx/datastore/core/FileStorageConnection$readScope$1
b071b33c43c081c6    1 of   2   kotlinx/coroutines/flow/internal/ChannelFlowTransformLatest$flowCollect$3$1$emit$1
8c63b69dc60a9db8    7 of  15   androidx/emoji2/viewsintegration/EmojiTransformationMethod
d898c19c2ed61683    2 of  14   androidx/compose/foundation/layout/CrossAxisAlignment$VerticalCrossAxisAlignment
727d1f31466d8a74    3 of   3   app/cash/copper/ContentResolverQuery
ba277eb33da03862    1 of   1   androidx/tracing/TraceAttributes
233a7c0df3efed8f   13 of  63   androidx/compose/ui/text/font/ResourceFont
e3f8680ada2f7080    9 of  16   androidx/room/RoomDatabase$Callback
df31276c66e65fe5   16 of 166   androidx/compose/runtime/GapPending
b8efc46dedb8305e    9 of   9   kotlin/collections/builders/MapBuilder$Companion
7d880cfeb213a201   10 of  20   androidx/compose/ui/autofill/PlatformAutofillManagerImpl
c61e74564ef0bdde    2 of  38   androidx/compose/runtime/internal/ThreadMap
abe0a065d95c73bf   44 of  78   org/totschnig/myexpenses/compose/ThemeKt
c6bc83e8541b9027    8 of  64   kotlin/reflect/jvm/internal/impl/resolve/jvm/JvmClassName
21ec04cf28770c3f    6 of  10   okhttp3/internal/platform/android/Android10SocketAdapter$Companion
939c83091985e87c   15 of  49   androidx/emoji2/viewsintegration/EmojiTextWatcher
78854b59fa0488b6   37 of  42   org/totschnig/myexpenses/util/log/TagFilterFileLoggingTree
e4125e3d75da4e84    1 of   6   okhttp3/Dns$Companion$SYSTEM$1
f078c19a27f4d764    2 of  11   androidx/tracing/EmptyEventMetadata
7c6e1e8cd0f6d360   12 of  53   org/totschnig/myexpenses/JacocoInstrument/JacocoInstrumentation
d1f62c877a054602    3 of   5   androidx/compose/ui/input/indirect/IndirectPointerEventPrimaryDirectionalMotionAxis$Companion
928eb0519fc1fc64    3 of   3   androidx/datastore/core/State
0f61a6335fcfd7e7    4 of  22   androidx/room/TransactionExecutor
8eb42318c7e90b3e    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$3
acb33911022cd6f5   20 of  39   androidx/lifecycle/RepeatOnLifecycleKt$repeatOnLifecycle$3$1
5bff22bbc2a05a9a    4 of   5   androidx/compose/runtime/internal/Thread_androidKt
80ac4d00a3d52ff9   10 of  28   androidx/viewpager2/adapter/FragmentStateAdapter$FragmentEventDispatcher
