[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ReadYou-_0.16.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ce8bde0bdbe06b14    9 of  25   androidx/work/impl/model/WorkSpec$Companion
69bb0e8ab7df5094    1 of   2   androidx/arch/core/executor/DefaultTaskExecutor$Api28Impl
792bdd592024642d    1 of   1   androidx/compose/ui/layout/ContentScale
d1cd9d4385d78925   10 of  12   androidx/work/WorkRequest$Companion
7ba8a5a5f43b6a4a    1 of   3   okhttp3/internal/http2/Http2Connection$Listener$Companion$REFUSE_INCOMING_STREAMS$1
83395dbcd38f6d75  145 of 300   androidx/compose/runtime/Recomposer$runRecomposeAndApplyChanges$2
59c2e3a86dbe17ab   22 of  33   androidx/compose/ui/text/android/StaticLayoutFactory23
4612d070613a57d9    3 of   3   me/ash/reader/infrastructure/di/RetrofitModule
5ef13cdd4594073a    3 of   3   kotlinx/coroutines/ResumeOnCompletion
2c5fb1b0f92b644d    8 of  14   org/slf4j/helpers/SubstituteLoggerFactory
c95820defd2eb423   38 of  50   com/rometools/rome/io/impl/PluginManager
d77d188ff1429e3c    1 of   2   me/ash/reader/domain/data/DiffMapHolder$1$invokeSuspend$$inlined$mapNotNull$1$2$1
915b1375a87c6adc   33 of 121   androidx/compose/foundation/layout/RowColumnMeasurePolicyKt
11e7ac7d4b38f62d   50 of 258   kotlin/collections/builders/MapBuilder
cfc878f4a31234be    6 of  10   me/ash/reader/infrastructure/preference/FeedsFilterBarPaddingPreference
07bda57109c3ab9c   12 of  22   kotlinx/serialization/internal/CollectionLikeSerializer
103b7a214d150799   17 of  99   androidx/compose/ui/geometry/Offset
3327cce8b9418619    8 of  12   me/ash/reader/infrastructure/preference/FlowArticleListFeedIconPreference$Companion
42386578367751ad   12 of  14   me/ash/reader/domain/model/account/SyncOnStartConverters
75d958ac791ab4f5   80 of 248   androidx/compose/foundation/lazy/LazyListState
b97c00ca796a8047    1 of   2   dagger/hilt/internal/UnsafeCasts
eaf704972ef7000c    2 of   2   org/slf4j/helpers/NOPLoggerFactory
39ff482991d3809a    2 of  22   androidx/collection/OrderedScatterSetKt
c2d51a3e352d8d59    1 of   3   androidx/compose/foundation/FocusableNode$focusTargetNode$1
0669c20cad2ce9eb    4 of   7   androidx/compose/ui/text/font/FontStyle$Companion
a8cdd085daa3c249    1 of  33   org/jsoup/parser/HtmlTreeBuilderState$11
28e2e60e98dd7692  231 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
27a71115893e9f2b    2 of   2   kotlinx/serialization/descriptors/PrimitiveKind$BOOLEAN
098766e3a4c7eb0b    2 of   4   androidx/compose/runtime/ComposeRuntimeFlags
8c0d3f58dd8cee73  251 of 631   androidx/compose/ui/node/MeasureAndLayoutDelegate
faa8fe01d4d950dc    3 of  16   androidx/compose/runtime/internal/AtomicInt
12aae4daaf7bf9bf    2 of   4   androidx/compose/ui/graphics/layer/GraphicsLayerImpl$Companion$DefaultDrawBlock$1
63a62791429ac61b    3 of  10   androidx/compose/ui/autofill/AutofillTree
9a99652f0e5ed151   22 of  52   com/rometools/rome/feed/atom/Feed
fdcb9349a6cfa8f7   32 of  64   okhttp3/ConnectionSpec$Builder
e77116abf9af08ce    5 of   5   androidx/compose/ui/text/style/TextForegroundStyle$Unspecified
09394c2762cec76e    3 of   3   androidx/compose/ui/graphics/drawscope/CanvasDrawScopeKt
c8a859495d9b6cbb   30 of  46   androidx/navigation3/scene/BackStackAwareLifecycleNavEntryDecoratorKt
d157ece13ecf63bb    9 of  10   androidx/compose/runtime/snapshots/GlobalSnapshot$takeNestedMutableSnapshot$1$1
8fed4257535a7e23    3 of  28   androidx/savedstate/serialization/serializers/SavedStateSerializer
474895bf1f344d06    6 of  59   androidx/core/app/ComponentActivity
359c4fed0aa05017    2 of  11   androidx/work/OneTimeWorkRequest$Companion
1be7c332912d0932   11 of  20   androidx/datastore/preferences/core/PreferencesSerializer$WhenMappings
0ba027de3cabd018   65 of  99   androidx/compose/ui/layout/SubcomposeLayoutKt
cca6591a7aa10fd3    1 of   2   com/google/gson/FieldNamingPolicy$2
10094f50ee87f110    5 of  12   androidx/compose/ui/platform/InvertMatrixKt
3389c601c0c7b580    2 of  27   kotlinx/serialization/internal/AbstractCollectionSerializer
f5d94284f1892604    4 of  19   androidx/compose/ui/text/font/AndroidFontResolveInterceptor
