[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/open-event-attendee-android-0.5-_2198_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
70232214551f09ca    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$3
103afcd549f2729e    7 of  13   org/fossasia/openevent/general/common/SingleLiveEvent
90844377bcd5116d    1 of   4   org/fossasia/openevent/general/event/topic/EventTopicConverter
b10dca944bbafecd    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$11
ecbb743da746ccf8    1 of   2   androidx/constraintlayout/widget/R$styleable
c88c49fc0c0ca1b7    2 of   4   org/fossasia/openevent/general/connectivity/MutableConnectionLiveData$context$2
38c050985e708c8a   24 of  24   org/fossasia/openevent/general/di/ModulesKt$commonModule$1
9e0e9935ea733d05    1 of  15   org/fossasia/openevent/general/event/EventsFragment$onCreateView$5
209c1eb22ef15b9d    1 of  10   org/fossasia/openevent/general/event/EventsFragment$onCreateView$11
cebd152b0cefdec1    4 of   7   org/fossasia/openevent/general/JacocoInstrument/SMSInstrumentedReceiver
f7fd018a6206dc0d    1 of 493   org/fossasia/openevent/general/OpenEventDatabase_Impl$1
af5706a34f3ad08b    1 of   4   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$4
00c5e83ecd4d5001    9 of   9   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$2
8d83f58ffcb99622    2 of  10   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$14
d179cc29ef191028    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$6
0d588d216dc2a741   20 of  20   org/fossasia/openevent/general/di/ModulesKt$networkModule$1
5e05c7aedc485554    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$20
c9f23bb68e818cd9    7 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$30
4b22f72d1007e9e5    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onCreateView$2
aff6a85194b3f4a5    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$16
d842ece0e4d66957    2 of   5   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$24
77c7c62bb2893766    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$15
0f0b0a2bd2c82fa1    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$hashTagClickListener$1
a268bdd16c1d58d1    1 of  20   org/fossasia/openevent/general/speakercall/SpeakersCallDao_Impl$1
2e0bb41ee9ee2d6c    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$5
ee5aa9a9d08d08a5  112 of 215   org/fossasia/openevent/general/event/EventsFragment
8c3b8105c014840f    2 of  18   org/fossasia/openevent/general/notification/NotificationDao_Impl
03152965b7231c86    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$17
2de0407ca302944e    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onCreateView$4
d1c34a0e86f2a53f    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$2
5a20437fb344bc55    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$3
75bf4ee2f17b5bdf    1 of   5   org/fossasia/openevent/general/event/EventsFragment$onCreateView$1
2321db3edb7a04af    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$23
0e94c4df8f96f950    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$21
8c655452771166b3    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$4
d5d87000d6017940   28 of  68   org/fossasia/openevent/general/MainActivity
874b83fbf0d1df65    6 of  11   org/fossasia/openevent/general/auth/RequestAuthenticator
faafce2efee2921e    1 of  21   org/fossasia/openevent/general/notification/NotificationDao_Impl$1
ac8fa68bb4da5e4a    1 of  37   org/fossasia/openevent/general/settings/SettingsDao_Impl$1
7713c211a33e9a2d    1 of   5   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$eventClickListener$1
96beebdf6315e306    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$7
2ef3d1e874d1106d    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$9
b89732d44e1da519    2 of  75   org/fossasia/openevent/general/auth/AuthService
7d8c19b2f17dca44    1 of   5   org/fossasia/openevent/general/event/EventsFragment$onCreateView$12
6aa9f70d62f5d6ba    1 of   5   org/fossasia/openevent/general/utils/extensions/LiveDataExtensionsKt$nonNull$1
451d8f0dae28e030    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$12
ffff370186a0e4ae    2 of   2   org/fossasia/openevent/general/OpenEventDatabase
3734e126900a6c97    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$9
02eaa8d06ae90b9e    5 of  45   org/fossasia/openevent/general/attendees/AttendeeDao_Impl
df4eb56f99733f60    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$13
02a8f93e078f2eac    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$27
ddf4dbdba03e621b    5 of  22   org/fossasia/openevent/general/event/EventsListAdapter
b619af20e8b203c6    1 of   2   com/google/android/material/R$styleable
2c4b0398b8ea21b4    2 of   6   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$12
391dd60cfca50153    3 of   3   org/fossasia/openevent/general/data/Preference$editor$2
6a220fc3e74e5a8d    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$14
da37f0f6c3245cee  132 of 132   org/fossasia/openevent/general/di/ModulesKt$apiModule$1
9ff9dc0e277247e9   11 of  15   org/fossasia/openevent/general/OpenEventGeneral
18645bbb833dfd09    1 of   4   org/fossasia/openevent/general/settings/SettingsService$fetchSettings$2
084fa20cf8f4853f    1 of   7   org/fossasia/openevent/general/event/EventsFragment$onCreateView$7
75e29bdc5d3969a3   12 of  53   org/fossasia/openevent/general/JacocoInstrument/JacocoInstrumentation
13ea9c72cc8c8da7    1 of   2   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$2
d114159cfc2ea6ce    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$2
c1f0b7b500c3b183    7 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$32
d29d47b6b7205ffd    1 of 177   org/fossasia/openevent/general/event/EventDao_Impl$1
9e723e048272f8c7    1 of   9   org/fossasia/openevent/general/event/EventsFragment$onCreateView$8
