[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Currencies-_1.23.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
17faffb815bb6574    5 of  14   de/salomax/currencies/view/main/MainActivity$prepareFoldableLayoutChanges$1$1$1
6bf471e8d2cb2859    2 of  27   kotlinx/coroutines/internal/Segment
d48599621075951d   92 of 282   androidx/appcompat/widget/ActionMenuPresenter
b04a2e69aa17d4a4    1 of   3   androidx/collection/ArraySet$ElementIterator
47ef186305323a2f    6 of  18   com/google/android/material/shape/MaterialShapeUtils
48a5d8ebf4fd9427    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
93f72387ec4614a2   55 of 193   com/google/android/material/button/MaterialButtonHelper
dd2a6560775fdf82    1 of   1   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$2
62a1ade9dfe8c038    4 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
301c31bfec16a52f    4 of   4   com/github/kittinunf/fuel/core/FuelManager$Companion$instance$2
8cc92ed8aef32c79  118 of 533   de/salomax/currencies/view/main/MainActivity
b7af8ffc03bae377    2 of   2   kotlin/SafePublicationLazyImpl$Companion
9d49067aff59accb    2 of   3   kotlinx/coroutines/internal/ContextScope
c24f7a471f034faa    1 of   1   de/salomax/currencies/model/ApiProvider$Api
28e2e60e98dd7692  270 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
33ca88b160c70b19    1 of   8   kotlin/jvm/internal/PropertyReference1
0d6239a542c2cea2    4 of   8   com/google/android/material/progressindicator/AnimatorDurationScaleProvider
74f0c89b7522a1e1   28 of  51   androidx/appcompat/view/ContextThemeWrapper
b91093f120d7429e   20 of  58   com/github/kittinunf/fuel/core/interceptors/ParameterEncoder
692eed90b9d7c5c0    2 of   4   androidx/window/layout/WindowMetricsCalculator$Companion$decorator$1
3fabe5b08ea12416    1 of   5   androidx/dynamicanimation/animation/DynamicAnimation$3
b1caca2617219463   18 of  38   kotlinx/coroutines/flow/FlowKt__ChannelsKt
5dd0950023cb6bad    1 of   3   kotlin/reflect/jvm/internal/KCallableImpl$_returnType$1
d5f2c85934776967    2 of   5   androidx/core/view/GravityCompat
474895bf1f344d06    5 of  59   androidx/core/app/ComponentActivity
464c447cbbe4811e    3 of 101   androidx/core/view/NestedScrollingChildHelper
f193c6b9d69bf97b    1 of   5   androidx/dynamicanimation/animation/DynamicAnimation$12
27b4ab5d171df338   36 of 264   androidx/collection/SimpleArrayMap
13379fe9c9a8bdba    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
429573458c3da520    5 of   5   de/salomax/currencies/util/SharedPreferenceStringLiveData
499cc6512c27b324    5 of  22   kotlin/internal/jdk8/JDK8PlatformImplementations
34c74cf48a0e7aec    6 of  93   kotlinx/coroutines/JobKt__JobKt
8e3378015dee130e    2 of  11   androidx/lifecycle/ViewTreeLifecycleOwner
0528c5b2fc90bcde    3 of  13   kotlinx/coroutines/flow/ChannelFlowBuilder
8e15e8ecb1b33f9e    1 of  33   kotlinx/coroutines/flow/FlowKt__EmittersKt
99ba55ff24d9b849   31 of 130   kotlinx/coroutines/channels/BufferedChannel$BufferedChannelIterator
59415d225cd12864    9 of 212   androidx/appcompat/widget/ActionBarContextView
8ef4c5f824be9764    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
4d09c00951102ccb    2 of   5   com/github/kittinunf/fuel/core/requests/DefaultBody$Companion$CONSUMED_STREAM$1
f513a77a53f16145  177 of 203   de/salomax/currencies/model/Currency
4ee39c059ba3f99b   42 of  90   kotlin/reflect/jvm/internal/KClassImpl$Data
91dfb4c40af73733   34 of  90   kotlinx/coroutines/DispatchedTask
fe975d072205a175   10 of  13   de/salomax/currencies/model/ApiProvider$Companion
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
3a26374f44e17166    3 of   3   kotlinx/coroutines/scheduling/TaskContextImpl
189d1e841728c1de   32 of 318   androidx/appcompat/widget/ActionMenuView
0a2abf471ff85a62    5 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
c4ed8a07ff4b415a    4 of   6   kotlin/reflect/jvm/internal/KDeclarationContainerImpl$Data
7f3ffd75162e0499    5 of  11   com/google/android/material/animation/AnimationUtils
5e3acd73077b4ccd    1 of   3   kotlin/reflect/jvm/internal/impl/name/FqNameUnsafe$1
eef8bb61e5b5b0d3    5 of  14   kotlin/reflect/jvm/internal/impl/builtins/jvm/JavaToKotlinClassMap$PlatformMutabilityMapping
a46168c21f300a90    4 of  67   androidx/core/app/AppLocalesStorageHelper
0b5608634a4a487a    1 of   5   kotlinx/coroutines/internal/Symbol
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
baafa6131c45d1ff   18 of  47   androidx/lifecycle/SavedStateHandleSupport
9a299f2999d9f5d1   55 of 793   androidx/core/view/ViewCompat
7f07511fed9aa28e   10 of  14   kotlinx/coroutines/scheduling/TasksKt
4da7341b5711ffa0    1 of  80   androidx/savedstate/SavedStateWriter
85ca33fd03037424   33 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
ef0825c71a15e1cb    1 of   2   androidx/lifecycle/ViewModelProvider$OnRequeryFactory
dc93fcc5b3aabaed    6 of   9   kotlin/jvm/internal/ArrayIterator
f00cf5fbcf891b69    5 of  22   kotlin/Pair
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
0eb047c7a1a9c9c4    1 of   4   kotlinx/coroutines/CancellableContinuationImplKt
42494dbddaecdc05  116 of 116   kotlin/reflect/jvm/internal/impl/builtins/StandardNames$FqNames
da9c297a5681dc7a  228 of 610   androidx/constraintlayout/widget/ConstraintLayout
