[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Breezy-Weather-_v5.2.8-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ed5e6a4a49e08ddc   18 of  68   androidx/work/Configuration$Builder
3f51dac76a9a3314    2 of   5   androidx/appcompat/widget/ActionMenuView$LayoutParams
54d4b169aa10de6f    1 of   1   kotlinx/coroutines/flow/SharingStarted
8b4e3be4c7fd6836    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
958d9d1a847d7841    3 of  12   androidx/compose/ui/platform/InspectableValueKt
5f10f9cc10ddaf9d    2 of 120   com/google/android/material/drawable/DrawableUtils
8d5dc320e19aaf37    5 of   5   androidx/work/impl/WorkManagerImplExtKt$WorkManagerImpl$1
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
3ae118fd5e65804e   41 of  88   kotlinx/coroutines/DispatchedTaskKt
09738159d9f3279b    4 of   5   androidx/compose/ui/text/style/TextMotion$Linearity$Companion
53bbccf3d3d76e24    2 of  16   androidx/compose/ui/unit/fontscaling/FontScaleConverterTable$Companion
593abb2a7f1a215b    3 of   3   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$DBRefHolder
e36447068ba857d7    4 of   4   androidx/compose/ui/graphics/TransformOriginKt
81f4320531104a4f    4 of  21   androidx/compose/runtime/StaticValueHolder
2d0629bd9a58aca0    2 of  13   kotlin/UnsafeLazyImpl
636301628f79bfe4    9 of  70   okio/ByteString$Companion
656ed771b6f8c56a    4 of  35   kotlin/jvm/internal/PropertyReference
a4f45ca68bfce819    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
b53d798f9cb23beb   12 of  45   androidx/compose/ui/text/input/ImeAction
088641d627d36ef2    2 of   2   androidx/compose/material/ripple/RippleHostView$Companion
67eeb946bd9a659c    2 of   2   org/breezyweather/main/MainActivityViewModel$Companion
172d17236f3df4b0   15 of  34   androidx/work/impl/utils/PackageManagerHelper
fb05abf7274bb81e   10 of  26   androidx/compose/ui/BiasAlignment
ec757d7d133abb0b   18 of  19   androidx/compose/material3/tokens/TypographyKeyTokens
d7a02be151d66a85    1 of   3   androidx/compose/ui/platform/AndroidTextToolbar$textActionModeCallback$1
c163d21e6ab124e0    1 of   1   io/requery/android/database/sqlite/SQLiteSession$Transaction
8e68e9d484965d7f    2 of   2   kotlin/collections/AbstractMutableSet
1b4b2f9434239a33   11 of  31   androidx/compose/ui/unit/IntSize
c705d9bef94a7ead    3 of  47   kotlinx/coroutines/flow/internal/SafeCollector
f6b06dc1733e5506    7 of  25   kotlinx/coroutines/JobCancellationException
5698752fe95d4ed2    2 of  32   androidx/core/view/LayoutInflaterCompat
140eed1cb1dd5731    6 of   8   androidx/compose/runtime/InvalidationResult
0ba13a957cb16ade    9 of  16   androidx/compose/foundation/layout/ExcludeInsets
2f52c4013f0cb79f    1 of   2   androidx/coordinatorlayout/R$styleable
55afa0a79a19e1f5    2 of   3   androidx/compose/runtime/RecomposeScopeImplKt
7eac396a517c2fc6    7 of  10   androidx/compose/ui/input/pointer/PointerIcon$Companion
539d1607ef27ffaf    4 of  66   androidx/loader/app/LoaderManagerImpl
b560851becad579e    6 of  12   org/breezyweather/main/fragments/HomeFragment$initView$6
7a8ff679868085e1   19 of  44   androidx/compose/foundation/shape/RoundedCornerShape
c784e2a56e05a729    2 of   2   androidx/compose/runtime/ScopeInvalidated
18299a7936998248  120 of 234   androidx/compose/ui/graphics/layer/GraphicsLayerV23
eef99d17ef18dfe2    1 of   2   org/breezyweather/settings/activities/WorkerInfoViewModel_HiltModules$KeyModule
3bcfa0a32d06130e    2 of   2   org/breezyweather/sources/china/ChinaService$Companion
ffcb5cd392e1f7f8   42 of 113   androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams
dd88ed6889d3dfcf    1 of   1   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$APPLICATION_KEY$1
15d86f825e752078    1 of   3   androidx/work/impl/AutoMigration_19_20
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
34859ee3bb593a83    2 of   2   org/breezyweather/sources/mf/MfService$Companion
6896766a1a0b33ed    9 of  19   androidx/compose/runtime/SnapshotStateKt__SnapshotFlowKt$collectAsState$1$1
ac3cdd1f4f3db005    2 of   4   androidx/compose/ui/semantics/SemanticsProperties$TestTag$1
6895d10f4afb3840    6 of  36   androidx/compose/runtime/CompositionKt
a22e6f8c4fa8214e   13 of 244   org/breezyweather/sources/mf/MfService
