[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1245cd9c0c07f449    1 of   4   androidx/appcompat/widget/ActionMenuPresenter$ActionMenuPopupCallback
e5991b33225b0108    1 of   1   kotlinx/coroutines/CancelHandlerBase
db3f90b32186eeb3    2 of   3   kotlinx/coroutines/flow/internal/SafeCollectorKt
efcb294394af3ef5    3 of  13   androidx/core/view/WindowCompat
4b3b0a6df4f4104f    1 of   6   com/orgzly/android/db/OrgzlyDatabase$Companion$MIGRATION_153_154$1
3a5a01100f79ff5c    3 of   4   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
da75c134b6930d9e    8 of   9   androidx/work/impl/WorkerWrapper$Builder
6361ace24f3a03f1    4 of   5   com/orgzly/org/datetime/OrgDelay$Type
ef21c53981947ff3   15 of  76   androidx/room/EntityInsertionAdapter
a9b7e052b4a3e1cc    1 of   1   kotlinx/coroutines/CompletionHandlerBase
edc5b80732abd88b    1 of   2   androidx/dynamicanimation/animation/FloatPropertyCompat
151634939b439fb9    2 of  36   kotlinx/coroutines/AbstractTimeSourceKt
e2c33cbfbb87d6a1    1 of   7   androidx/appcompat/widget/Toolbar$SavedState$1
2413c0536cad6834    3 of  19   com/orgzly/android/prefs/TimePreference
5da9b439bcd8372b    3 of  43   androidx/sqlite/db/SupportSQLiteOpenHelper$Callback
3e8ccf4c213080ab    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuTextItem
0d51b6637c17ebda    1 of   4   com/google/android/material/internal/StateListAnimator$1
8edb40666c3c7081    4 of   6   org/mozilla/universalchardet/prober/CharsetProber$ProbingState
afc85c0e8ef32079   87 of 180   org/joda/time/chrono/BasicChronology
4a3d345720d8e44e    2 of   2   com/orgzly/android/reminders/RemindersBroadcastReceiver$Companion
6c74cefd35d3d1a7    7 of  18   androidx/constraintlayout/core/Pools$SimplePool
27425fade39d8f87    3 of  20   com/orgzly/android/ui/views/richtext/RichText$Listeners
bf87c78f804b33b0   33 of  91   kotlinx/coroutines/DispatchedTask
bd1dcf52745f14d8    2 of   2   androidx/fragment/app/FragmentManager$4
04e8bac565ec5a0c    2 of   3   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration
9e42b92c69ade2fe   36 of  70   androidx/recyclerview/widget/RecyclerView$RecycledViewPool
bdae20baf385cef3    1 of   8   com/orgzly/android/ui/books/BooksAdapter$onBindViewHolder$1$10
e84b29ef80ae80c1    5 of   6   com/orgzly/android/db/dao/BookDao
5f835749222c18ff    6 of  51   androidx/dynamicanimation/animation/SpringAnimation
4d1a9cd0ec91cbfe   13 of 117   androidx/core/graphics/drawable/DrawableCompat
5659bc47db351b0b    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
d6db8b4554cf5c71   91 of 217   com/orgzly/android/ui/notes/query/search/SearchFragment
26b9143dfc1fc298    5 of   5   com/google/android/material/shape/MaterialShapeDrawable$1
f7b25596b685d3b4    7 of  17   com/orgzly/android/ui/notes/NoteItemViewHolder
473811538d2ca14f    7 of  10   kotlinx/coroutines/ThreadLocalEventLoop
63a8181af28bbcbe    5 of   8   com/orgzly/android/ui/notes/query/search/SearchFragment$WhenMappings
39daa24c4ac51716    1 of   2   androidx/fragment/app/FragmentManager$8
aa969cbe4e66f5ac    5 of  17   com/orgzly/android/query/Options
da22e826d7055546    1 of   6   androidx/activity/ComponentActivity$1
f914a1bdaf0afeba    7 of  32   androidx/appcompat/app/AlertDialog
9211938b1ed7d24a    2 of   2   org/mozilla/universalchardet/prober/sequence/Win1251Model
009c4f4773580cd0    1 of  47   org/mozilla/universalchardet/prober/CharsetProber
89709f2d067624a2   30 of  68   com/orgzly/android/ui/sync/SyncFragment
e7ef18ec9d3356c4    3 of   3   org/mozilla/universalchardet/prober/statemachine/Big5SMModel
5c7c7c14d8d77233    3 of   4   androidx/fragment/app/FragmentStateManager$1
faa448e727c4b754   11 of 1062   kotlin/sequences/SequencesKt___SequencesKt
0ad1fb81efbdcad3    4 of  19   kotlinx/coroutines/internal/MainDispatchersKt
2014d2027f8d01a0    4 of   4   com/google/android/material/progressindicator/DrawableWithAnimatedVisibilityChange$2
43780e10c82817f2    1 of   3   com/orgzly/android/db/PreRoomMigration$MIGRATION_136_137$1
a50e0c22d7858728    2 of  14   org/joda/time/convert/ReadablePartialConverter
945ee923e0a71bf9    4 of  12   androidx/work/ListenableWorker$Result$Success
989de9156d16e28d   13 of  29   com/google/android/material/appbar/AppBarLayout$LayoutParams
539d1607ef27ffaf    4 of  66   androidx/loader/app/LoaderManagerImpl
d20f372feaf82a8e  168 of 272   com/google/android/material/navigation/NavigationView
b4874a80f81f5161    2 of  38   kotlin/collections/AbstractList$Companion
e7c70ef67de3a629    2 of  26   androidx/core/widget/CheckedTextViewCompat
bfe82e18f5a40217    3 of  65   com/google/android/material/internal/ToolbarUtils
55c24df7c17c3146   14 of  31   com/orgzly/android/reminders/RemindersBroadcastReceiver$onReceive$1
9462becba3d35bd2   21 of  24   com/orgzly/android/App
753936b85beada84   75 of 119   kotlin/jvm/internal/ClassReference
afad1b15d77acbac    1 of   9   com/orgzly/android/ui/books/BooksAdapter$Companion$DIFF_CALLBACK$1
ffcb5cd392e1f7f8   41 of 113   androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams
d3c8011f7e370f3e    4 of 125   androidx/recyclerview/widget/RecyclerView$ViewFlinger
03a251eff7e0adaa   27 of  71   androidx/room/RoomOpenHelper
4cef3d0537228ddd    8 of  94   androidx/recyclerview/widget/OpReorderer
b68e36964ecf08cf   15 of  45   androidx/preference/SwitchPreference
2556b6af9bc4b6ab    2 of   2   com/orgzly/android/ui/drawer/DrawerNavigationView$Companion
3ac704bd8860f433   13 of  35   com/orgzly/android/usecase/UseCaseWorker
d40198e1ae85aed0    2 of   4   org/mozilla/universalchardet/prober/distributionanalysis/EUCKRDistributionAnalysis
242ae62c3f71c04b    7 of 124   com/orgzly/android/db/dao/DbRepoBookDao_Impl
5e1b8e27e4d70218    3 of  36   kotlin/jvm/internal/FunctionReference
9ca1b388b32baa6e    4 of   5   androidx/recyclerview/widget/RecyclerView$2
2cac496896762179    2 of   2   androidx/work/impl/model/WorkProgressDao_Impl$2
ea4a4681aa401077   26 of  87   com/orgzly/android/ui/DisplayManager
4503c46d226df84c   12 of  83   com/google/android/material/floatingactionbutton/FloatingActionButton$BaseBehavior
