[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Notes-_1.7.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1f218dfaf3f62182   10 of  12   org/fossify/commons/helpers/AppLockManager$Companion
3697ac007206c024    1 of  80   androidx/savedstate/SavedStateWriter
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
b6c23595800653e8    9 of  16   androidx/lifecycle/Lifecycle$Event$WhenMappings
d5f2c85934776967    2 of   5   androidx/core/view/GravityCompat
f307b250dd5084c5   16 of  29   androidx/core/view/WindowCompat
e0e62aafe795fd18    1 of   1   androidx/fragment/app/Fragment$AnimationInfo
69572dd5c24fa600   41 of 107   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
91278e68fc2393a2   82 of 265   androidx/room/TriggerBasedInvalidationTracker
90003fb490223759    6 of  11   kotlin/LazyKt__LazyJVMKt
9fd3ec392b5d0061   25 of  87   androidx/navigationevent/NavigationEventHandler
8ef4c5f824be9764    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
3f39e153585abee7    2 of  11   androidx/savedstate/ViewTreeSavedStateRegistryOwner
d8a938adb86b98b8    2 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
fe5faf93f09f7188    1 of   2   kotlinx/coroutines/StandaloneCoroutine
fe06df07a332baef    7 of   7   androidx/savedstate/SavedStateRegistryController$Companion
2692e899c70a79dc   33 of 1508   org/fossify/commons/extensions/ActivityKt
4151864901b8fe7e    6 of  10   kotlinx/coroutines/CoroutineStart$WhenMappings
360e5bf82f12da00    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
a9d7f26d42b911e7    4 of  17   androidx/viewpager/widget/PagerTitleStrip$PageListener
cdb7890971d6c58e    6 of  21   kotlinx/coroutines/JobImpl
65a14d900f9af74c   69 of 142   org/fossify/commons/activities/EdgeToEdgeActivity
189d1e841728c1de   43 of 318   androidx/appcompat/widget/ActionMenuView
f450e6b41b0da118   47 of 937   kotlin/text/StringsKt__StringsKt
45dd8a866ff5405c    2 of   2   androidx/room/InvalidationTracker$Companion
954c39f59db9f1f6   77 of 790   kotlinx/coroutines/JobSupport
f4a4e9230a4edf31    2 of  13   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement$Companion
7ed8d0ce1049d6a6    1 of   1   androidx/savedstate/internal/SynchronizedObject
cb813a4647236e1e    6 of  10   androidx/fragment/app/FragmentStateManager$2
3933f4d494d1f1cd   47 of 868   org/fossify/commons/activities/BaseSimpleActivity
81b56065669de64e    2 of   5   org/fossify/commons/extensions/EditTextKt$onTextChangeListener$1
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
d7f34367281c458d  109 of 283   androidx/navigationevent/NavigationEventProcessor
62cb590dc20698c7    4 of   4   org/fossify/notes/models/NoteTypeConverter
9a299f2999d9f5d1   54 of 793   androidx/core/view/ViewCompat
ffe2f14069707edb    7 of  12   androidx/sqlite/driver/SupportSQLiteStatement$TransactionSQLiteStatement$WhenMappings
