[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Droid-ify-_v0.7.6-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
0c07e53a0b7e623b    1 of   2   androidx/appcompat/widget/TooltipCompat$Api26Impl
c60a35aa6df97e20    8 of  59   androidx/recyclerview/widget/SimpleItemAnimator
69bb0e8ab7df5094    1 of   2   androidx/arch/core/executor/DefaultTaskExecutor$Api28Impl
8a52195ce2228150    2 of   3   okhttp3/internal/connection/RealCall$CallReference
2f1ec07ab6cfa9d5    2 of  18   androidx/work/impl/utils/WorkProgressUpdater
764bb42d0382b19b    1 of  15   com/google/android/material/shape/RelativeCornerSize
9c67dfd42c7c7fb0    9 of  22   kotlin/internal/ProgressionUtilKt
349540626db5193d    3 of   3   kotlin/sequences/DistinctSequence
cf1d27d7b4ff7cb4    2 of  26   com/google/android/material/appbar/AppBarLayout$BaseBehavior$SavedState
2606b280690acd0d    5 of   5   com/looker/droidify/index/RepositoryUpdater$transformProduct$$inlined$sortedByDescending$1
2ad685ed5a96952e   80 of 308   com/google/android/material/progressindicator/BaseProgressIndicator
3899c3311e9a25b1    6 of  50   androidx/core/view/WindowInsetsCompat$Impl
11547f9a2b14455c    1 of   5   kotlin/TuplesKt
7ae0aef91f587bc9    2 of  13   androidx/recyclerview/widget/RecyclerView$4
c4aa43f20da03a72   99 of 1802   kotlin/collections/CollectionsKt___CollectionsKt
a99eae9bcc1bab93   13 of  17   com/looker/droidify/database/Database$RepositoryAdapter$getEnabled$2
5c8a5102ab467640   12 of  70   okio/ByteString$Companion
a8fb22d2f3b3e915   10 of  15   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement$ensureCursor$1
dcdfb7476bff90e8    8 of  14   androidx/core/view/WindowInsetsCompat$TypeImpl30
48a5d8ebf4fd9427    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
62a1ade9dfe8c038    2 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
2293ac5a49e8d7b9    1 of   3   androidx/core/app/NotificationCompatBuilder$Api31Impl
80f3515f2e268f13   20 of  20   com/looker/droidify/database/QueryBuilder$Companion
4a3bbfce5b5dae31   17 of 148   com/fasterxml/jackson/core/base/GeneratorBase
60aa95ca43c5a63f    3 of   5   androidx/work/OneTimeWorkRequest
b97c00ca796a8047    1 of   2   dagger/hilt/internal/UnsafeCasts
e0a8483d5a3ec230    8 of   9   com/looker/droidify/installer/InstallManager$invoke$2
80b3a81dd3c26bcc   21 of 204   androidx/collection/SparseArrayCompat
28e2e60e98dd7692  204 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
892e61a172c92ae0    1 of   1   kotlinx/coroutines/internal/ThreadLocalKt
f59b268f2183023d    3 of   4   androidx/fragment/app/FragmentStateManager$1
3601d973371d88c4    1 of  16   com/looker/droidify/ui/appList/AppListViewModel$special$$inlined$flatMapLatest$1
b51f73a7d16c4778    1 of   2   androidx/room/TriggerBasedInvalidationTracker$createFlow$1$2$emit$1
f9aa2d7a9d30094f    1 of  10   com/google/android/material/floatingactionbutton/ExtendedFloatingActionButton$2
26293e96f620fe2f    1 of   3   com/google/android/material/progressindicator/BaseProgressIndicator$3
c34f355fd1ffe759    8 of  14   com/looker/droidify/MainActivity$collectChange$$inlined$get$1$2
b6c23595800653e8    9 of  16   androidx/lifecycle/Lifecycle$Event$WhenMappings
325493bf7d6f1c3e    2 of 258   com/google/common/base/Preconditions
76e08a9e2227bee3    1 of  15   kotlinx/coroutines/DebugStringsKt
07485cc3680a933a    1 of   2   kotlinx/coroutines/flow/FlowKt__LimitKt$dropWhile$1$1$emit$1
d5f2c85934776967    2 of   5   androidx/core/view/GravityCompat
36245aa1b8409479    1 of   5   com/looker/droidify/MainActivity_MembersInjector
1b7a88c1af456c42    4 of  11   androidx/core/view/PointerIconCompat
fcffa2fa2152dfea    6 of  30   kotlinx/coroutines/JobKt
16d2bb31a9669445    5 of  10   androidx/datastore/preferences/protobuf/ListFieldSchemas
58ca1df5ae0b3bf4    3 of   3   com/looker/droidify/DaggerDroidify_HiltComponents_SingletonC$SingletonCImpl$SwitchingProvider$2
69572dd5c24fa600   41 of 107   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
7b15e6038c60d1bb    8 of  13   kotlinx/coroutines/flow/FlowKt__ZipKt$combine$$inlined$combineUnsafe$FlowKt__ZipKt$1$2
dd572bbe729ca4bb    1 of  32   com/fasterxml/jackson/core/TokenStreamFactory
91278e68fc2393a2  133 of 265   androidx/room/TriggerBasedInvalidationTracker
080c10a8d47cbc16    2 of  28   androidx/work/impl/constraints/trackers/BatteryNotLowTracker
50ee9b4cb55f7e29    2 of   6   androidx/datastore/preferences/protobuf/ByteString$LeafByteString
f2bb5b3756dacf82    4 of  17   com/fasterxml/jackson/core/StreamWriteConstraints
d8a938adb86b98b8    3 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
818e8505dd9d49cc    3 of   7   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker
5c57cbd05184e6df   16 of  37   kotlinx/coroutines/channels/ChannelCoroutine
107a04d57096f4e6  123 of 347   okhttp3/internal/http2/Http2Connection
033c59bbcbb2e1d4    2 of  17   androidx/activity/result/ActivityResultRegistry$register$2
11dd44bcfbd0ce50    2 of   2   androidx/datastore/core/UpdatingDataContextElement$Companion$Key
191f4bf59273d078    1 of  21   com/google/android/material/floatingactionbutton/ExtendedFloatingActionButton$4
e32d196195363f98    2 of  39   androidx/core/view/DifferentialMotionFlingController
5b1fba84549385ec    7 of  14   androidx/datastore/core/UpdatingDataContextElement
d42384f41bb5bb85    8 of  18   androidx/loader/content/AsyncTaskLoader$LoadTask
cb0f51b230473a10    3 of   4   okhttp3/internal/http2/Http2Connection$Listener
8ab646412f70136c   63 of 113   kotlinx/serialization/json/internal/ReaderJsonLexer
8b0b1c6b8c849b0a    3 of   7   com/looker/droidify/database/Database$Subject$Products
189d1e841728c1de   41 of 318   androidx/appcompat/widget/ActionMenuView
45dd8a866ff5405c    2 of   2   androidx/room/InvalidationTracker$Companion
a3a8c1b86e0dccef   11 of 115   okio/Timeout
01ad2daaab5c87ae    9 of  13   androidx/datastore/preferences/core/PreferenceDataStore$updateData$2
110dc9a21c9f24c5   14 of  48   okhttp3/Headers
e15b0d4052e7ae0b    6 of  39   kotlinx/coroutines/flow/StateFlowKt
2eee4d879381901f   51 of 167   com/google/android/material/floatingactionbutton/ExtendedFloatingActionButton
68eaa115f76c8e6b    5 of  32   kotlinx/coroutines/intrinsics/CancellableKt
64272a87479889c0    4 of   7   com/looker/droidify/JacocoInstrument/SMSInstrumentedReceiver
af19f718f50ebdf1   25 of  82   com/looker/droidify/installer/InstallManager
e0a89095e6ce67f1   17 of  35   androidx/datastore/core/DataStoreImpl$InitDataStore$doRun$initData$1$api$1
2f260f332bb99aae    6 of  44   androidx/work/impl/constraints/trackers/ConstraintTracker
2f979dce0701f45a    8 of  10   androidx/recyclerview/widget/ViewInfoStore$InfoRecord
52fa0f64cb5a07c7   10 of  15   com/looker/droidify/utility/common/extension/ViewKt$firstItemPosition$1
f4185f05c9b913a7   16 of  47   okhttp3/Headers$Builder
91246edb392d37d6    2 of   2   kotlinx/coroutines/flow/internal/CombineKt$combineInternal$2$1$1$emit$1
b603cd8ea4174e9f   31 of 177   okhttp3/internal/idn/Punycode
a7bb36f90c7a3c3e    9 of  30   kotlinx/coroutines/CoroutineScopeKt
0295ef5f7d54f198    2 of   4   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$broadcastReceiver$1
95f6fd0f3ad74322    2 of   2   androidx/datastore/core/UnInitialized
685b083ff253833a    1 of   9   com/looker/droidify/MainActivity$collectChange$2$1
ef5202fac46c18ca    3 of  15   kotlin/collections/EmptyIterator
85ca33fd03037424   27 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
4620a6100c5e4d77   38 of  83   androidx/work/impl/background/systemjob/SystemJobInfoConverter
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
80adf9bb4918112e   25 of  70   com/fasterxml/jackson/core/json/JsonWriteContext
150e3e3e7a96e087    7 of  12   androidx/work/impl/background/systemjob/SystemJobInfoConverter$1
6c5da7a8e02d2afe    4 of   6   kotlinx/serialization/json/JsonImpl
595a534fad2ca61e    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
e8c268b05098b1cd   10 of  10   com/google/android/material/shape/ShapePath$PathLineOperation
4ef060c7ae34c12b   37 of  75   androidx/work/impl/background/systemjob/SystemJobService
ed1d81202a7d0769    3 of   4   androidx/fragment/app/strictmode/WrongFragmentContainerViolation
32b2d4ba498d0ea9    2 of  18   com/google/android/material/floatingactionbutton/ExtendedFloatingActionButton$HideStrategy
21b8670db5f85275    7 of   8   kotlinx/coroutines/flow/internal/FusibleFlow$DefaultImpls
82bdf917ab2f91bd    2 of  11   androidx/lifecycle/ViewTreeViewModelStoreOwner
d4e3fa20d893c769    3 of  68   com/fasterxml/jackson/core/io/SerializedString
d814c3087f3db51d    2 of  74   com/google/common/collect/ImmutableSet
00b6565d566ec1b9    1 of   9   androidx/customview/view/AbsSavedState$2
721c92bdcabccb21    1 of   1   androidx/loader/content/ModernAsyncTask$AsyncTaskResult
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
6835b5e522e78e08    8 of   9   com/looker/droidify/ui/ScreenFragment
8956391538850986   13 of  21   com/looker/droidify/data/local/model/RBData
67c48fef4f77361d    4 of   5   kotlinx/coroutines/flow/FlowKt__BuildersKt$flowOf$$inlined$unsafeFlow$2
589688b10b479a22    7 of  93   androidx/recyclerview/widget/PagerSnapHelper
0a6872e7071d1ed4    2 of   2   kotlin/text/LinesIterator$State
6b3e85942b0754eb    5 of   6   kotlinx/coroutines/flow/FlowKt__LimitKt$dropWhile$$inlined$unsafeFlow$1
c9dcafe19bac7cd6    3 of  24   kotlin/collections/builders/MapBuilderEntries
2da61c4a8e323e97    1 of   2   androidx/datastore/core/FileStorageConnection$readScope$1
05149d8da58a3c5e    2 of   2   okhttp3/internal/http2/Settings$Companion
6001310f01ed21ad    2 of   7   kotlin/coroutines/jvm/internal/CompletedContinuation
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
17ebe36b3cccc91e    7 of  41   kotlinx/coroutines/internal/InlineList
