[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Vanilla-Music-_1.3.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5dd15e349c4232f4   72 of 703   com/mobeta/android/dslv/DragSortListView
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
e64277f9101ce7f1    1 of   5   android/support/v4/media/session/PlaybackStateCompat$1
1007d2e6cd9a2e23   56 of 217   ch/blinkenlights/android/vanilla/MediaAdapter
65b5ffdb249391a2    1 of   1   ch/blinkenlights/android/medialibrary/MediaLibrary$Preferences
7def1dc6de654b2c    1 of   2   androidx/arch/core/executor/ArchTaskExecutor$2
f80c4c45d30f8227    1 of   1   androidx/viewpager/widget/ViewPager$ItemInfo
ab7594b200563ff0    1 of   1   android/support/v4/media/session/MediaSessionCompat$1
87f54bb387101934   57 of 110   ch/blinkenlights/android/vanilla/BottomBarControls
5d4d96390fc7fdd0    2 of   4   androidx/lifecycle/LifecycleDispatcher$DispatcherActivityCallback
1fbc2404c007d7dc    9 of  16   androidx/lifecycle/FullLifecycleObserverAdapter$1
3d287a0941040342    2 of   3   ch/blinkenlights/android/vanilla/PrefDefaults
9a47308ea20d36ae    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig
78f849e66498b6ed   42 of 159   androidx/emoji2/text/EmojiCompat
9d8530dee7247e0f    8 of  11   androidx/core/app/CoreComponentFactory
72a6ede657f942c9    6 of   6   ch/blinkenlights/android/vanilla/PlaybackService$1
a5e4d2c454723522    3 of  54   ch/blinkenlights/android/vanilla/FourLongWidget
3a7c0d2b7a49d66f   15 of 372   ch/blinkenlights/android/vanilla/SongTimeline
23bb38b10053fc2a    2 of  18   androidx/viewpager/widget/ViewPager$4
63a147e72ca05d93    2 of 296   android/support/v4/media/session/IMediaSession$Stub
dc47510e24a80194    3 of  91   junit/framework/Assert
b6d16a4ed22337cb    5 of   8   androidx/lifecycle/EmptyActivityLifecycleCallbacks
bd863289ee8da3fa    4 of  38   ch/blinkenlights/android/vanilla/ReadaheadThread
fd005822780ae652   10 of  15   androidx/lifecycle/ReportFragment$LifecycleCallbacks
70bf6facdfec9f84   19 of  24   ch/blinkenlights/android/vanilla/Action
8517f82b62125855    9 of  37   ch/blinkenlights/android/vanilla/ScheduledLibraryUpdate
10fd196083ce4d2f   13 of 152   com/mobeta/android/dslv/DragSortController
843693fc02557de0    6 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
02fb696625f73eef   11 of  24   ch/blinkenlights/android/medialibrary/MediaScanner$MediaScanPlan
b3cde2cb4742f5c2    1 of   2   ch/blinkenlights/android/vanilla/PlaylistObserver$Database
774aff2c2a12cef3   99 of 323   ch/blinkenlights/android/vanilla/LibraryPagerAdapter
b8b1870e76a0a597    4 of   5   ch/blinkenlights/android/vanilla/SharedPrefHelper
a37c0e3fd01e00d5    1 of   1   ch/blinkenlights/android/medialibrary/MediaScanner$MediaScanPlan$Step
a473bc27a6af1272    1 of  13   androidx/core/view/ViewCompat$Api21Impl$1
93bed50f9db6dd8e    1 of   7   ch/blinkenlights/android/vanilla/MediaSessionTracker$1
b1217952236a8592    1 of  51   com/mobeta/android/dslv/DragSortListView$DragScroller
dbc7962cb6036e64   15 of  31   androidx/lifecycle/Lifecycle$Event
932b9eeabdf385be    7 of  10   androidx/emoji2/text/ConcurrencyHelpers
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
405f6ba2fb8796f7    1 of   5   androidx/viewpager/widget/ViewPager$LayoutParams
a0ad934393dfd2bf    5 of   7   androidx/emoji2/text/EmojiCompatInitializer$LoadEmojiCompatRunnable
cf225bc7346f9f04   19 of  79   ch/blinkenlights/android/medialibrary/MediaSchema
4f3716909a8535ad    2 of   2   androidx/emoji2/text/EmojiCompatInitializer$BackgroundDefaultConfig
6537dd1cff08dcac   10 of  34   android/support/iosched/tabs/SlidingTabLayout$InternalViewPagerListener
896bffbcb130b468   57 of 296   ch/blinkenlights/android/medialibrary/MediaScanner
79195bf2c8f12c89   13 of  14   androidx/emoji2/text/EmojiCompatInitializer
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
ff3afa9a6ec59ff1    3 of  55   ch/blinkenlights/android/vanilla/WidgetE
e2ea0428be97d0c2   29 of  51   androidx/lifecycle/ReportFragment
a1fdb955062e731f    2 of   3   com/mobeta/android/dslv/DragSortListView$AdapterWrapper$1
63dffb1dd4388463    1 of  70   android/support/v4/media/session/MediaSessionCompat$MediaSessionImplApi21$ExtraSession
8db84235c321ed0e   37 of 126   androidx/core/content/FileProvider
ceec65d9bcb6d421    4 of  16   androidx/emoji2/text/DefaultGlyphChecker
c984895b64df58a4   13 of  29   ch/blinkenlights/android/vanilla/ThemeHelper
7c52580e35f5440c    1 of   2   androidx/emoji2/text/ConcurrencyHelpers$Handler28Impl
d6adb7e5b22b7ac4   52 of  78   android/support/iosched/tabs/SlidingTabLayout
bd0545cac273091b    2 of  15   android/support/v4/media/session/MediaSessionCompat$Callback$CallbackHandler
9fdc472ad8c61f98    4 of  28   androidx/emoji2/text/EmojiCompat$Config
ebcfff0a7a2d6542    6 of  13   androidx/lifecycle/FullLifecycleObserverAdapter
702f819080620177   12 of  53   ch/blinkenlights/android/vanilla/JacocoInstrument/JacocoInstrumentation
9ea0468af1f4a472   78 of 432   ch/blinkenlights/android/vanilla/LibraryActivity
dbc240777cc48cdc    1 of   8   androidx/emoji2/text/EmojiCompat$CompatInternal
61cae917d6e88598    1 of   1   ch/blinkenlights/android/medialibrary/MediaLibrary$ScanProgress
96936be7c900b7da    3 of   3   androidx/emoji2/text/EmojiCompatInitializer$1
fa84a5e8d680005d   18 of  52   ch/blinkenlights/android/vanilla/LazyCoverView
3ffc32eea32f398f   13 of  20   androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions
5709f71d1183bd25    3 of  48   ch/blinkenlights/android/vanilla/FourSquareWidget
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
b63b48577c81e05b    2 of   8   android/support/iosched/tabs/SlidingTabLayout$TabClickListener
eb28f6835de64cfa    2 of  10   ch/blinkenlights/android/vanilla/PlaybackService$Receiver
90132c60e787144d    7 of  11   androidx/lifecycle/Lifecycle$State
f622755583ae0062    2 of  20   androidx/core/view/ViewCompat$Api16Impl
cb7ff788c726616d    6 of  12   ch/blinkenlights/android/vanilla/SlidingView$AnimationListener
9272d73b6d735387    8 of 219   androidx/collection/ArraySet
1464d93b2b694a88    2 of  36   ch/blinkenlights/android/vanilla/BastpUtil
f23562798771c282    2 of   2   androidx/lifecycle/Lifecycle
0b11eb4c7a6113fc    1 of  34   androidx/viewpager/widget/ViewPager$MyAccessibilityDelegate
238c38b27d3074cc    2 of   3   androidx/core/os/TraceCompat$Api18Impl
8a89519ec872a3a6  169 of 934   ch/blinkenlights/android/vanilla/PlaybackService
026b7561cefb2d32   21 of 143   android/support/v4/media/session/MediaSessionCompat$MediaSessionImplApi21
79f8eeb4ea3587bd   11 of  15   ch/blinkenlights/android/vanilla/VanillaImageButton
dca3c1c955c89b67    7 of  34   ch/blinkenlights/android/vanilla/VanillaMediaPlayer
793acbb8d5210b66    4 of   7   ch/blinkenlights/android/vanilla/JacocoInstrument/SMSInstrumentedReceiver
c01015e36e8d5db9    1 of   2   ch/blinkenlights/android/medialibrary/LibraryObserver
15ba77cfa4ae4c1c    1 of  15   ch/blinkenlights/android/vanilla/FastScrollGuardedListView
18bfcce155c2c154   17 of  73   androidx/arch/core/internal/SafeIterableMap
d255860ce7c01753    4 of   7   com/mobeta/android/dslv/DragSortListView$2
7a6ee69855a7ce9a    6 of  20   android/support/v4/media/session/PlaybackStateCompat$Builder
55f959fbaea5016c    2 of   2   ch/blinkenlights/android/vanilla/QueryTask
364e51361becfe59   28 of  89   ch/blinkenlights/android/vanilla/ShowQueueFragment
6111a1ece18c06bc   37 of 226   ch/blinkenlights/android/vanilla/PlaylistObserver
16aba72c9ef43cbd    6 of   9   ch/blinkenlights/android/vanilla/ShowQueueFragment$1
5bafbd453340fa79    1 of   3   ch/blinkenlights/android/vanilla/LazyCoverView$BitmapLruCache
1f61c83698d02f53   65 of 125   ch/blinkenlights/android/vanilla/SlidingView
a8c62f0e5973496f    2 of  62   com/mobeta/android/dslv/DragSortListView$RemoveAnimator
f902cdb576684408   15 of  36   ch/blinkenlights/android/vanilla/MediaSessionTracker
0a0803196e85194e    4 of  95   android/support/v4/media/session/MediaControllerCompat
33b044aa84bd607a    1 of   2   com/mobeta/android/dslv/DragSortListView$1
cf468517b8ba0734   22 of  37   androidx/lifecycle/ProcessLifecycleOwner
7410ec982bebf382    5 of   8   androidx/lifecycle/ProcessLifecycleOwner$3
5f5e4469674f4a9c    8 of  94   android/support/v4/media/session/MediaSessionCompat$Callback
a2c89fe4089df654   64 of 235   ch/blinkenlights/android/medialibrary/MediaLibrary
6491f5f69ac6ec49    2 of   2   ch/blinkenlights/android/vanilla/BastpUtil$RGLruCache
2b3221dd54e71ae0    4 of  11   ch/blinkenlights/android/vanilla/PlaylistObserver$1
f0af992f8c2cb346    1 of   2   androidx/viewpager/widget/ViewPager$2
4305c7ad3dfe27bc    3 of  62   ch/blinkenlights/android/vanilla/FourWhiteWidget
1a2640df8ef03ce4    1 of   1   ch/blinkenlights/android/vanilla/ViewHolder
17e190caaddbc91e   47 of 205   ch/blinkenlights/android/vanilla/PlaybackActivity
ef7dba7d6fc13c2f    1 of   6   android/support/v4/media/session/MediaSessionCompat$MediaSessionImplApi28
dd47be563cde8920    3 of   5   androidx/lifecycle/LifecycleDispatcher
