[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Cofi-_v1.21.5-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
fb1a32aa1804511f    5 of  28   androidx/compose/ui/graphics/vector/PathNode$RelativeReflectiveCurveTo
8649ecac4944c30d    1 of   1   androidx/compose/foundation/layout/WindowInsets
5e388fc42d20fc71   11 of  13   androidx/compose/foundation/lazy/LazyListMeasureKt$measureLazyList$8
4ab2c593920add99    1 of   6   androidx/compose/ui/node/LayoutNode$Companion$DummyViewConfiguration$1
c0f86e69f05c5e7e    4 of   4   androidx/compose/runtime/snapshots/SnapshotKt$mergedReadObserver$1
1ed6c17c675b1847   11 of  36   androidx/compose/ui/text/platform/AndroidParagraphIntrinsics_androidKt
d1481a4bb7c33c77   12 of  13   androidx/compose/runtime/snapshots/StateObjectImpl
c2d497641ee00beb    2 of  27   androidx/compose/runtime/ProduceStateScopeImpl
80ec2eff61be2f10    2 of   2   kotlin/collections/builders/SetBuilder$Companion
d18ebcf80160eca8    2 of  33   androidx/compose/ui/text/SaversKt$AnnotationRangeSaver$1
00ef17488da05ac7   13 of  36   androidx/appcompat/widget/ViewUtils
ff49b6e038a2f1cb   12 of  22   androidx/compose/foundation/lazy/layout/LazyLayoutItemAnimation$animateAppearance$2
36506d1d05453ecf   25 of  55   androidx/compose/ui/text/android/style/LineHeightStyleSpan
d4e34ff3cc92d74a    3 of   6   com/kieronquinn/monetcompat/extensions/Extensions_ContextKt
464475195fb10c27   14 of  24   androidx/compose/ui/layout/LayoutNodeSubcompositionsState$Scope
8323981caa1311e0   13 of  44   com/google/android/gms/wearable/internal/zzjr
8d5dc320e19aaf37    5 of   5   androidx/work/impl/WorkManagerImplExtKt$WorkManagerImpl$1
0528c5b2fc90bcde    7 of  13   kotlinx/coroutines/flow/ChannelFlowBuilder
95b366b3245e378a    7 of   7   androidx/compose/foundation/ClipScrollableContainerKt$VerticalScrollableClipModifier$1
d584767d92ffd1d0    3 of   4   androidx/compose/ui/node/Owner$Companion
124ab0bbf430961e   31 of  90   androidx/compose/ui/geometry/Size
0bb7df4adeefcaf3    1 of  73   androidx/compose/ui/modifier/ModifierLocalModifierNode
4cfab5e340bc9947    4 of   6   androidx/compose/ui/platform/TextToolbarStatus
7c5262bee4047a0b    8 of  20   androidx/compose/runtime/changelist/Operation$EndCompositionScope
e6540e2db05098cd    5 of  41   androidx/work/Logger$LogcatLogger
fc9de3672d44125a    1 of  30   com/google/android/gms/wearable/internal/zzal
7fd8cde255ace772    4 of   4   androidx/compose/animation/core/TransitionKt$updateTransition$1$1
9582e37fd6fc80e4   13 of 160   androidx/collection/MutableIntIntMap
