[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
4721f5a96623a56b    2 of   8   androidx/mediarouter/media/MediaRouteProvider$RouteController
c6c8cdaff8db3adf   40 of  60   com/google/android/gms/internal/cast/zzkt
068c0ebde2ffbb55  179 of 597   androidx/mediarouter/media/MediaRouter$GlobalMediaRouter
5bc28c42cf20939d    4 of   4   com/google/android/datatransport/runtime/scheduling/persistence/SchemaManager$$Lambda$2
bf0928b220bc53e9   13 of  17   com/bumptech/glide/load/ImageHeaderParser$ImageType
a2e543dfc0b327a2    2 of  23   androidx/core/os/LocaleListCompat$Api21Impl
e9dc90ef96f00cc7   12 of  19   okio/SegmentPool
500888137a640a03    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$3
d769364e626bbe77    2 of   4   shark/AndroidObjectInspectors$ACTIVITY
326fd86a1662b56a    2 of   4   shark/AndroidObjectInspectors$VIEW_ROOT_IMPL
405f6ba2fb8796f7    4 of   5   androidx/viewpager/widget/ViewPager$LayoutParams
a9aff1aa36c220b9    9 of  10   com/bumptech/glide/load/resource/bitmap/DownsampleStrategy
d743bd660e2a9bf0    5 of   5   com/bumptech/glide/load/engine/bitmap_recycle/SizeConfigStrategy$KeyPool
fa56cc48b279de1d    4 of  70   androidx/core/app/NotificationChannelCompat
6f0305af6638d64b    1 of   9   com/google/gson/internal/bind/TypeAdapters$20
2e78b3def76482cf   19 of 143   androidx/profileinstaller/DeviceProfileWriter
8d525ddcae4f2790    5 of  19   androidx/recyclerview/widget/RecyclerView$LayoutParams
06bba01045e18e52    2 of   9   shark/AndroidReferenceMatchers$ACCESSIBILITY_NODE_INFO__MORIGINALTEXT$add$1
a6187b724f08b570    3 of   3   leakcanary/DefaultOnHeapAnalyzedListener$Companion
67e5fcbf27b963dd    4 of   9   io/reactivex/rxjava3/internal/operators/maybe/MaybeSubscribeOn$SubscribeOnMaybeObserver
7ae8082bf9f8413e    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/sv
3bdcafca8ac5f44f    5 of  10   free/rm/skytube/businessobjects/Logger
a9dfbf2de6db3d8e   12 of  65   com/google/android/gms/common/api/Status
ed61ee57c201d27d    7 of  13   free/rm/skytube/databinding/VideosGridviewBinding
352274148425e488    1 of   4   shark/AndroidReferenceMatchers$Companion$libraryLeak$1
cece4a0c97280b38    2 of   4   shark/AndroidObjectInspectors$TOAST
f2102465af7a620f    3 of   3   org/ocpsoft/prettytime/units/Century
085e626c0d30525d    1 of   9   androidx/fragment/app/Fragment$9
ecc2d5100e3e58ec    1 of   2   com/google/android/material/appbar/AppBarLayout$1
19e6700578af9e62    1 of   3   shark/AndroidObjectInspectors$OBJECT_ANIMATOR
ca5e64b7e01ba6a5   18 of  31   com/google/android/datatransport/runtime/dagger/internal/DoubleCheck
4ac48d1bbff1a281    2 of  24   shark/KeyedWeakReferenceFinder
6b323a386d4fdfb9    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/pt_PT
fa18cee4b48ffd9e    1 of   3   leakcanary/ServiceWatcher$install$4$1
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
6f516ef6be7e937b    1 of   2   androidx/appcompat/app/AppLocalesStorageHelper$ThreadPerTaskExecutor
f028a84d0fa42f11    2 of  10   io/reactivex/rxjava3/internal/functions/ObjectHelper
b9243380014ec73f    6 of   9   com/github/skytube/components/utils/Column
f9c83a3f946ae92a   10 of  73   leakcanary/AppWatcher$Config
