[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/FirefoxLite-2.1.20-_5085-rebuilt_/coverage.ec.
ebd3efbff89d7485    4 of  61   org/mozilla/focus/provider/HistoryProvider
e3ae9a40f1a4d233    2 of  12   org/mozilla/rocket/msrp/di/MissionModule_ProvideMissionRepoFactory
5200a8e2da289cb6    2 of   6   org/mozilla/rocket/abtesting/LocalAbTesting$isActive$2
b4a49a2e60cc7439    2 of  10   org/mozilla/rocket/content/travel/di/TravelModule_ProvideSetTravelSearchOptionPromptHasShownUseCaseFactory
17db523cd7713417    1 of   5   org/mozilla/focus/widget/DefaultBrowserPreference_MembersInjector
577da39c3e49ae2d    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideGetRecentlyPlayedGameListUseCaseFactory
86845535c55dae69    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelSearchSettingRepositoryFactory
167a0f37486903a1    2 of  22   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelCityViewModelFactory
8ddc14eb6c83d732    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsViewModelFactory
9ebe43ffcd5ff496    2 of  10   org/mozilla/rocket/content/news/di/NewsModule_ProvideShouldShowPersonalizedNewsOnboardingUseCaseFactory
261af3e2b8b31fc1    2 of   2   org/mozilla/focus/widget/DefaultBrowserPreference$Companion
8d8cddf70c99886e   18 of  72   org/mozilla/focus/locale/LocaleManager
0c132892f6f3c6e1    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideGetSearchDescriptionUseCaseFactory
611ba0058a5d19d0    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideSearchCityUseCaseFactory
2236bb865bf3b8d5    2 of  21   org/mozilla/rocket/msrp/di/MissionModule_ProvideMissionDetailViewModelFactory
0f7f6ef2e523d434    6 of  18   org/mozilla/focus/telemetry/TelemetryWrapper$CaptureCountMeasurement
3b538946d9f2df7b    5 of  17   org/mozilla/rocket/di/DaggerAppComponent$Builder
e253d2ad39bb59d8    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideSetUserPreferenceCategoriesUseCaseFactory
7f6172564cfbb352    7 of   7   org/mozilla/rocket/partner/PartnerActivator$Status
c9efa7d1e36315fc    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideLastReadLogoManNotificationUseCaseFactory
6434c673a24d56a9    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideGetAdditonalSourceInfoUseCaseFactory
7e76e0efa042ce78    2 of  10   org/mozilla/rocket/content/news/di/NewsModule_ProvideSetPersonalizedNewsOnboardingHasShownUseCaseFactory
cf843c4eaf851eec    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideShouldShowRecentPlayedOnboardingUseCaseFactory
14229c62912cf3c9    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideMissionLocalDataSourceFactory
b10cf6cc811fa075    4 of   6   org/mozilla/focus/telemetry/TelemetryWrapper$ThemeToyMeasurement
68f696867e97c24b    2 of  10   org/mozilla/rocket/msrp/di/MissionModule_ProvideQuitMissionUseCaseFactory
95fdb56ff1bd5b81   10 of  38   org/mozilla/rocket/persistance/History/HistoryDatabase_Impl
7fac550e5895f899    3 of  15   org/mozilla/focus/widget/TelemetrySwitchPreference
4430b049ebcb131d    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideBookmarkRepositoryFactory
6c689e4f2e21bab7    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideSetUserPreferenceLanguageUseCaseFactory
7e037b2888d3d94a   65 of  96   org/mozilla/focus/search/SearchEngineParser
adc01003cc704305    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideLoadRawNewsLanguagesUseCaseFactory
64fc4b3d11b78ec0    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideIsNeedToShowHomeOnboardingUseCaseFactory
5bb8e9384e7f3647    1 of   3   org/mozilla/focus/FocusApplication$engine$2
f665e80bdf3557e2    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideRemoveRecentlyPlayedGameUseCaseFactory
042ec737445a11f9    2 of   2   org/mozilla/focus/provider/SettingProvider$Companion
2ca3e55c9f05a046    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideGetMoreHotelsUrlUseCaseFactory
a54b917e212255d4    1 of  11   org/mozilla/focus/FocusApplication$monitorPrivateProcess$1
c082b037f0b15cc0    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideGetDownloadGameListUseCaseFactory
8b3c004f2ce81f52    3 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideShoppingSearchRemoteDataSourceFactory
4d4b98af0af147df    2 of  10   org/mozilla/rocket/content/game/di/GameModule_ProvideDownloadGameViewModelFactory
0b4ad7ea2ab778d9    2 of  10   org/mozilla/rocket/di/AppModule
0ebf588e593a31db    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideBindFxAccountUseCaseFactory
2df2186bcf479c0d    2 of  27   org/mozilla/focus/search/SearchEngine
cc512d3c19efec56    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideReadMissionUseCaseFactory
