[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/FirefoxLite-2.1.20-_5085-rebuilt_/coverage.ec.
0d5fb13a182a75aa    2 of  10   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelRepositoryFactory
f2fcfa34adf082d3    3 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideShouldShowContentHubItemTextUseCaseFactory
8064e9b1f8ff66c6    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelLocalDataSourceFactory
4b40bfed3cdc619f    3 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideUserRepoFactory
1b18dddb6bfc94d1    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideSetRecentPlayedOnboardingIsShownUseCaseFactory
e481065106167129   28 of  73   org/mozilla/focus/widget/LocaleListPreference
19662d50f0d20314    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideGetSearchLogoManImageUrlUseCaseFactory
5dca390520dd6be7    2 of   2   org/mozilla/focus/search/SearchEngineManager$1
ffda2fc11c3b69d6    4 of   7   org/mozilla/focus/JacocoInstrument/SMSInstrumentedReceiver
fc1bb88724732b18    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideTopSitesConfigsUseCaseFactory
800e5c514c937f34    2 of  10   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideShoppingSearchResultViewModelFactory
51196d7d6f0e7493    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideLoadNewsUseCaseFactory
ded775ec2c814043    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideGetShoppingTabItemsUseCaseFactory
1b5b53ff3c478719    6 of  12   org/mozilla/rocket/partner/PartnerActivator$QueryActivationStatus
8c347abb2b7f1c0c    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsSettingsRepositoryProviderFactory
e66d914391984149    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvidePinTopSiteUseCaseFactory

