[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Binary-Eye-_1.63.12-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ad7692b15c760722    1 of   3   android/support/v4/graphics/drawable/DrawableCompat$HoneycombDrawableImpl
48cfbdc3b601ad99    1 of  35   android/support/v7/app/ActionBar
eeb0f90e17af8e85   13 of  46   android/support/v4/view/WindowInsetsCompat
3c1c0b0d701deb99    5 of  17   android/support/v4/app/BaseFragmentActivityGingerbread
2a6d76727757bbdd    1 of   2   android/support/design/widget/ValueAnimatorCompatImplHoneycombMr1$1
5f9fda0750e465eb    3 of   3   android/support/v4/view/animation/FastOutLinearInInterpolator
1cc54d5a941ed119    1 of   5   android/support/v4/graphics/drawable/DrawableCompat$JellybeanMr1DrawableImpl
31ecddd9a3de7d72    1 of   3   android/support/v4/content/ContextCompatApi23
57f601ff101ba08b    1 of   2   android/support/v7/app/ToolbarActionBar$2
df72ac719d52cacf    2 of   3   android/support/v7/widget/ForwardingListener$1
f6f5acd45c89f80b    1 of   7   android/support/v4/view/MenuItemCompat$IcsMenuVersionImpl
f79d558a8b4c9ffe   19 of  26   de/markusfisch/android/binaryeye/widget/DetectorViewKt
b93a37ff36459226    4 of   4   android/support/v4/view/ViewCompat$LollipopViewCompatImpl$1
32b4e79a85e2a264    4 of  12   android/support/v4/app/NavUtils$NavUtilsImplJB
65f670beefbe305d    5 of  16   android/support/design/widget/ViewUtils
1b76648584421d1d    2 of   9   android/support/design/widget/VisibilityAwareImageButton
0c67d15ed84a59df   20 of  78   android/support/design/widget/FloatingActionButtonGingerbread
96497c8884367459    4 of   9   android/support/v7/app/AppCompatDelegateImplV9$2
f993c9f6dc2d04fc    2 of   2   android/support/v4/view/LayoutInflaterCompat$LayoutInflaterCompatImplV21
706b594d6b6b94f9    2 of   4   android/support/v4/view/LayoutInflaterCompatLollipop
86bbbec01b00afc0    6 of  80   android/support/v4/content/ContextCompat
3a28510c40cedb51   12 of  36   android/support/v7/widget/RtlSpacingHelper
cccbc640f5ed19db    2 of   5   android/support/v4/view/GravityCompatJellybeanMr1
2eb35b2c43b03aee   61 of 140   android/support/v7/view/menu/ActionMenuItemView
504133c8969427da    2 of   9   android/support/v7/app/AppCompatDelegateImplV14$AppCompatWindowCallbackV14
57503c309a346b93   51 of 113   android/support/design/widget/FloatingActionButton
d199b01a9128dc63   26 of 117   android/support/v7/app/AppCompatViewInflater
8be5bcadbea65524    1 of  14   android/support/v7/widget/ActionMenuPresenter$PopupPresenterCallback
3bbfea95b72b5cca    5 of  41   android/support/v4/view/ViewCompat$HCViewCompatImpl
724d9f12dd7b20f4    3 of  18   android/support/v4/view/ViewCompatJB
dffa9acce13460d2    4 of  50   android/support/v7/content/res/AppCompatResources
d7d57946bb413302    1 of   3   android/support/v7/widget/RecyclerView$OnScrollListener
5a246f786cd82b55    6 of  42   de/markusfisch/android/binaryeye/database/Database$Companion
37909b71f851dc67    2 of  30   android/support/v4/app/FragmentActivity$HostCallbacks
b2500ca34ac8dee1    5 of   5   de/markusfisch/android/binaryeye/activity/SplashActivity
dbac5f2ebb12db4c    5 of  34   de/markusfisch/android/binaryeye/graphics/FrameMetrics
ba407e7890773892    7 of   7   de/markusfisch/android/binaryeye/graphics/DashedBorderPaintKt
e5ef554dc49198ed    2 of   5   android/support/v4/graphics/drawable/DrawableCompat$MDrawableImpl
f02bf74f844c61f7   10 of  21   android/support/design/widget/ValueAnimatorCompat
93b456ba57a6da4b    7 of  16   android/support/design/widget/ValueAnimatorCompatImplHoneycombMr1
80cc22c45f3de5d0    1 of 200   android/support/v4/view/ViewCompat$BaseViewCompatImpl
e6811d3309460611    1 of   4   android/support/design/widget/ValueAnimatorCompatImplHoneycombMr1$2
2cb8345013b5dbb8    1 of  19   android/support/v4/view/WindowInsetsCompat$WindowInsetsCompatBaseImpl
81084485f7502c38   17 of  24   android/support/v7/widget/ActionMenuPresenter$OverflowMenuButton
72011fe1356d626b    3 of   7   android/support/v7/widget/FitWindowsFrameLayout
faa62adced39a7a5   49 of  96   android/support/v7/view/SupportMenuInflater$MenuState
b44252b6d15d1146    1 of   2   android/support/design/widget/FloatingActionButtonGingerbread$DisabledElevationAnimation
0a96ce10fc3bd44d   17 of 142   android/support/v4/view/ViewCompat
652de6ce39395e2b   61 of 222   android/support/v7/view/menu/MenuItemImpl
537eef9ee620c432    6 of  31   android/support/design/widget/StateListAnimator
4dcbbebd8ccadb4e    1 of   9   android/support/v4/view/WindowInsetsCompatApi21
7a1ff66bc122aba2    2 of   2   android/support/v4/view/LayoutInflaterCompatHC$FactoryWrapperHC
6175414073eb3b25   24 of  93   android/support/v7/widget/ContentFrameLayout
e397fc18798b84f8    3 of  25   android/support/v4/app/NavUtils$NavUtilsImplBase
e3bf597caadcdee2    1 of  10   android/support/v7/app/ToolbarActionBar$ActionMenuPresenterCallback
2fd4b1f42fe0073f    2 of  86   android/support/v4/util/LruCache
2acc045eaa4c41df   43 of 322   android/support/v7/widget/ActionMenuView
ea0e00b359cf1471    1 of  14   de/markusfisch/android/binaryeye/view/SystemBarsKt$systemBarRecyclerViewScrollListener$1
3e3dc94119ea8f90   11 of  46   android/support/v7/widget/ViewStubCompat
bf28f97c3da286f1    2 of   4   android/support/v4/app/SupportActivity
4a4009cd799aed10    1 of   4   android/support/v4/content/ContextCompatApi21
040526b0c283333c    1 of   5   android/support/v4/graphics/drawable/DrawableCompat$KitKatDrawableImpl
64630851768a97b6    7 of  41   android/support/v7/widget/AppCompatImageButton
12fa841cbeff4f16   11 of 1803   kotlin/collections/CollectionsKt___CollectionsKt
6f59ed9bab99fa54    2 of   9   android/support/v4/view/WindowInsetsCompat$WindowInsetsCompatApi21Impl
a033c588b709a9a0   76 of 371   de/markusfisch/android/binaryeye/activity/CameraActivity
58118b73407a700b    2 of 164   kotlin/math/MathKt__MathJVMKt
1e59a061250a8e28    1 of   2   android/support/v7/widget/Toolbar$2
e98676e55dd807a7    6 of 10738   kotlin/collections/ArraysKt___ArraysKt
829f296872b7025d    3 of  11   android/support/v7/widget/VectorEnabledTintResources
ae4565e8d9027b8f    1 of   1   android/support/v4/app/FragmentContainer
c574543ceaa84cc0   17 of  82   android/support/v7/widget/AppCompatBackgroundHelper
fba8428b0b38993f    2 of   2   de/markusfisch/android/binaryeye/preference/Preferences$Companion
cb8c3f3d8816b583    1 of   2   android/support/v4/content/res/ConfigurationHelper$JellybeanMr1Impl
4a6ac6c1709fed11    1 of   5   android/support/v4/app/NavUtilsJB
ba5956cf7aab0918   10 of  21   android/support/v7/widget/AppCompatTextHelperV17
5f2f0f75a6bd57c2    1 of   9   android/support/v4/view/MenuItemCompat$HoneycombMenuVersionImpl
451d7035aa839a8d    6 of  33   android/support/v4/graphics/drawable/DrawableCompat
02c22bd53d4e437f   17 of 171   android/support/v4/graphics/ColorUtils
b0f35a1f85732ab6    1 of   4   android/support/v4/view/ViewCompat$JbMr2ViewCompatImpl
faba48d68af48fb2    2 of  28   kotlin/collections/EmptySet
ffb528926d70837d   18 of  31   de/markusfisch/android/binaryeye/view/WindowInsetsKt
fd5dfc879e1d54eb    5 of   5   de/markusfisch/android/binaryeye/app/BinaryEyeApp
9f2111aa373eb898   78 of 208   de/markusfisch/android/binaryeye/widget/DetectorView
4c3348bc5e7d6bdf    5 of  16   android/support/v4/view/MarginLayoutParamsCompat
a0c3c7f8947eb876    1 of   8   android/support/v4/app/FragmentActivity$1
82d4359725936be3   15 of  75   android/support/v7/app/AppCompatDelegateImplV14
f5dc6735a83915e5   12 of  35   android/support/v7/app/AppCompatDelegateImplBase$AppCompatWindowCallbackBase
709bfff638384060    1 of   1   android/support/design/widget/ValueAnimatorCompat$Impl
a897863c2f0bf498    2 of  65   android/support/design/widget/FloatingActionButtonIcs
40fb133ea7116997    4 of   4   de/markusfisch/android/binaryeye/app/BinaryEyeAppKt
72c4f733ed1d9fa9    1 of   2   de/markusfisch/android/cameraview/widget/CameraView$1
f22c3284a85ebfb0    5 of   8   android/support/v7/app/AppCompatDelegateImplV9$1
f44ef06878d28bbe    2 of   2   android/support/v4/view/ViewCompatLollipop$1
16efe45cc9bea647    3 of   4   android/support/v4/content/res/ConfigurationHelperHoneycombMr2
61880c868be705a6    1 of   4   android/support/v4/view/NestedScrollingParentHelper
a6fe306721125edb    4 of  42   android/support/v4/content/FileProvider$SimplePathStrategy
d5a597af30fe5da6  142 of 208   de/markusfisch/android/binaryeye/preference/Preferences
b18cab26bdd3ea2d   11 of  42   android/support/v7/view/ActionBarPolicy
914f02ed180d4cf9    6 of 110   android/support/v4/view/ViewCompatLollipop
e62fe3df1eb9541e    6 of  27   android/support/v7/view/WindowCallbackWrapper
f21160bb84f3cd03    6 of  55   android/support/v7/widget/AppCompatProgressBarHelper
f1035f9a62cc0d09    2 of   7   android/support/v7/widget/ToolbarWidgetWrapper$1
d8cd14f2b2ddfb82    1 of   4   android/support/v7/widget/Toolbar$1
fcbc84c74f142007   27 of 177   android/support/v7/app/ToolbarActionBar
595e58f217407584   12 of  84   android/support/design/widget/FloatingActionButton$Behavior
6f5d104fc6c584bd    1 of   2   android/support/v7/appcompat/R$styleable
5067e06b05259043   13 of  41   android/support/v7/widget/AppCompatImageView
200be7dd25ba3501   15 of  35   android/support/v7/widget/ViewUtils
e3b2bb2afb2174c9  123 of 823   android/support/v7/app/AppCompatDelegateImplV9
d15f18cdc688ea6a    4 of   5   de/markusfisch/android/binaryeye/view/WindowInsetsKt$requestApplyInsetsWhenAttached$1
266305396d3de910    1 of   2   android/support/v4/view/LayoutInflaterCompat$LayoutInflaterCompatImplV11
9d770a97c8185280    2 of   3   android/support/v7/app/AppCompatDelegateImplV9$4
0c16ea08ddc988ae    2 of   7   android/support/v7/app/AppCompatDelegateImplV23$AppCompatWindowCallbackV23
46dbdffdf15db700    1 of   2   android/support/v4/app/FragmentManagerImpl$1
21d64d9e04dc1fef    8 of 103   de/markusfisch/android/binaryeye/activity/CameraActivityKt
ab7b9b63bbdcf4b8   16 of  52   android/support/v4/app/FragmentController
f2464d6ae38c5b20    8 of  20   android/support/v7/app/AppCompatDelegate
2d5632102b6dfbab   32 of 108   android/support/design/widget/CoordinatorLayout$LayoutParams
af1c15b29e92dbbc    2 of   5   android/support/v7/widget/ActionMenuView$LayoutParams
a831f672877776b6    1 of  18   android/support/v4/graphics/drawable/DrawableCompat$BaseDrawableImpl
ee6315bb66b1aaed    6 of  24   de/markusfisch/android/binaryeye/app/PermissionsKt
a10e58a3010b2b20    2 of  38   de/markusfisch/android/binaryeye/activity/CameraActivity$initCameraView$1
106dba527c267f9e    1 of   2   android/support/design/widget/FloatingActionButtonGingerbread$ResetElevationAnimation
c3c36a917d45db9f   97 of 289   android/support/v7/widget/ActionMenuPresenter
482b054e11f4fd1b    9 of 127   kotlin/jvm/internal/Intrinsics
1f64041502ff6c1e    7 of  13   android/support/v4/util/Pools$SimplePool
1c16a2c282c90b88    4 of  20   de/markusfisch/android/binaryeye/database/Database$OpenHelper
985c67d1e945355e    2 of   7   android/support/v4/view/ViewCompat$KitKatViewCompatImpl
b51b57419ed7e11b    5 of   9   android/support/design/widget/ThemeUtils
891b1c915f9c3980    1 of   1   android/support/v7/view/menu/ActionMenuItemView$PopupCallback
6b4a877df130449f   37 of 257   android/support/v7/widget/ToolbarWidgetWrapper
aae21ee1fdfc1c66    4 of 115   android/support/v4/util/SparseArrayCompat
bfc7001393379d79    3 of   4   de/markusfisch/android/cameraview/widget/CameraView$4
039f3398c465a9fe   23 of  56   android/support/v7/widget/TintTypedArray
bfa2109a669c423b    3 of  13   de/markusfisch/android/binaryeye/app/LocaleKt
71f61ad0e8f40672    1 of   1   android/support/design/widget/StateListAnimator$Tuple
52e83e7810a7f390    2 of   2   android/support/v4/view/ViewCompat$ICSMr1ViewCompatImpl
98b63d7ca29936f9    3 of   4   android/support/design/widget/ViewUtils$1
ee79d1fde144e56e   36 of  71   android/support/design/widget/DirectedAcyclicGraph
e4148bcc74ed6085    2 of  31   android/support/v4/view/ViewCompat$ICSViewCompatImpl
8c93bc9db89a0325    2 of   8   android/support/v7/app/AppCompatDelegateImplN$AppCompatWindowCallbackN
cd5a202590de0e10  202 of 930   android/support/design/widget/CoordinatorLayout
ce54d1f5a7f757e7    5 of   6   android/support/design/widget/FloatingActionButton$ShadowDelegateImpl
ed34b08325c73fc2    1 of   2   android/support/v7/transition/ActionBarTransition
f0ccae8810a1e550    4 of   4   android/support/v4/view/animation/LookupTableInterpolator
2cb09ac1512d88ea    3 of   6   android/support/v4/app/BaseFragmentActivityHoneycomb
4e49cf729c27d8a5    1 of   2   android/support/design/R$styleable
c338df5e43b3206e    2 of  12   android/support/v4/view/ViewCompat$JbMr1ViewCompatImpl
77f6dba3d6fe116b    1 of   6   android/support/v4/view/ViewCompat$MarshmallowViewCompatImpl
ed7a6b25a1a7603b    6 of  54   android/support/v7/widget/TintContextWrapper
78b3133de30adb40    2 of  10   android/support/design/widget/FloatingActionButtonGingerbread$ShadowAnimatorImpl
da1313683f871f35   12 of  53   de/markusfisch/android/binaryeye/JacocoInstrument/JacocoInstrumentation
117d787421ffc926    1 of   2   android/support/v4/view/ViewCompatICSMr1
8891731b32252879  303 of 863   android/support/v7/widget/Toolbar
3986132d5885bff8    1 of  10   android/support/v7/widget/Toolbar$LayoutParams
3c9ffe1f33792021    2 of  46   kotlin/collections/MapsKt__MapsJVMKt
4c39a88d10e9a786    2 of   2   de/markusfisch/android/binaryeye/activity/CameraActivity$Companion
00b250b1960075d8    7 of 122   android/support/v7/widget/ForwardingListener
f3f0744dce368256    4 of   9   android/support/v4/view/LayoutInflaterCompat
