[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d723667ef7219ba5    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
75a478325a96c440    1 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
ed5e6a4a49e08ddc   17 of  68   androidx/work/Configuration$Builder
ef8325c89ac47906    4 of  36   org/proninyaroslav/libretorrent/ui/main/TorrentListAdapter
3f51dac76a9a3314    1 of   5   androidx/appcompat/widget/ActionMenuView$LayoutParams
8b4e3be4c7fd6836    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
2b10ef6e53f0a69d    8 of   8   io/reactivex/internal/schedulers/SchedulerPoolFactory$ScheduledTask
8d5dc320e19aaf37    5 of   5   androidx/work/impl/WorkManagerImplExtKt$WorkManagerImpl$1
5f10f9cc10ddaf9d    2 of 120   com/google/android/material/drawable/DrawableUtils
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
0d51b6637c17ebda    1 of   4   com/google/android/material/internal/StateListAnimator$1
e6850239b2d5132d   20 of  47   org/libtorrent4j/swig/picker_log_alert
bda4c8bbdff406db    3 of  31   org/libtorrent4j/swig/file_error_alert
593abb2a7f1a215b    3 of   3   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$DBRefHolder
a45480a2b83e7aff    8 of  10   com/google/android/material/floatingactionbutton/FloatingActionButton$ShadowDelegateImpl
7723bd808f0d5608    4 of  62   org/libtorrent4j/Vectors
cde57cf0e6d4f1a0   15 of  32   androidx/core/app/NotificationCompat$Action
51b579670c60e2b8   34 of  45   org/libtorrent4j/SessionManager$5
87f2110296aa804f    1 of   2   org/libtorrent4j/alerts/Alerts$79
e89c908566caffdb    1 of   2   org/libtorrent4j/alerts/Alerts$33
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
a4f45ca68bfce819    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
a4203ef92bf9fccf    1 of   2   org/libtorrent4j/alerts/Alerts$77
1500f619da90cec4    4 of   8   io/reactivex/internal/schedulers/ExecutorScheduler$ExecutorWorker$BooleanRunnable
053873b1209f4ca6    3 of  61   androidx/room/DatabaseConfiguration
7e28094b23bfc5a1    9 of  59   androidx/recyclerview/widget/SimpleItemAnimator
75d592c120298aea    1 of   7   androidx/recyclerview/selection/ResetManager$1
172d17236f3df4b0   15 of  34   androidx/work/impl/utils/PackageManagerHelper
2f9ee34e2d9c7c1f    2 of  34   org/acra/collector/StacktraceCollector
118f42f650f584df    2 of   2   androidx/room/RoomDatabase$Companion
a6d77a37564233ac    2 of  82   androidx/core/graphics/TypefaceCompatBaseImpl
ab69d291e0b93920   84 of 486   androidx/databinding/ViewDataBinding
b4563346884c64f4    2 of   5   org/acra/config/DialogConfigurationBuilder$special$$inlined$observable$5
8e68e9d484965d7f    2 of   2   kotlin/collections/AbstractMutableSet
880a30e7d1b091e5    4 of  87   androidx/core/graphics/drawable/IconCompat$Api23Impl
a01b8c42d34dc176    7 of  14   androidx/recyclerview/selection/ResetManager
9fadf099d461dccb    1 of   2   net/cachapa/expandablelayout/R$styleable
34bf3aefc82a9886    1 of   2   org/libtorrent4j/alerts/Alerts$47
843ccb0ff9c7c92b    1 of  15   com/h6ah4i/android/widget/advrecyclerview/animator/RefactoredDefaultItemAnimator$DefaultItemAddAnimationManager
c93922e40258e2ae    1 of  22   com/h6ah4i/android/widget/advrecyclerview/animator/impl/ItemAddAnimationManager
2ce0932c1d74d576    1 of   2   androidx/coordinatorlayout/R$styleable
144f6daf81a675ba    1 of   2   org/libtorrent4j/alerts/Alerts$22
78a204235d33e2df   12 of  40   androidx/room/RoomOpenHelper$Companion
5698752fe95d4ed2    2 of  32   androidx/core/view/LayoutInflaterCompat
e02db6af0da725a1    2 of   2   androidx/recyclerview/widget/RecyclerView$RecycledViewPool$ScrapData
278ae5e4bd39c100    2 of  14   org/acra/collector/ThreadCollector
b4652431342dd524    3 of  40   androidx/recyclerview/widget/GapWorker$LayoutPrefetchRegistryImpl
e3510b8d7f497a04    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$2
ff9c30d249947033    1 of   2   org/libtorrent4j/alerts/Alerts$102
c326d4d66d000e92    1 of   2   org/libtorrent4j/alerts/Alerts$104
2f5385d14425fd35    1 of   2   org/libtorrent4j/alerts/Alerts$23
1a4e4fe23afa3eed    1 of   3   androidx/core/graphics/drawable/DrawableCompat$Api23Impl
5f1ac362c5f8151a    3 of  28   org/libtorrent4j/swig/peer_log_alert
c13b2363d0f4332d    3 of  26   org/libtorrent4j/swig/storage_moved_alert
ffd25b2ac307bc50    5 of  17   org/proninyaroslav/libretorrent/ui/main/MainActivity$1
3c45cd43f091f4f8    1 of   3   androidx/databinding/ViewDataBinding$4
ea5bbb11be8fe144    2 of   3   io/reactivex/internal/schedulers/IoScheduler$ThreadWorker
0df2932566a95947    3 of  24   org/libtorrent4j/swig/peer_unsnubbed_alert
