[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/CPU-Info-_android6.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
09394c2762cec76e    3 of   3   androidx/compose/ui/graphics/drawscope/CanvasDrawScopeKt
d157ece13ecf63bb    9 of  10   androidx/compose/runtime/snapshots/GlobalSnapshot$takeNestedMutableSnapshot$1$1
730e88c7b4fe0ff4   17 of  28   androidx/compose/material3/internal/ProvideContentColorTextStyleKt
307968915dc9c5e6    1 of   2   androidx/compose/material3/adaptive/AndroidWindowAdaptiveInfo_androidKt$collectFoldingFeaturesAsState$lambda$2$$inlined$map$1$2$1
3f15d46c02b50904   12 of  17   kotlin/text/RegexOption
10094f50ee87f110    5 of  12   androidx/compose/ui/platform/InvertMatrixKt
2ab981dbfa2ed183    4 of   4   com/kgurgul/cpuinfo/data/DataModuleKt$dataModule$lambda$0$$inlined$singleOf$default$1
f5d94284f1892604    4 of  19   androidx/compose/ui/text/font/AndroidFontResolveInterceptor
79bf465b676fd85a    2 of   3   androidx/compose/ui/text/PlatformParagraphStyle$Companion
3a11fb3654d05522    4 of   4   androidx/compose/ui/layout/PlaceableKt$DefaultLayerBlock$1
d8a938adb86b98b8    3 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
5c57cbd05184e6df   13 of  37   kotlinx/coroutines/channels/ChannelCoroutine
829e8182f371f0b1   11 of  34   androidx/compose/runtime/changelist/Operation$UpdateAnchoredValue
f943f3039aabd00a    3 of  21   androidx/compose/ui/text/input/TextInputService
21ab7039716b601a    6 of  31   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsInfo
8550d44ee2f91302   13 of  38   org/koin/dsl/DefinitionBindingKt
2131afa6d0649e15    3 of   3   androidx/compose/ui/layout/SubcomposeLayoutState$setCompositionContext$1
dce8ab9b2b015c94    2 of  10   androidx/compose/foundation/ProgressSemanticsKt
a598a2be3a731dbd    1 of   1   androidx/compose/foundation/text/modifiers/TextAnnotatedStringNodeKt
8053029b5c66de47   64 of 115   androidx/compose/runtime/SlotWriter$Companion
b3354fab62789e0b    1 of  17   androidx/compose/animation/core/DecayAnimationSpecKt
2d7fae748e6c4d96    2 of   4   androidx/compose/ui/semantics/SemanticsProperties$ContentDataType$1
3a90d6be528dfe56    4 of  24   androidx/navigation/compose/DialogNavigator
28c42488987a14ce    8 of  14   co/touchlab/kermit/LogcatWriter$WhenMappings
33c264d5e1b117a6   70 of 729   androidx/compose/foundation/text/selection/SelectionManager
7bce01297a79c19c   35 of 140   androidx/compose/animation/AnimatedContentMeasurePolicy
5faa00c4516d0f07   24 of  70   androidx/compose/ui/text/font/FontFamilyResolverImpl
a7bb36f90c7a3c3e   14 of  30   kotlinx/coroutines/CoroutineScopeKt
bef802ca3ef6a3c2    4 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$SetModifier$1
818673000aae192f    1 of 112   com/getkeepsafe/relinker/ApkLibraryInstaller
e62c0ab2a22befbe   12 of  19   com/kgurgul/cpuinfo/ui/theme/ShapesKt
5ab5138b991d512e   16 of  21   androidx/compose/ui/node/NodeCoordinator$updateLayerParameters$1
e7938d82d3053819    2 of   4   androidx/compose/ui/draw/DrawWithContentModifier
c7cf69ed481b4737    5 of   8   androidx/compose/ui/window/SecureFlagPolicy
cd2f3b3e1f738874   24 of  36   androidx/compose/animation/core/Animatable$runAnimation$2
6f42825bb48898bb    1 of   5   com/kgurgul/cpuinfo/domain/DomainModuleKt$domainModule$lambda$0$$inlined$factoryOf$default$17
0a76aa1c7214f350    3 of   4   androidx/compose/runtime/saveable/SaverKt$Saver$1
931d67ce2887dd66    1 of   6   androidx/compose/ui/node/LayoutNode$Companion$DummyViewConfiguration$1
0baea7771673fb98   10 of  14   androidx/compose/foundation/lazy/layout/AndroidPrefetchScheduler$Companion
14c32501a8f41800    6 of 164   kotlin/math/MathKt__MathJVMKt
82bdf917ab2f91bd   11 of  11   androidx/lifecycle/ViewTreeViewModelStoreOwner
21b8670db5f85275    7 of   8   kotlinx/coroutines/flow/internal/FusibleFlow$DefaultImpls
514de0331026e061    3 of  17   androidx/compose/ui/text/android/VerticalPaddings
b3d469ec840e7f0a    3 of  25   androidx/compose/foundation/text/contextmenu/modifier/TextContextMenuToolbarHandlerElement
e18b25be29fd8c89    1 of   3   androidx/compose/animation/AnimatedVisibilityKt$AnimatedEnterExitImpl$4
2da61c4a8e323e97    1 of   2   androidx/datastore/core/FileStorageConnection$readScope$1
1f8c3d175c4e1f9c   20 of 236   androidx/collection/ObjectList
6b3c76bc97922b5b    4 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$1$1
628a270aa32ba7e7   18 of  30   androidx/compose/runtime/BroadcastFrameClock
271c501621b997ff    6 of  78   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsProviderModifierNode
17ebe36b3cccc91e    7 of  41   kotlinx/coroutines/internal/InlineList
4a80d407bb976444   61 of 510   androidx/compose/ui/text/SpanStyle
2164f3213219e106    4 of  10   androidx/compose/ui/text/style/LineBreak$Companion
a8fe6d992126051c    1 of   3   androidx/compose/foundation/FocusableNode$applySemantics$1
5f26efdffa5cebc4    5 of   6   androidx/compose/ui/graphics/colorspace/RenderIntent$Companion
d003094bf2332a1a    4 of   7   androidx/compose/material3/adaptive/navigationsuite/NavigationSuiteScaffoldValue
70e2ece5289815fd    4 of   4   androidx/compose/ui/layout/PinnableContainerKt$LocalPinnableContainer$1
b7ba9e115e843649    3 of   7   androidx/compose/ui/platform/ViewCompositionStrategy$DisposeOnDetachedFromWindowOrReleasedFromPool$installFor$listener$1
539ec05af10a03a4   12 of  41   androidx/compose/ui/text/font/PlatformTypefacesApi28
9938657df5320819    4 of   4   androidx/compose/animation/AnimatedVisibilityKt$AnimatedVisibility$3$1
a7d641294cf4eb7a    9 of  27   androidx/compose/ui/text/style/LineBreak$WordBreak
b349706c52d53082    2 of   2   androidx/compose/runtime/MonotonicFrameClock$Key
7cf7a80ae0cfb54a    4 of   5   androidx/compose/material3/internal/MappedInteractionSource$special$$inlined$map$1
928eb0519fc1fc64    3 of   3   androidx/datastore/core/State
7e6cbd775fca7d51    6 of  21   androidx/compose/foundation/lazy/LazyItemScopeImpl
06d8beb6cedcd730   62 of 152   androidx/compose/ui/graphics/vector/GroupComponent
85c43a7da46a9a54   35 of  61   androidx/compose/foundation/lazy/LazyListScrollPosition
fb9dea51f39523d1    1 of   3   androidx/compose/runtime/PrimitiveSnapshotStateKt
8a7c85d92ed460f9    4 of   9   kotlin/jvm/internal/ArrayIterator
482b054e11f4fd1b   19 of 127   kotlin/jvm/internal/Intrinsics
d8a57c1adc0b593e   51 of 233   androidx/compose/ui/semantics/SemanticsPropertiesKt
c08df17886cdf6b3   15 of  23   androidx/compose/ui/layout/InnermostInsetsRulers
697e4a2b49ed2b33    4 of   5   androidx/datastore/core/DataStoreImpl$data$1$invokeSuspend$$inlined$map$1
f51dadff61ee9881   12 of  20   androidx/compose/animation/core/AnimatableKt
656ed771b6f8c56a    5 of  35   kotlin/jvm/internal/PropertyReference
c6ea35d42bcbb97b    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalAccessibilityManager$1
e34ff677975703fe   13 of  22   androidx/navigation/NavController$NavControllerNavigatorState
935482d9619a3184    2 of   6   co/touchlab/kermit/LogWriter
c6b34991da0b94bd    5 of  24   androidx/compose/ui/layout/MultiContentMeasurePolicyImpl
9db5dde1b3a27260   42 of  65   com/kgurgul/cpuinfo/utils/AndroidShortcutManager
517fed9a9e454338    7 of  12   kotlinx/coroutines/flow/SharedFlowSlot
b6d22534893c5b43   18 of  57   androidx/datastore/preferences/core/PreferenceDataStoreFactory
8abe5bf308a5d871   15 of  39   kotlin/sequences/SequenceBuilderIterator
d1b56b5a78cfe3bc   13 of  15   androidx/compose/ui/graphics/vector/VectorComponent$drawVectorBlock$1
764499bff0a01efe    3 of   4   androidx/compose/foundation/gestures/snapping/SnapPosition$Start
7b225334e150c8e1   13 of  37   androidx/compose/ui/text/font/FontSynthesis
99ea69526b4dda5d   57 of  95   androidx/compose/foundation/lazy/LazyListKt$rememberLazyListMeasurePolicy$1$1
3acdee8d90a7c54e    1 of 157   androidx/collection/MutableLongList
4c111466c69d7f43   18 of  47   androidx/compose/material/ripple/RippleNode
786916e5f00c1f2b   13 of  21   kotlinx/serialization/internal/ObjectSerializer
063fde45e6179fc6    3 of   3   androidx/compose/animation/CrossfadeKt$Crossfade$5$1$invoke$$inlined$animateFloat$2
a79f4af90bbd8769    3 of  14   androidx/compose/ui/graphics/vector/PathNode$HorizontalTo
9e67b1818feb61b9   14 of  27   androidx/compose/ui/unit/TextUnitType
d2953da6c12ecfa9    5 of   6   androidx/compose/ui/draw/DrawBackgroundModifier
d6e6cf3f031e3b72    6 of   8   androidx/compose/ui/platform/HapticDefaults
503bd9e58f2c2748    7 of   8   androidx/compose/ui/platform/AndroidUiFrameClock$withFrameNanos$2$callback$1
9fd30de901df325e    8 of  12   androidx/compose/material3/adaptive/navigationsuite/DpWidthSizeClasses
96e0cb81bfa5c300   42 of  82   androidx/compose/ui/graphics/vector/PathParser
2b3f5ff912ab47a9   43 of 445   androidx/compose/ui/graphics/BezierKt
5780e23cea77fe0f    2 of   2   co/touchlab/kermit/KermitConfigKt
a446add44af282a7    5 of   9   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$4$1
bc0344d4ec06b518    1 of   2   kotlinx/coroutines/flow/FlowKt__ReduceKt$first$$inlined$collectWhile$2$1
3ad09f9f78105c96   36 of  69   androidx/compose/foundation/layout/BoxMeasurePolicy
a688bfd75d5bc5cd    3 of  12   org/jetbrains/compose/resources/RegionQualifier
91036bfcc1dd7ae9  175 of 244   androidx/compose/ui/node/NodeKindKt
63bbb9863d840669    1 of   6   com/kgurgul/cpuinfo/di/ViewModelModuleKt$viewModelModule$lambda$0$$inlined$viewModelOf$default$4
c138a6d45cf3bace   24 of  39   androidx/navigation/compose/NavHostKt$NavHost$33$1
65b85494e9cc5934    2 of  11   androidx/compose/material3/adaptive/navigationsuite/ComposableSingletons$NavigationSuiteScaffoldKt$lambda$-1866128853$1
88be828c890762e3    4 of  12   androidx/compose/ui/text/android/BoringLayoutFactoryDefault
2ce95db15c0cac83   90 of 349   androidx/compose/ui/text/android/TextLayout
4aaa7e476c2c9922    2 of   5   androidx/compose/animation/core/AnimationResult
24891d4e6eec96cf    7 of  12   androidx/compose/ui/node/MeasureAndLayoutDelegate$WhenMappings
f9505011ad22e587    4 of   4   com/kgurgul/cpuinfo/features/applications/ApplicationsScreenKt$applicationsScreen$$inlined$navDeepLink$default$1
2c0da0304a7bc7a2   68 of  88   androidx/compose/material3/TopIconOrIconOnlyMeasurePolicy
73022414ee32d8c8   23 of 468   androidx/collection/ObjectIntMap
31b5fa094a4e0003    3 of   3   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$3$1
82b5e4242256e535    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalDensity$1
6eae27fa55b49d16    1 of   3   androidx/activity/EdgeToEdgeApi28
af92eaae06cee20b    3 of   3   androidx/compose/ui/graphics/BlockGraphicsLayerModifier$measure$1
e658a17abf3519ed    8 of  14   androidx/compose/material3/MotionSchemeKt
24f68dc87019b8dd    2 of   4   androidx/compose/ui/graphics/vector/PathComponent$pathMeasure$2
8d093eb7db776937    3 of  16   androidx/compose/ui/res/ResourceIdCache
8eea4cac98e33b5a    2 of   2   androidx/datastore/preferences/PreferenceDataStoreFile
5b1b0b923ef94f8f    6 of  11   com/kgurgul/cpuinfo/features/processes/ProcessesBaseRoute$ProcessesRoute
1e687a7dce6d887a   40 of 117   org/jetbrains/compose/resources/StringResourcesKt
5f761c98e82749ca   39 of 194   androidx/compose/material3/SurfaceKt
fe1e57567a9a11d6    1 of   1   androidx/compose/ui/layout/MultiContentMeasurePolicyKt
5f320488d058e9e7    4 of   6   androidx/compose/ui/text/style/LineHeightStyle$Trim$Companion
334d03a0a6e0b40b    9 of  13   androidx/compose/material3/pulltorefresh/PullToRefreshDefaults$Indicator$1
ab0d0228b1571a7a    6 of  21   androidx/compose/ui/text/MultiParagraphIntrinsicsKt
77c6acb7d0792901   66 of 189   androidx/collection/MutableIntObjectMap
f4bec2deceb77ad8    3 of  12   androidx/compose/ui/platform/InspectableValueKt
5862a5d13e7921df   87 of 381   kotlin/collections/ArrayDeque
2e973896f341c755    7 of  19   androidx/compose/foundation/text/contextmenu/modifier/TextContextMenuGestureNode
