[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AlarmClock-_3.15.04-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6a8321ec1cadcfb2    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
88601139560e7f26    3 of   4   io/reactivex/internal/operators/observable/ObservableFromArray
8a1392a2da7492b7    2 of  13   kotlin/text/Regex$Companion
1cd59472a6153ec0    8 of  13   kotlinx/coroutines/internal/LockFreeLinkedListNode$CondAddOp
95fe3bb7a38b25b1    9 of  19   kotlinx/serialization/internal/ObjectSerializer
e9e70f34abbd151a    3 of   3   kotlinx/coroutines/scheduling/NanoTimeSource
2106de8d6d1352ec    3 of  10   androidx/activity/ComponentActivity$3
cca066dd09642b6f    4 of  37   androidx/appcompat/widget/ThemeUtils
09d9eed152e6cd96    2 of   2   kotlin/coroutines/ContinuationInterceptor$Key
316052440613654f    2 of  36   kotlinx/coroutines/AbstractTimeSourceKt
9ec357e62da26cff   48 of  91   com/better/alarm/presenter/AlarmsListFragment$AlarmListAdapter
e83a225fa3484156   32 of  33   com/better/alarm/logger/LoggerModuleKt
8e24ee65f69bd6a1    2 of   4   ch/qos/logback/core/spi/FilterReply
90c289e6788661df    5 of   8   io/reactivex/internal/operators/observable/ObservableCreate
d39508959e72a50d    6 of  39   kotlinx/coroutines/flow/StateFlowKt
f812b3f82aa45131    4 of  14   io/reactivex/internal/operators/observable/ObservableConcatMap$ConcatMapDelayErrorObserver$DelayErrorInnerObserver
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
0751c6ed66a57f98    4 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$18
080bb17857f4d601    4 of   5   com/better/alarm/configuration/AlarmApplication
a2143f629c35f9c5   28 of  63   kotlinx/coroutines/internal/LimitedDispatcher
22a88eb9e3e1a778    3 of   6   org/acra/collector/Collector$Order
27cd8b40daf9d6fe    3 of   4   androidx/fragment/app/FragmentStateManager$1
fda7f55a988698f7    4 of   7   com/better/alarm/presenter/ScheduledReceiver$1
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
a361caac9ad84398   13 of  25   ch/qos/logback/core/rolling/TimeBasedFileNamingAndTriggeringPolicyBase
82e0b01a4ef14485   16 of  42   ch/qos/logback/core/rolling/helper/TimeBasedArchiveRemover
6bf471e8d2cb2859    2 of  27   kotlinx/coroutines/internal/Segment
5d77565ca0485bf2    2 of   8   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
47ef186305323a2f    6 of  18   com/google/android/material/shape/MaterialShapeUtils
2bd0775412dc4ec9    1 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
52599405342f82e1    4 of   6   com/better/alarm/util/Preconditions$Companion
0604891e8520caae   10 of  26   androidx/lifecycle/Lifecycle$Event$Companion
f0e04cfe0b9cb717    5 of   5   com/better/alarm/configuration/ContainerKt$startKoin$module$1$10
729bee175e9aa283    4 of  14   io/reactivex/disposables/Disposables
62a1ade9dfe8c038    1 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
1c7fd1975ccc61bd    3 of   3   kotlin/collections/IndexingIterable
8932faad7f6b946e    3 of   4   org/koin/core/registry/ScopeRegistry$Companion
bb6fd6a616b22be6    1 of   2   com/google/android/material/appbar/AppBarLayout$1
2573c9f60504d11f    2 of   3   com/better/alarm/model/Event
02754ce560470e48   11 of  13   androidx/lifecycle/Lifecycle$State
9d49067aff59accb    2 of   3   kotlinx/coroutines/internal/ContextScope
