[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ClockYou-_v11.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
7ba6f1b7f4ae6ecb   42 of  81   androidx/compose/material3/MaterialThemeKt
dd5e9eee53972053   11 of  18   androidx/compose/ui/graphics/AndroidPaint_androidKt$WhenMappings
b4bd357786343788    3 of   9   androidx/room/driver/SupportSQLiteConnectionPool
792bdd592024642d    1 of   1   androidx/compose/ui/layout/ContentScale
268f1ef68112c917   13 of  18   androidx/compose/ui/layout/InnerRectRulers
c8ce752085fd886e    1 of   2   kotlinx/coroutines/flow/FlowKt__ReduceKt$first$$inlined$collectWhile$2$1
83395dbcd38f6d75   66 of 300   androidx/compose/runtime/Recomposer$runRecomposeAndApplyChanges$2
9c67dfd42c7c7fb0    7 of  22   kotlin/internal/ProgressionUtilKt
59c2e3a86dbe17ab   22 of  33   androidx/compose/ui/text/android/StaticLayoutFactory23
d68538c296960850    4 of  22   kotlinx/serialization/internal/CollectionLikeSerializer
4086d8c8ca51c29e    1 of   5   androidx/profileinstaller/ProfileVerifier$CompilationStatus
6c5c26380f5b25bd    9 of   9   kotlin/collections/builders/MapBuilder$Companion
4ab74d80ffd19862   16 of  31   androidx/compose/material/ripple/Ripple
11547f9a2b14455c    1 of   5   kotlin/TuplesKt
cde65203b83ce75f   66 of 118   androidx/compose/foundation/layout/RowColumnMeasurePolicyKt
c29430ca0f624db0    5 of  42   androidx/compose/foundation/ClickableElement
a51bce68b10e4aed    4 of  17   androidx/compose/animation/FlingCalculator
cc016298d4faaaf2    2 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$LocalView$1
7a0cf140815b4a83   14 of  20   androidx/compose/ui/layout/SubcomposeLayoutState
103b7a214d150799   17 of  99   androidx/compose/ui/geometry/Offset
dd2a6560775fdf82    1 of   1   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$2
43f0d56af3bc35b1    5 of  13   androidx/compose/ui/input/pointer/SuspendingPointerInputFilterKt
5bee9fc7e32cf79e   19 of  37   androidx/compose/foundation/lazy/layout/LazyLayoutItemContentFactoryKt
c666f0257a46fc98   24 of  67   androidx/compose/ui/spatial/RectManagerKt
39ff482991d3809a    2 of  22   androidx/collection/OrderedScatterSetKt
c2d51a3e352d8d59    1 of   3   androidx/compose/foundation/FocusableNode$focusTargetNode$1
80b3a81dd3c26bcc   24 of 204   androidx/collection/SparseArrayCompat
0669c20cad2ce9eb    4 of   7   androidx/compose/ui/text/font/FontStyle$Companion
a8d0f18e7f91366b    1 of   6   androidx/compose/animation/EnterExitTransitionKt$slideInVertically$2
343a89813012dd0f    1 of  50   androidx/navigation/FloatArrayNavType
c76c38fc980ed739    5 of  98   kotlin/ULong
