[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/TranslateYou-_v19.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
fb28c977e66974f5    4 of   4   androidx/compose/ui/node/LayoutNode$Companion$Constructor$1
762c8011cdec9b16   11 of  15   com/bnyro/translate/ui/MainActivity
f176a2e235cce69f    1 of   3   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$1
682ce6adf160ff26    5 of  85   androidx/compose/ui/input/pointer/HoverIconModifierNode
0c272ae38f80e989    3 of  17   androidx/compose/ui/text/android/VerticalPaddings
69572dd5c24fa600   38 of 107   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
dc8b05ac9945a0b0   11 of  62   androidx/compose/ui/node/DpTouchBoundsExpansion
83f56282c26743c5    2 of   3   kotlin/jvm/internal/Lambda
a40f75df988a2982    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalInputModeManager$1
273da7021656f6b3   15 of  45   androidx/compose/ui/semantics/Role
69146ff52152076d    4 of  13   androidx/compose/ui/draw/DrawWithContentElement
21ab7039716b601a    6 of  31   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsInfo
fcd134325955d152   21 of  33   okio/SegmentPool
d91daa7848807b0d    6 of   7   androidx/compose/ui/node/LookaheadCapablePlaceable$Companion$onCommitAffectingRuler$1
54f11016ce9aea91    4 of   4   androidx/compose/ui/node/DepthSortedSetKt$DepthComparator$1
b3354fab62789e0b    1 of  17   androidx/compose/animation/core/DecayAnimationSpecKt
fa3978dd9c443e4e    9 of  16   androidx/compose/foundation/relocation/BringIntoViewRequesterElement
8d209f72b271e0d3   10 of  18   androidx/compose/ui/platform/ComposeViewContext$ProvideCompositionLocals$2
45dd8a866ff5405c    2 of   2   androidx/room/InvalidationTracker$Companion
b947cb5a0ab7b858    4 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$SetResolvedCompositionLocals$1
1e92218e49b1f65e    3 of   3   androidx/compose/ui/text/platform/ImmutableBool
3a90d6be528dfe56    4 of  24   androidx/navigation/compose/DialogNavigator
954c39f59db9f1f6  332 of 790   kotlinx/coroutines/JobSupport
379608803360ec81    2 of   2   okhttp3/CookieJar
272dbfc0da4a225f   34 of 158   androidx/compose/foundation/text/input/internal/CoreTextFieldSemanticsModifierNode
7bce01297a79c19c   35 of 140   androidx/compose/animation/AnimatedContentMeasurePolicy
a2d063453860f8f3    6 of   6   okhttp3/internal/connection/ConnectInterceptor
1b516eecd702a3b8    4 of   4   androidx/compose/ui/layout/ComposableSingletons$SubcomposeLayoutKt
3de6ccb5598d49d9   19 of 198   retrofit2/Utils
74410c430a2e332b    7 of   9   androidx/compose/ui/focus/CustomDestinationResult
f82e969836cc9974    4 of  31   okio/Okio__OkioKt
dabd6ca067b230bf    5 of   5   androidx/compose/ui/text/style/LineHeightStyle$Mode$Companion
06ec67f7a6ffe6f4    1 of   1   androidx/compose/runtime/RecomposeScopeImplKt
848b66bc2eb2ed97    2 of   2   androidx/compose/ui/autofill/AutofillManager
5d2c6fdd1956cab2   10 of  18   androidx/compose/foundation/MarqueeModifierNode$runAnimation$2
6bb534bb2932372a   23 of  42   androidx/compose/runtime/internal/ComposableLambdaKt
bd72b8a315b9117e    5 of  18   androidx/compose/ui/SessionMutex
cd2f3b3e1f738874   24 of  36   androidx/compose/animation/core/Animatable$runAnimation$2
dd93c084e456d861   19 of  34   okhttp3/internal/platform/Platform$Companion
aa6eb4a3295e36b7    9 of  31   androidx/compose/ui/graphics/FilterQuality
61c8efb3f378dc2f   15 of  78   kotlinx/coroutines/internal/ConcurrentLinkedListNode
798a6f2f0317949f   12 of  27   androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableMap/TrieNodeKt
7d9da89c498abda5    2 of   5   androidx/compose/foundation/text/selection/TextPreparedSelectionState
0baea7771673fb98   10 of  14   androidx/compose/foundation/lazy/layout/AndroidPrefetchScheduler$Companion
