[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Calendar-_1.10.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
a8f5e83ce270d2e0    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
c494a531d6cdbf09    6 of  14   androidx/work/WorkManager
067ccfd9bda6ec61   35 of 234   org/fossify/calendar/helpers/Config
97ba2c05bcf1472b    2 of  30   androidx/work/impl/constraints/trackers/BatteryChargingTracker
c94eefeb309af654   15 of  19   kotlin/coroutines/jvm/internal/ContinuationImpl
8c978feb6696d587   17 of  24   androidx/lifecycle/viewmodel/internal/ViewModelProviderImpl
09d43cc6f251972e  114 of 293   androidx/constraintlayout/core/widgets/analyzer/BasicMeasure
7162f7bfaf4f81e0    1 of   7   com/google/android/material/appbar/AppBarLayout$BaseBehavior$SavedState$1
8de8bcfdaa9473f7    4 of   7   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key
689a6fe7c609c902    3 of   3   org/fossify/calendar/interfaces/CalendarsDao_Impl$Companion
0b7a843a3076b741    7 of 119   androidx/appcompat/widget/ForwardingListener
8c832787f1ba1ac9    5 of  21   com/google/android/material/appbar/AppBarLayout$Behavior
0c07e53a0b7e623b    1 of   2   androidx/appcompat/widget/TooltipCompat$Api26Impl
4525e8e4d58ed035   30 of 138   androidx/appcompat/app/AppCompatActivity
69bb0e8ab7df5094    1 of   2   androidx/arch/core/executor/DefaultTaskExecutor$Api28Impl
b8dcdf077d278287   27 of  94   org/joda/time/tz/ZoneInfoProvider
2f1ec07ab6cfa9d5    2 of  18   androidx/work/impl/utils/WorkProgressUpdater
7086f7ea35639271    1 of   5   com/google/gson/internal/bind/TypeAdapters$29
3bc47712b76093c8    2 of   2   org/fossify/calendar/jobs/CalDAVUpdateListener$Companion
764bb42d0382b19b    1 of  15   com/google/android/material/shape/RelativeCornerSize
9c67dfd42c7c7fb0    7 of  22   kotlin/internal/ProgressionUtilKt
349540626db5193d    3 of   3   kotlin/sequences/DistinctSequence
1b0f4ce0dd4eb220    1 of   3   org/fossify/commons/helpers/BaseConfig$showCheckmarksOnSwitchesFlow$1
cf1d27d7b4ff7cb4    2 of  26   com/google/android/material/appbar/AppBarLayout$BaseBehavior$SavedState
4086d8c8ca51c29e    1 of   5   androidx/profileinstaller/ProfileVerifier$CompilationStatus
28bf3d3667382a32    8 of  10   org/fossify/commons/FossifyApp
3899c3311e9a25b1    6 of  50   androidx/core/view/WindowInsetsCompat$Impl
11547f9a2b14455c    1 of   5   kotlin/TuplesKt
51814d82c56cd1e9    3 of   3   androidx/work/impl/model/DependencyDao_Impl$Companion
f1493703908fbe42   13 of  19   kotlinx/coroutines/CoroutineStart
bef6c048a9df67e9    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
ee8b42237f632b42   16 of  41   androidx/work/OperationKt
c4aa43f20da03a72   59 of 1802   kotlin/collections/CollectionsKt___CollectionsKt
