[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Vinyl-Music-Player-_1.5.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
c3c28b6d5f45c7dd    8 of 148   com/h6ah4i/android/widget/advrecyclerview/swipeable/ItemSlidingAnimator
139bb98ad6faf8c5    3 of  54   org/jaudiotagger/audio/asf/io/StreamChunkReader
d1605c19048b17f0   61 of 388   androidx/fragment/app/DefaultSpecialEffectsController
9a28ef2afe510172    2 of   2   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion$ViewModelKeyImpl
dc1a96dbb3d4cd3e    5 of  71   androidx/media/MediaBrowserServiceCompat$MediaBrowserServiceImplApi21
4302f4cf7bef9822    7 of  83   androidx/lifecycle/Lifecycling
77bb3186b8b51627   57 of 134   com/poupa/vinylmusicplayer/ui/fragments/player/card/CardPlayerFragment
8ffed49275d6901a   26 of  81   androidx/appcompat/widget/AppCompatImageButton
4647d823cfff7a75   38 of 110   androidx/core/view/ViewCompat$UnhandledKeyEventManager
c574479cbf077eb2    1 of  46   androidx/constraintlayout/core/PriorityGoalRow$GoalVariableAccessor
90132c60e787144d   10 of  11   androidx/lifecycle/Lifecycle$State
9b07b4aef28d3e54   24 of 277   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper
5fa95f1add4b3042    6 of  10   com/poupa/vinylmusicplayer/util/ImageTheme/ThemeStyleUtil
a552f999ad720e5d   13 of  29   com/poupa/vinylmusicplayer/ui/fragments/player/card/CardPlayerFragment$3
1176b457fc92668f   22 of  40   com/poupa/vinylmusicplayer/loader/TopAndRecentlyPlayedTracksLoader
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
a1c2caab55c02b27  136 of 445   com/google/android/material/appbar/AppBarLayout
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
928ca03463693228   12 of  15   com/kabouzeid/appthemehelper/common/ATHToolbarActivity
c9969e5b49e65990   13 of  16   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/GenresFragment
d97490066f174fc6    3 of  30   org/jaudiotagger/audio/asf/io/ContentDescriptionReader
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
9fdc472ad8c61f98    4 of  28   androidx/emoji2/text/EmojiCompat$Config
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
68424c33414420da    2 of   2   com/poupa/vinylmusicplayer/util/PackageValidatorKt
0b8299794215289d    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
c370fdf90aeaca5c   36 of 150   androidx/fragment/app/strictmode/FragmentStrictMode
a355168e63581b16  239 of 645   androidx/constraintlayout/core/widgets/analyzer/Direct
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
05ff55f4323fe6af    5 of  23   com/poupa/vinylmusicplayer/model/Playlist
1245cd9c0c07f449    1 of   4   androidx/appcompat/widget/ActionMenuPresenter$ActionMenuPopupCallback
9a8bd585a20a651c    1 of   3   android/support/v4/media/session/MediaSessionCompat$MediaSessionImplApi22
73e85755a8694898   11 of  28   androidx/viewpager/widget/PagerAdapter
a63a32c8ff37b6e9   13 of 150   androidx/collection/SparseArrayCompat
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
cb81c30b2710eb67   24 of  93   androidx/appcompat/widget/ContentFrameLayout
3a5a01100f79ff5c    3 of   4   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
d3299df297b11638    4 of  35   com/poupa/vinylmusicplayer/adapter/GenreAdapter
e01a37a6825ee19a   60 of  71   androidx/coordinatorlayout/widget/DirectedAcyclicGraph
4d1af4bafa41a493   26 of  66   com/poupa/vinylmusicplayer/views/AutoTruncateTextView
cee8d0313e7c8be6   15 of  31   com/poupa/vinylmusicplayer/databinding/FragmentCardPlayerPlaybackControlsBinding
9a9c6e3a8d05a081    3 of 168   com/h6ah4i/android/widget/advrecyclerview/utils/CustomRecyclerViewUtils
3e8ccf4c213080ab    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuTextItem
0d51b6637c17ebda    1 of   4   com/google/android/material/internal/StateListAnimator$1
f755ed0b62901818    4 of  24   com/poupa/vinylmusicplayer/helper/PrevNextButtonOnTouchListener
07bca819d7b2e6e4    8 of 131   com/poupa/vinylmusicplayer/discog/MemCache
90718744817b4585    3 of  11   org/jaudiotagger/audio/ogg/OggVorbisCommentTagCreator
6c74cefd35d3d1a7    4 of  18   androidx/constraintlayout/core/Pools$SimplePool
88db10c923cf0c3c    2 of  71   com/google/android/material/badge/BadgeUtils
e1aa900aaccfb268   93 of 137   androidx/lifecycle/LifecycleRegistry
763cf1f2016651dc    2 of   3   androidx/recyclerview/widget/RecyclerView$OnScrollListener
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
bec46832f81f66ad   31 of  59   androidx/fragment/app/FragmentPagerAdapter
06b2318fba2d6c9a    1 of  58   org/jaudiotagger/audio/dsf/DsfFileReader
e4024d6da45b8fcc    5 of   8   androidx/core/content/res/ResourcesCompat$FontCallback
8c09a1e6f5d93c3e    2 of   2   androidx/savedstate/SavedStateRegistry$Companion
5b864ba2b1a9f5df   17 of  71   androidx/tracing/Trace
771b013bda3ac826    1 of  13   androidx/customview/widget/ViewDragHelper$Callback
ade5f8ecd98522b4    1 of   5   androidx/appcompat/widget/Toolbar$1
3cb8bb9d4c1eeb02    2 of   6   androidx/fragment/app/strictmode/Violation
9e42b92c69ade2fe   26 of  70   androidx/recyclerview/widget/RecyclerView$RecycledViewPool
810bb01228735191    4 of   4   com/google/android/material/card/MaterialCardViewHelper$1
e1f2a0dcbb88531c    3 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
19527b983b9d6960    2 of  41   com/poupa/vinylmusicplayer/util/VinylMusicPlayerColorUtil
8caa42cc739a91e2    1 of   7   androidx/core/view/ViewCompat$Api24Impl
b0e5f2b43cf7e2f0    1 of   2   androidx/constraintlayout/widget/R$styleable
bb23383b2da7727b    2 of   9   com/google/android/material/internal/VisibilityAwareImageButton
35a8b54b1b6f7c9c   27 of  41   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/AbsLibraryPagerRecyclerViewFragment
dcdd3359a5785a32   45 of 182   com/poupa/vinylmusicplayer/ui/activities/MainActivity
1a7a75cee434db84    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ResetElevationAnimation
effa37f0bdf73578  115 of 326   com/google/android/material/card/MaterialCardViewHelper
7a0fecb02115ad76   30 of  84   androidx/appcompat/widget/AppCompatImageView
9a645d791be29ec4    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NormalViewHolder
b2c300112d52483f    8 of  15   com/poupa/vinylmusicplayer/databinding/ActivityMainDrawerLayoutBinding
f463ec820e9b9a90    3 of  40   com/poupa/vinylmusicplayer/adapter/base/AbsMultiSelectAdapter
bb6fd6a616b22be6    2 of   2   com/google/android/material/appbar/AppBarLayout$1
6560c3c9030710cc   37 of  64   com/kabouzeid/appthemehelper/util/ToolbarContentTintHelper
89d44ad14d28d7c7   13 of  77   androidx/loader/app/LoaderManagerImpl$LoaderInfo
539d1607ef27ffaf   14 of  66   androidx/loader/app/LoaderManagerImpl
11a59483da093795    1 of   2   androidx/appcompat/app/AppLocalesMetadataHolderService$Api24Impl
e7c70ef67de3a629    2 of  26   androidx/core/widget/CheckedTextViewCompat
fab0be550f74e955    2 of   7   androidx/appcompat/widget/ToolbarWidgetWrapper$1
ffcb5cd392e1f7f8   40 of 113   androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams
d3c8011f7e370f3e    4 of 125   androidx/recyclerview/widget/RecyclerView$ViewFlinger
4928df348ead63cb    3 of  20   com/h6ah4i/android/widget/advrecyclerview/draggable/RecyclerViewDragDropManager$InternalHandler
9a363820b9714f33  231 of 954   androidx/coordinatorlayout/widget/CoordinatorLayout
4cef3d0537228ddd    5 of  94   androidx/recyclerview/widget/OpReorderer
e9053e09658ac2aa    3 of  10   com/poupa/vinylmusicplayer/dialogs/ChangelogDialog
7cdef3b02b34722d   19 of  22   org/jaudiotagger/audio/SupportedFileFormat
dceedffa4e2cfe6d    2 of  13   kotlin/text/Regex$Companion
b42884c1327852fd    9 of  18   com/poupa/vinylmusicplayer/appshortcuts/AppShortcutIconGenerator
fb96e0c0fe296d3f    1 of  11   com/kabouzeid/appthemehelper/util/ToolbarContentTintHelper$ATHMenuPresenterCallback
342f18133aafaa4b    2 of   2   androidx/coordinatorlayout/widget/CoordinatorLayout$OnPreDrawListener
1ac598735cedd7aa    2 of   6   com/poupa/vinylmusicplayer/helper/WeakMethodReference
f01c4476a6f01195    1 of   3   com/h6ah4i/android/widget/advrecyclerview/utils/AbstractDraggableSwipeableItemViewHolder
86f0a18cac48f1ca    1 of   2   com/heinrichreimersoftware/materialintro/util/CheatSheet$1
9b308b8298b4a5ee    3 of   5   org/jaudiotagger/audio/flac/FlacFileReader
9ca1b388b32baa6e    4 of   5   androidx/recyclerview/widget/RecyclerView$2
a2310d26a135e8d1    1 of   2   com/heinrichreimersoftware/materialintro/R$styleable
ea6df97d8b8f1b34    9 of  32   com/google/android/material/resources/MaterialAttributes
fe48d5aa1915ecaa    8 of   8   com/poupa/vinylmusicplayer/appshortcuts/shortcuttype/LastAddedShortcutType
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
52985b315c78b3fa   72 of 118   com/google/android/material/internal/NavigationMenuItemView
8be72fe98a5163ed   19 of  85   androidx/recyclerview/widget/ViewInfoStore
39f97c297933dd3a    1 of   7   com/google/android/material/navigation/NavigationView$1
ff84b55d7b1e8369    6 of   7   androidx/recyclerview/widget/DefaultItemAnimator$5
c22f5e8081d6f161  117 of 430   androidx/fragment/app/FragmentStateManager
1f2fa00515633734   87 of 232   com/google/android/material/floatingactionbutton/FloatingActionButton
4bbb39a90f40a4b9   10 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
e41df14e02bc671a    5 of   7   com/afollestad/materialdialogs/internal/ThemeSingleton
c6106565be4c4165    2 of  15   com/poupa/vinylmusicplayer/loader/AlbumLoader
fc4b0c3c3b6db68e    1 of  23   com/poupa/vinylmusicplayer/loader/GenreLoader
74e87e4d065143ac    3 of   5   com/google/android/material/shape/EdgeTreatment
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
f256ae16290e50a9   28 of 153   androidx/appcompat/app/ToolbarActionBar
bcedd8440fa2340d   13 of  30   com/poupa/vinylmusicplayer/loader/PlaylistLoader
b4dd7c43d41e461c    4 of   6   com/poupa/vinylmusicplayer/discog/MemCache$ConsistencyState
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
2b708501a7150e90    1 of  20   org/jaudiotagger/tag/vorbiscomment/VorbisCommentCreator
5b66c9bc81d9b4e9    1 of   8   com/poupa/vinylmusicplayer/ui/fragments/player/card/CardPlayerFragment$PortraitImpl$1
6a35c8583dea6a51   17 of  80   androidx/loader/content/Loader
